Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",72302,"(+/- 10318 )",127494,"(+/- 10654 )",54722,"(+/- 7836 )",123093,"(+/- 7501 )",107402,"(+/- 9806 )",106997,"(+/- 11859 )",142544,"(+/- 12191 )",73880,"(+/- 7651 )",39078,"(+/- 5450 )",40817,"(+/- 6931 )",41120,"(+/- 6428 )",51815,"(+/- 6632 )",288614,"(+/- 16694 )",213367,"(+/- 12946 )",310198,"(+/- 13170 )",97229,"(+/- 7458 )",118807,"(+/- 6897 )",48000,"(+/- 5529 )",20976,"(+/- 3423 )",15251,"(+/- 2587 )",8881,"(+/- 1304 )",6966,"(+/- 1319 )",7741,"(+/- 1526 )",10074,"(+/- 1892 )",10700,"(+/- 2760 )",6209,"(+/- 1312 )",5285,"(+/- 1262 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",612033,"(+/- 10554 )",540786,"(+/- 12879 )",648615,"(+/- 15013 )",573318,"(+/- 11438 )",642456,"(+/- 12923 )",606344,"(+/- 15220 )",449940,"(+/- 17800 )",641973,"(+/- 17408 )",673243,"(+/- 16334 )",639491,"(+/- 18440 )",629371,"(+/- 10533 )",609131,"(+/- 15303 )",362570,"(+/- 12826 )",361638,"(+/- 13330 )",260763,"(+/- 10351 )",555314,"(+/- 11982 )",574437,"(+/- 7795 )",604599,"(+/- 6710 )",646753,"(+/- 6089 )",684242,"(+/- 5503 )",680784,"(+/- 4484 )",669981,"(+/- 3826 )",673177,"(+/- 3978 )",675924,"(+/- 3027 )",653850,"(+/- 3650 )",668432,"(+/- 5091 )",698580,"(+/- 6401 )"
People,"Place of Birth","Total population",718652,"(+/- 3672 )",721373,"(+/- 9198 )",725627,"(+/- 14277 )",728807,"(+/- 10230 )",798555,"(+/- 17108 )",761797,"(+/- 18042 )",755717,"(+/- 20767 )",793532,"(+/- 16988 )",750170,"(+/- 17743 )",733275,"(+/- 21186 )",755204,"(+/- 12472 )",714279,"(+/- 19880 )",802800,"(+/- 23638 )",691813,"(+/- 17987 )",781143,"(+/- 14839 )",742552,"(+/- 12724 )",746412,"(+/- 5554 )",730114,"(+/- 6715 )",700975,"(+/- 5707 )",732130,"(+/- 5337 )",705669,"(+/- 4288 )",696819,"(+/- 3805 )",702026,"(+/- 3929 )",707889,"(+/- 3055 )",719033,"(+/- 3499 )",714521,"(+/- 4881 )",718515,"(+/- 6160 )"
People,"Place of Birth",Native,621406,"(+/- 10983 )",596167,"(+/- 12382 )",559333,"(+/- 12221 )",561786,"(+/- 10746 )",461495,"(+/- 12566 )",369068,"(+/- 11989 )",487119,"(+/- 18454 )",540314,"(+/- 15769 )",455287,"(+/- 14982 )",508419,"(+/- 17875 )",519453,"(+/- 10181 )",529324,"(+/- 17752 )",521354,"(+/- 19795 )",366509,"(+/- 12405 )",488852,"(+/- 12675 )",513439,"(+/- 11346 )",570411,"(+/- 7872 )",638512,"(+/- 8327 )",652987,"(+/- 6831 )",661424,"(+/- 7595 )",685036,"(+/- 4392 )",660636,"(+/- 5059 )",670877,"(+/- 4967 )",664504,"(+/- 4230 )",653746,"(+/- 5447 )",655251,"(+/- 6848 )",696309,"(+/- 6700 )"
People,"Place of Birth","Born in United States",612508,"(+/- 10407 )",579444,"(+/- 12303 )",549368,"(+/- 11914 )",549100,"(+/- 10857 )",442234,"(+/- 12120 )",352940,"(+/- 11481 )",446296,"(+/- 17526 )",516383,"(+/- 16329 )",438383,"(+/- 14120 )",487075,"(+/- 17497 )",502670,"(+/- 10350 )",510416,"(+/- 16945 )",483532,"(+/- 18201 )",332420,"(+/- 11088 )",430643,"(+/- 11546 )",482496,"(+/- 11630 )",553635,"(+/- 8137 )",621808,"(+/- 8176 )",646215,"(+/- 7116 )",652345,"(+/- 7366 )",676277,"(+/- 4608 )",651238,"(+/- 5203 )",662470,"(+/- 4661 )",654029,"(+/- 4540 )",633466,"(+/- 5037 )",638533,"(+/- 7309 )",691591,"(+/- 6603 )"
People,"Place of Birth","State of residence",563907,"(+/- 10384 )",539655,"(+/- 12069 )",503942,"(+/- 12230 )",506281,"(+/- 11082 )",402978,"(+/- 12029 )",324568,"(+/- 11302 )",351932,"(+/- 16879 )",426509,"(+/- 15025 )",346922,"(+/- 12624 )",329897,"(+/- 15157 )",463604,"(+/- 10237 )",303131,"(+/- 13532 )",379883,"(+/- 17403 )",294461,"(+/- 10276 )",396041,"(+/- 11199 )",416388,"(+/- 10325 )",464978,"(+/- 8351 )",505237,"(+/- 9273 )",522351,"(+/- 8160 )",549434,"(+/- 7615 )",549278,"(+/- 7099 )",562485,"(+/- 7105 )",515192,"(+/- 6603 )",563665,"(+/- 7289 )",530169,"(+/- 7145 )",562545,"(+/- 7729 )",609326,"(+/- 8301 )"
People,"Place of Birth","Different state",48601,"(+/- 3847 )",39789,"(+/- 4727 )",45426,"(+/- 3922 )",42819,"(+/- 4129 )",39256,"(+/- 3351 )",28372,"(+/- 2935 )",94364,"(+/- 5278 )",89874,"(+/- 5181 )",91461,"(+/- 5920 )",157178,"(+/- 9924 )",39066,"(+/- 4153 )",207285,"(+/- 10844 )",103649,"(+/- 6903 )",37959,"(+/- 3354 )",34602,"(+/- 3647 )",66108,"(+/- 4658 )",88657,"(+/- 4760 )",116571,"(+/- 6233 )",123864,"(+/- 6653 )",102911,"(+/- 6081 )",126999,"(+/- 6096 )",88753,"(+/- 5225 )",147278,"(+/- 6613 )",90364,"(+/- 5216 )",103297,"(+/- 5394 )",75988,"(+/- 4707 )",82265,"(+/- 4959 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8898,"(+/- 2302 )",16723,"(+/- 2776 )",9965,"(+/- 2321 )",12686,"(+/- 2360 )",19261,"(+/- 3078 )",16128,"(+/- 2744 )",40823,"(+/- 4469 )",23931,"(+/- 3096 )",16904,"(+/- 2523 )",21344,"(+/- 3399 )",16783,"(+/- 3222 )",18908,"(+/- 2904 )",37822,"(+/- 4669 )",34089,"(+/- 3959 )",58209,"(+/- 5103 )",30943,"(+/- 3850 )",16776,"(+/- 3243 )",16704,"(+/- 2327 )",6772,"(+/- 1381 )",9079,"(+/- 1664 )",8759,"(+/- 1454 )",9398,"(+/- 2058 )",8407,"(+/- 1258 )",10475,"(+/- 1900 )",20280,"(+/- 2663 )",16718,"(+/- 2816 )",4718,"(+/- 1130 )"
People,"Place of Birth","Foreign born",97246,"(+/- 10235 )",125206,"(+/- 9103 )",166294,"(+/- 8823 )",167021,"(+/- 8658 )",337060,"(+/- 12448 )",392729,"(+/- 13076 )",268598,"(+/- 10720 )",253218,"(+/- 9597 )",294883,"(+/- 10197 )",224856,"(+/- 11594 )",235751,"(+/- 10923 )",184955,"(+/- 10559 )",281446,"(+/- 13099 )",325304,"(+/- 13190 )",292291,"(+/- 11728 )",229113,"(+/- 9295 )",176001,"(+/- 7349 )",91602,"(+/- 6804 )",47988,"(+/- 4209 )",70706,"(+/- 4712 )",20633,"(+/- 1956 )",36183,"(+/- 3468 )",31149,"(+/- 3035 )",43385,"(+/- 3062 )",65287,"(+/- 4945 )",59270,"(+/- 4580 )",22206,"(+/- 2960 )"
People,Ancestry,"Total population",718652,"(+/- 3672 )",721373,"(+/- 9198 )",725627,"(+/- 14277 )",728807,"(+/- 10230 )",798555,"(+/- 17108 )",761797,"(+/- 18042 )",755717,"(+/- 20767 )",793532,"(+/- 16988 )",750170,"(+/- 17743 )",733275,"(+/- 21186 )",755204,"(+/- 12472 )",714279,"(+/- 19880 )",802800,"(+/- 23638 )",691813,"(+/- 17987 )",781143,"(+/- 14839 )",742552,"(+/- 12724 )",746412,"(+/- 5554 )",730114,"(+/- 6715 )",700975,"(+/- 5707 )",732130,"(+/- 5337 )",705669,"(+/- 4288 )",696819,"(+/- 3805 )",702026,"(+/- 3929 )",707889,"(+/- 3055 )",719033,"(+/- 3499 )",714521,"(+/- 4881 )",718515,"(+/- 6160 )"
People,Ancestry,American,38098,"(+/- 6020 )",21570,"(+/- 3984 )",35620,"(+/- 4555 )",28354,"(+/- 3472 )",25889,"(+/- 3875 )",25816,"(+/- 5166 )",26531,"(+/- 3474 )",32254,"(+/- 4310 )",44334,"(+/- 5538 )",42347,"(+/- 6654 )",60118,"(+/- 6498 )",39744,"(+/- 6831 )",15839,"(+/- 3894 )",24117,"(+/- 4068 )",16456,"(+/- 3068 )",40865,"(+/- 5783 )",62196,"(+/- 6290 )",77969,"(+/- 6720 )",41829,"(+/- 4909 )",29618,"(+/- 5061 )",61977,"(+/- 5321 )",91249,"(+/- 6875 )",39828,"(+/- 3437 )",25143,"(+/- 2987 )",28351,"(+/- 3554 )",25630,"(+/- 3643 )",46955,"(+/- 6793 )"
People,Ancestry,Arab,2673,"(+/- 1613 )",2048,"(+/- 1356 )",5030,"(+/- 2158 )",4160,"(+/- 1587 )",2135,"(+/- 932 )",5841,"(+/- 2188 )",5195,"(+/- 2089 )",10755,"(+/- 4335 )",9673,"(+/- 2552 )",11360,"(+/- 2483 )",30261,"(+/- 6109 )",6274,"(+/- 1760 )",5559,"(+/- 2288 )",7122,"(+/- 2516 )",2820,"(+/- 1841 )",7681,"(+/- 3092 )",2577,"(+/- 1057 )",3178,"(+/- 1151 )",3044,"(+/- 1692 )",4563,"(+/- 1523 )",2527,"(+/- 1052 )",3783,"(+/- 1052 )",2623,"(+/- 1286 )",6970,"(+/- 1564 )",3028,"(+/- 1128 )",16279,"(+/- 4489 )",2650,"(+/- 1035 )"
People,Ancestry,Czech,2706,"(+/- 987 )",2610,"(+/- 1058 )",1540,"(+/- 701 )",1690,"(+/- 826 )",330,"(+/- 212 )",703,"(+/- 389 )",1398,"(+/- 692 )",442,"(+/- 265 )",1140,"(+/- 500 )",2122,"(+/- 918 )",280,"(+/- 215 )",2293,"(+/- 815 )",365,"(+/- 249 )",978,"(+/- 714 )",92,"(+/- 109 )",808,"(+/- 280 )",2068,"(+/- 805 )",3344,"(+/- 1255 )",2552,"(+/- 727 )",2286,"(+/- 914 )",1425,"(+/- 475 )",1995,"(+/- 819 )",2599,"(+/- 763 )",1288,"(+/- 1001 )",1513,"(+/- 654 )",1303,"(+/- 530 )",1383,"(+/- 713 )"
People,Ancestry,Danish,1303,"(+/- 513 )",792,"(+/- 475 )",1798,"(+/- 908 )",556,"(+/- 291 )",50,"(+/- 86 )",427,"(+/- 349 )",1184,"(+/- 573 )",434,"(+/- 285 )",1181,"(+/- 620 )",3086,"(+/- 1270 )",1588,"(+/- 856 )",1192,"(+/- 676 )",728,"(+/- 480 )",102,"(+/- 119 )",0,"(+/- 200 )",715,"(+/- 384 )",1610,"(+/- 1122 )",2449,"(+/- 1077 )",1909,"(+/- 749 )",1993,"(+/- 594 )",1773,"(+/- 789 )",1329,"(+/- 505 )",3683,"(+/- 1069 )",1481,"(+/- 776 )",1323,"(+/- 577 )",753,"(+/- 541 )",1630,"(+/- 875 )"
People,Ancestry,Dutch,5955,"(+/- 1679 )",3769,"(+/- 1398 )",2469,"(+/- 939 )",2528,"(+/- 1470 )",661,"(+/- 845 )",1095,"(+/- 552 )",2410,"(+/- 944 )",1241,"(+/- 643 )",2014,"(+/- 700 )",4242,"(+/- 1273 )",2116,"(+/- 1117 )",5209,"(+/- 1389 )",825,"(+/- 360 )",1128,"(+/- 526 )",260,"(+/- 272 )",756,"(+/- 371 )",5378,"(+/- 1668 )",10988,"(+/- 2100 )",27105,"(+/- 3520 )",22890,"(+/- 3278 )",14661,"(+/- 2266 )",19419,"(+/- 2576 )",20709,"(+/- 2484 )",21813,"(+/- 2606 )",16508,"(+/- 2211 )",5657,"(+/- 1345 )",14654,"(+/- 2252 )"
People,Ancestry,English,38692,"(+/- 4469 )",25601,"(+/- 3109 )",21522,"(+/- 2923 )",15133,"(+/- 2316 )",2033,"(+/- 857 )",3777,"(+/- 962 )",17339,"(+/- 2433 )",7410,"(+/- 1537 )",13762,"(+/- 1991 )",32036,"(+/- 3975 )",10805,"(+/- 2312 )",32361,"(+/- 4172 )",9173,"(+/- 1818 )",4320,"(+/- 1039 )",1373,"(+/- 674 )",13221,"(+/- 2195 )",21683,"(+/- 3160 )",39395,"(+/- 4623 )",60482,"(+/- 4484 )",65584,"(+/- 5888 )",71524,"(+/- 5116 )",76551,"(+/- 4342 )",88954,"(+/- 5112 )",80301,"(+/- 5383 )",60914,"(+/- 4103 )",41026,"(+/- 3693 )",74769,"(+/- 4809 )"
People,Ancestry,"French (except Basque)",10214,"(+/- 2094 )",7390,"(+/- 1973 )",7327,"(+/- 1540 )",4867,"(+/- 1199 )",2165,"(+/- 1139 )",3130,"(+/- 925 )",6639,"(+/- 1883 )",4196,"(+/- 1129 )",5157,"(+/- 1420 )",11635,"(+/- 2403 )",3599,"(+/- 997 )",16021,"(+/- 3025 )",5414,"(+/- 1485 )",3339,"(+/- 1109 )",1183,"(+/- 654 )",5856,"(+/- 1447 )",6166,"(+/- 1263 )",10997,"(+/- 2184 )",22408,"(+/- 2898 )",34001,"(+/- 3170 )",80129,"(+/- 5132 )",21717,"(+/- 3070 )",19511,"(+/- 3069 )",32396,"(+/- 3759 )",17966,"(+/- 2606 )",15715,"(+/- 2414 )",22007,"(+/- 2834 )"
People,Ancestry,"French Canadian",2610,"(+/- 805 )",1502,"(+/- 761 )",662,"(+/- 280 )",1310,"(+/- 586 )",143,"(+/- 176 )",852,"(+/- 471 )",377,"(+/- 218 )",822,"(+/- 547 )",936,"(+/- 412 )",1560,"(+/- 933 )",815,"(+/- 496 )",2530,"(+/- 1050 )",802,"(+/- 448 )",473,"(+/- 250 )",67,"(+/- 94 )",990,"(+/- 412 )",2077,"(+/- 1185 )",4033,"(+/- 1350 )",9024,"(+/- 1641 )",11851,"(+/- 2004 )",29329,"(+/- 2870 )",9369,"(+/- 2166 )",6657,"(+/- 1703 )",13407,"(+/- 2388 )",6453,"(+/- 1288 )",3557,"(+/- 1215 )",6370,"(+/- 1518 )"
People,Ancestry,German,109741,"(+/- 7302 )",90410,"(+/- 6191 )",63746,"(+/- 6105 )",60085,"(+/- 5062 )",7330,"(+/- 1571 )",19628,"(+/- 2601 )",25970,"(+/- 3140 )",15555,"(+/- 2537 )",19426,"(+/- 2445 )",36088,"(+/- 4958 )",26952,"(+/- 3262 )",53855,"(+/- 6236 )",17670,"(+/- 2845 )",12387,"(+/- 1946 )",2729,"(+/- 1088 )",25416,"(+/- 2977 )",50999,"(+/- 4997 )",72868,"(+/- 5345 )",131894,"(+/- 5585 )",101545,"(+/- 6532 )",84623,"(+/- 5743 )",102671,"(+/- 6178 )",134092,"(+/- 5619 )",121061,"(+/- 6650 )",128310,"(+/- 6566 )",142808,"(+/- 7549 )",200522,"(+/- 8379 )"
People,Ancestry,Greek,7909,"(+/- 1836 )",7525,"(+/- 1805 )",16748,"(+/- 3037 )",9897,"(+/- 2138 )",738,"(+/- 478 )",9638,"(+/- 2523 )",2623,"(+/- 734 )",1627,"(+/- 987 )",2637,"(+/- 993 )",5557,"(+/- 1800 )",8174,"(+/- 2177 )",8929,"(+/- 1922 )",2550,"(+/- 1047 )",10614,"(+/- 2535 )",275,"(+/- 222 )",4593,"(+/- 1626 )",4363,"(+/- 1404 )",4939,"(+/- 1569 )",3600,"(+/- 794 )",3961,"(+/- 1100 )",3273,"(+/- 943 )",1708,"(+/- 762 )",2635,"(+/- 961 )",4194,"(+/- 1589 )",3648,"(+/- 1421 )",1851,"(+/- 834 )",2409,"(+/- 1010 )"
People,Ancestry,Hungarian,5178,"(+/- 1303 )",4653,"(+/- 1443 )",8141,"(+/- 1757 )",5761,"(+/- 2181 )",545,"(+/- 382 )",3513,"(+/- 1107 )",9778,"(+/- 3282 )",1239,"(+/- 493 )",3013,"(+/- 840 )",11695,"(+/- 2303 )",3456,"(+/- 2064 )",6702,"(+/- 2190 )",1880,"(+/- 881 )",2240,"(+/- 1029 )",124,"(+/- 118 )",4554,"(+/- 1473 )",14389,"(+/- 2567 )",12363,"(+/- 3943 )",5177,"(+/- 1311 )",3214,"(+/- 1061 )",3392,"(+/- 1025 )",2644,"(+/- 751 )",2943,"(+/- 869 )",2791,"(+/- 1095 )",3914,"(+/- 1482 )",5657,"(+/- 1534 )",6333,"(+/- 1861 )"
People,Ancestry,Irish,145172,"(+/- 9086 )",130670,"(+/- 7036 )",94157,"(+/- 7249 )",97940,"(+/- 6014 )",18013,"(+/- 3815 )",30639,"(+/- 3276 )",29514,"(+/- 3067 )",23377,"(+/- 3656 )",26111,"(+/- 2677 )",46416,"(+/- 5320 )",68128,"(+/- 5037 )",66454,"(+/- 7072 )",19115,"(+/- 3044 )",24730,"(+/- 3323 )",3508,"(+/- 1070 )",56980,"(+/- 4354 )",91842,"(+/- 6764 )",115599,"(+/- 6243 )",137347,"(+/- 7725 )",147858,"(+/- 8136 )",119791,"(+/- 7119 )",108165,"(+/- 6215 )",109628,"(+/- 5245 )",143566,"(+/- 6487 )",106067,"(+/- 6234 )",111287,"(+/- 6805 )",129348,"(+/- 7119 )"
People,Ancestry,Italian,186703,"(+/- 9197 )",173144,"(+/- 7360 )",138307,"(+/- 9320 )",131919,"(+/- 8824 )",21051,"(+/- 3782 )",48819,"(+/- 4798 )",30260,"(+/- 3518 )",32526,"(+/- 4141 )",24292,"(+/- 3254 )",56485,"(+/- 5524 )",166906,"(+/- 10085 )",65603,"(+/- 5788 )",15034,"(+/- 2504 )",40980,"(+/- 4613 )",7073,"(+/- 2207 )",74925,"(+/- 6097 )",122809,"(+/- 7734 )",132918,"(+/- 7578 )",109827,"(+/- 6761 )",122258,"(+/- 6609 )",60445,"(+/- 4636 )",86679,"(+/- 5315 )",73925,"(+/- 4549 )",114897,"(+/- 7666 )",120273,"(+/- 6362 )",116372,"(+/- 7149 )",109876,"(+/- 7290 )"
People,Ancestry,Lithuanian,2205,"(+/- 776 )",3153,"(+/- 1084 )",2632,"(+/- 657 )",2132,"(+/- 1288 )",395,"(+/- 453 )",1063,"(+/- 473 )",1718,"(+/- 504 )",758,"(+/- 373 )",950,"(+/- 524 )",2525,"(+/- 996 )",1538,"(+/- 701 )",3470,"(+/- 1338 )",1054,"(+/- 679 )",615,"(+/- 321 )",91,"(+/- 109 )",699,"(+/- 514 )",2085,"(+/- 1099 )",1543,"(+/- 683 )",1848,"(+/- 658 )",2808,"(+/- 868 )",1279,"(+/- 527 )",2008,"(+/- 617 )",1408,"(+/- 707 )",916,"(+/- 395 )",1690,"(+/- 576 )",907,"(+/- 397 )",1155,"(+/- 764 )"
People,Ancestry,Norwegian,5690,"(+/- 1525 )",4114,"(+/- 1072 )",3093,"(+/- 1526 )",2939,"(+/- 1606 )",332,"(+/- 345 )",1500,"(+/- 819 )",2460,"(+/- 842 )",1728,"(+/- 640 )",1500,"(+/- 680 )",4814,"(+/- 1799 )",4796,"(+/- 1168 )",4267,"(+/- 1490 )",1099,"(+/- 549 )",1453,"(+/- 799 )",243,"(+/- 201 )",638,"(+/- 344 )",2644,"(+/- 1117 )",5216,"(+/- 1575 )",6159,"(+/- 1380 )",4049,"(+/- 1202 )",3921,"(+/- 1006 )",4476,"(+/- 1482 )",3192,"(+/- 924 )",3475,"(+/- 1716 )",2159,"(+/- 796 )",1892,"(+/- 616 )",2453,"(+/- 841 )"
People,Ancestry,Polish,37075,"(+/- 4663 )",27279,"(+/- 3652 )",34726,"(+/- 3999 )",30131,"(+/- 4654 )",5265,"(+/- 1596 )",27451,"(+/- 3770 )",19365,"(+/- 2596 )",10890,"(+/- 3470 )",18490,"(+/- 2618 )",32259,"(+/- 5451 )",25839,"(+/- 4328 )",38020,"(+/- 4499 )",10042,"(+/- 2977 )",7399,"(+/- 1754 )",565,"(+/- 353 )",13182,"(+/- 2150 )",25147,"(+/- 2781 )",25581,"(+/- 3419 )",33622,"(+/- 3622 )",48619,"(+/- 4039 )",27533,"(+/- 2870 )",45979,"(+/- 3518 )",39899,"(+/- 3418 )",41469,"(+/- 3652 )",33720,"(+/- 4090 )",104490,"(+/- 5572 )",95895,"(+/- 6446 )"
People,Ancestry,Portuguese,2676,"(+/- 952 )",2289,"(+/- 1145 )",1762,"(+/- 646 )",4244,"(+/- 1969 )",1996,"(+/- 964 )",1089,"(+/- 567 )",556,"(+/- 356 )",567,"(+/- 301 )",846,"(+/- 438 )",2516,"(+/- 1155 )",780,"(+/- 404 )",4567,"(+/- 1985 )",457,"(+/- 322 )",1149,"(+/- 527 )",650,"(+/- 881 )",3178,"(+/- 830 )",4652,"(+/- 1534 )",3374,"(+/- 1587 )",2917,"(+/- 1340 )",1357,"(+/- 534 )",1872,"(+/- 776 )",835,"(+/- 557 )",455,"(+/- 209 )",1741,"(+/- 912 )",1854,"(+/- 887 )",655,"(+/- 557 )",961,"(+/- 502 )"
People,Ancestry,Russian,13622,"(+/- 2396 )",8471,"(+/- 1445 )",28401,"(+/- 4291 )",20722,"(+/- 3922 )",4422,"(+/- 1812 )",30117,"(+/- 5796 )",8341,"(+/- 1818 )",23299,"(+/- 3624 )",27803,"(+/- 3839 )",34985,"(+/- 5514 )",28961,"(+/- 4702 )",33465,"(+/- 4142 )",7078,"(+/- 2051 )",5180,"(+/- 1345 )",1126,"(+/- 878 )",13335,"(+/- 2093 )",20136,"(+/- 2871 )",10504,"(+/- 2169 )",11189,"(+/- 1923 )",8174,"(+/- 1781 )",3250,"(+/- 801 )",7925,"(+/- 2166 )",5168,"(+/- 1317 )",5094,"(+/- 1453 )",6513,"(+/- 1343 )",7035,"(+/- 2220 )",5256,"(+/- 1771 )"
People,Ancestry,Scotch-Irish,2645,"(+/- 1082 )",1467,"(+/- 696 )",2132,"(+/- 1010 )",1192,"(+/- 494 )",137,"(+/- 132 )",615,"(+/- 289 )",755,"(+/- 330 )",843,"(+/- 475 )",1431,"(+/- 634 )",2189,"(+/- 931 )",867,"(+/- 348 )",2558,"(+/- 957 )",1080,"(+/- 515 )",882,"(+/- 431 )",207,"(+/- 143 )",1534,"(+/- 589 )",2216,"(+/- 684 )",3249,"(+/- 935 )",6400,"(+/- 1101 )",3609,"(+/- 1083 )",6452,"(+/- 1277 )",2851,"(+/- 926 )",6729,"(+/- 1306 )",4252,"(+/- 1009 )",4462,"(+/- 1011 )",3118,"(+/- 934 )",3835,"(+/- 1144 )"
People,Ancestry,Scottish,9157,"(+/- 1902 )",4061,"(+/- 1108 )",4015,"(+/- 1016 )",2884,"(+/- 972 )",462,"(+/- 402 )",2077,"(+/- 785 )",4623,"(+/- 1042 )",1984,"(+/- 731 )",3376,"(+/- 1021 )",11213,"(+/- 2746 )",3528,"(+/- 1223 )",8772,"(+/- 2246 )",3156,"(+/- 1285 )",1947,"(+/- 955 )",355,"(+/- 219 )",3870,"(+/- 1334 )",4825,"(+/- 1140 )",8555,"(+/- 1558 )",15309,"(+/- 2126 )",11989,"(+/- 2078 )",17958,"(+/- 1948 )",10852,"(+/- 1636 )",16748,"(+/- 2171 )",14080,"(+/- 1870 )",13699,"(+/- 2482 )",8383,"(+/- 1580 )",15558,"(+/- 2310 )"
People,Ancestry,Slovak,619,"(+/- 381 )",648,"(+/- 425 )",422,"(+/- 243 )",304,"(+/- 218 )",122,"(+/- 122 )",1288,"(+/- 645 )",396,"(+/- 319 )",45,"(+/- 73 )",398,"(+/- 287 )",1210,"(+/- 729 )",310,"(+/- 232 )",1046,"(+/- 626 )",92,"(+/- 156 )",574,"(+/- 378 )",46,"(+/- 91 )",510,"(+/- 342 )",2049,"(+/- 987 )",1976,"(+/- 911 )",1105,"(+/- 517 )",2149,"(+/- 801 )",1069,"(+/- 454 )",5877,"(+/- 1183 )",1545,"(+/- 501 )",1311,"(+/- 544 )",585,"(+/- 317 )",902,"(+/- 442 )",757,"(+/- 373 )"
People,Ancestry,"Subsaharan African",3741,"(+/- 1695 )",10293,"(+/- 4070 )",3225,"(+/- 2526 )",4149,"(+/- 1772 )",21076,"(+/- 4677 )",3171,"(+/- 1346 )",3247,"(+/- 1226 )",25014,"(+/- 4952 )",33318,"(+/- 4727 )",4338,"(+/- 2642 )",9334,"(+/- 2980 )",4856,"(+/- 1901 )",28945,"(+/- 5478 )",8722,"(+/- 3050 )",55164,"(+/- 6180 )",25505,"(+/- 4406 )",3864,"(+/- 1263 )",3199,"(+/- 1115 )",2559,"(+/- 932 )",8070,"(+/- 2542 )",1386,"(+/- 508 )",4413,"(+/- 1917 )",1586,"(+/- 767 )",4573,"(+/- 1870 )",12755,"(+/- 3815 )",9391,"(+/- 3116 )",3888,"(+/- 1848 )"
People,Ancestry,Swedish,4487,"(+/- 1296 )",2797,"(+/- 747 )",3318,"(+/- 1248 )",2373,"(+/- 799 )",602,"(+/- 482 )",1010,"(+/- 620 )",2474,"(+/- 958 )",1431,"(+/- 502 )",1136,"(+/- 517 )",3749,"(+/- 1313 )",2454,"(+/- 1072 )",7530,"(+/- 2314 )",913,"(+/- 474 )",895,"(+/- 418 )",299,"(+/- 400 )",2324,"(+/- 955 )",2606,"(+/- 816 )",4946,"(+/- 1265 )",6665,"(+/- 1513 )",6605,"(+/- 1679 )",4276,"(+/- 1081 )",4354,"(+/- 1392 )",22031,"(+/- 2676 )",4895,"(+/- 1250 )",4820,"(+/- 1167 )",4960,"(+/- 1490 )",7040,"(+/- 1927 )"
People,Ancestry,Swiss,1508,"(+/- 655 )",1065,"(+/- 858 )",1561,"(+/- 757 )",704,"(+/- 438 )",0,"(+/- 200 )",233,"(+/- 184 )",1137,"(+/- 553 )",803,"(+/- 488 )",740,"(+/- 363 )",1226,"(+/- 554 )",284,"(+/- 396 )",2169,"(+/- 998 )",609,"(+/- 399 )",457,"(+/- 332 )",72,"(+/- 154 )",1183,"(+/- 742 )",1212,"(+/- 545 )",2759,"(+/- 1287 )",2375,"(+/- 721 )",1537,"(+/- 625 )",3848,"(+/- 2319 )",2553,"(+/- 751 )",4488,"(+/- 1581 )",1538,"(+/- 498 )",993,"(+/- 483 )",522,"(+/- 391 )",744,"(+/- 381 )"
People,Ancestry,Ukrainian,3449,"(+/- 1726 )",2934,"(+/- 1680 )",4734,"(+/- 1395 )",3378,"(+/- 1210 )",873,"(+/- 653 )",2696,"(+/- 824 )",2017,"(+/- 1044 )",14261,"(+/- 3573 )",9016,"(+/- 2065 )",8986,"(+/- 2081 )",12022,"(+/- 3400 )",5951,"(+/- 1996 )",903,"(+/- 524 )",1478,"(+/- 459 )",142,"(+/- 134 )",2281,"(+/- 922 )",5687,"(+/- 2586 )",5045,"(+/- 1939 )",5057,"(+/- 1246 )",4747,"(+/- 1256 )",3094,"(+/- 1098 )",5357,"(+/- 1113 )",2508,"(+/- 710 )",8986,"(+/- 1736 )",8696,"(+/- 2398 )",4682,"(+/- 1236 )",4181,"(+/- 1036 )"
