Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
Workers,"Employment Status","Civilian labor force",328561,"(+/- 5024 )",378544,"(+/- 6112 )",341391,"(+/- 5725 )",396555,"(+/- 6454 )",443180,"(+/- 6005 )",373004,"(+/- 7499 )",356498,"(+/- 6845 )",334082,"(+/- 8166 )",340562,"(+/- 7440 )"
Workers,"Employment Status","Unemployment Rate",5.5,"(+/- 0.9 )",4.5,"(+/- 0.7 )",4.8,"(+/- 0.6 )",4.2,"(+/- 0.6 )",4.0,"(+/- 0.6 )",4.2,"(+/- 0.6 )",4.8,"(+/- 0.6 )",4.7,"(+/- 0.6 )",8.2,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",303282,"(+/- 6436 )",354017,"(+/- 5832 )",316016,"(+/- 6098 )",372852,"(+/- 6904 )",413710,"(+/- 6619 )",349639,"(+/- 7553 )",344560,"(+/- 6084 )",314762,"(+/- 8069 )",310320,"(+/- 7327 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",254277,"(+/- 6664 )",294712,"(+/- 5963 )",265757,"(+/- 6761 )",315085,"(+/- 6959 )",326806,"(+/- 7938 )",288857,"(+/- 7682 )",284247,"(+/- 6695 )",273230,"(+/- 7734 )",259166,"(+/- 8420 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",26880,"(+/- 3695 )",26847,"(+/- 3132 )",28207,"(+/- 3778 )",31215,"(+/- 4238 )",39179,"(+/- 4118 )",36384,"(+/- 3690 )",30628,"(+/- 2804 )",21276,"(+/- 2596 )",29741,"(+/- 3911 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1223,"(+/- 879 )",1385,"(+/- 664 )",1319,"(+/- 540 )",698,"(+/- 419 )",7685,"(+/- 1630 )",1073,"(+/- 622 )",1528,"(+/- 823 )",826,"(+/- 449 )",4007,"(+/- 1285 )"
Workers,"Commuting to Work",Walked,3381,"(+/- 929 )",6605,"(+/- 1665 )",4381,"(+/- 1069 )",5158,"(+/- 1502 )",8043,"(+/- 1413 )",2602,"(+/- 797 )",3573,"(+/- 1058 )",3500,"(+/- 850 )",3988,"(+/- 1126 )"
Workers,"Commuting to Work","Other means",5384,"(+/- 1305 )",3530,"(+/- 1034 )",2608,"(+/- 978 )",4209,"(+/- 1098 )",4281,"(+/- 1219 )",3884,"(+/- 1762 )",3515,"(+/- 1077 )",3967,"(+/- 1224 )",4193,"(+/- 1419 )"
Workers,"Commuting to Work","Worked at home",12137,"(+/- 2024 )",20938,"(+/- 2791 )",13744,"(+/- 2377 )",16487,"(+/- 2433 )",27716,"(+/- 2883 )",16839,"(+/- 2374 )",21069,"(+/- 2335 )",11963,"(+/- 1632 )",9225,"(+/- 1728 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.3,"(+/- 0.6 )",23.7,"(+/- 0.6 )",23.6,"(+/- 0.6 )",27.2,"(+/- 0.8 )",25.5,"(+/- 0.6 )",28.8,"(+/- 0.8 )",27.1,"(+/- 0.7 )",24.2,"(+/- 0.8 )",22.1,"(+/- 0.4 )"
Workers,Occupation,"Civilian employed population 16 years and over",310403,"(+/- 6192 )",361565,"(+/- 5926 )",325047,"(+/- 6044 )",379706,"(+/- 6801 )",425542,"(+/- 6617 )",357473,"(+/- 7377 )",339302,"(+/- 6909 )",318339,"(+/- 8110 )",312711,"(+/- 7613 )"
Workers,Occupation,"Management, business, science, and arts occupations",95238,"(+/- 4902 )",137293,"(+/- 5570 )",109666,"(+/- 5917 )",120051,"(+/- 5344 )",175540,"(+/- 6394 )",117031,"(+/- 6233 )",124705,"(+/- 5935 )",121750,"(+/- 6478 )",90135,"(+/- 5565 )"
Workers,Occupation,"Service occupations",60981,"(+/- 3939 )",63285,"(+/- 4033 )",53308,"(+/- 4239 )",58424,"(+/- 4709 )",72678,"(+/- 4670 )",56137,"(+/- 3845 )",56013,"(+/- 4576 )",53503,"(+/- 4067 )",64584,"(+/- 4940 )"
Workers,Occupation,"Sales and office occupations",74150,"(+/- 4682 )",89304,"(+/- 4603 )",76333,"(+/- 4302 )",87521,"(+/- 5751 )",94133,"(+/- 5137 )",89780,"(+/- 4744 )",77174,"(+/- 5204 )",73846,"(+/- 4901 )",75692,"(+/- 4965 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",26886,"(+/- 2642 )",30148,"(+/- 3388 )",29027,"(+/- 3154 )",41651,"(+/- 3856 )",29876,"(+/- 3096 )",37343,"(+/- 3110 )",31149,"(+/- 2641 )",23681,"(+/- 2613 )",24458,"(+/- 2759 )"
Workers,Occupation,"Production, transportation, and material moving occupations",53148,"(+/- 3535 )",41535,"(+/- 3517 )",56713,"(+/- 4000 )",72059,"(+/- 4974 )",53315,"(+/- 3907 )",57182,"(+/- 4459 )",50261,"(+/- 3956 )",45559,"(+/- 3281 )",57842,"(+/- 5027 )"
Workers,Industry,"Civilian employed population 16 years and over",310403,"(+/- 6192 )",361565,"(+/- 5926 )",325047,"(+/- 6044 )",379706,"(+/- 6801 )",425542,"(+/- 6617 )",357473,"(+/- 7377 )",339302,"(+/- 6909 )",318339,"(+/- 8110 )",312711,"(+/- 7613 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4579,"(+/- 1103 )",2690,"(+/- 935 )",2492,"(+/- 801 )",6867,"(+/- 1662 )",1370,"(+/- 655 )",6382,"(+/- 1844 )",4404,"(+/- 1027 )",3870,"(+/- 809 )",731,"(+/- 539 )"
Workers,Industry,Construction,18746,"(+/- 2320 )",25854,"(+/- 3457 )",21522,"(+/- 2744 )",28857,"(+/- 3434 )",28553,"(+/- 2926 )",27392,"(+/- 2615 )",23502,"(+/- 2157 )",17492,"(+/- 2070 )",13903,"(+/- 2323 )"
Workers,Industry,Manufacturing,50682,"(+/- 3538 )",37043,"(+/- 3046 )",51292,"(+/- 3845 )",63138,"(+/- 4362 )",34401,"(+/- 2909 )",53332,"(+/- 3873 )",46570,"(+/- 3357 )",44516,"(+/- 3450 )",28060,"(+/- 3288 )"
Workers,Industry,"Wholesale trade",7042,"(+/- 1538 )",11935,"(+/- 1799 )",5838,"(+/- 1433 )",8279,"(+/- 1699 )",12415,"(+/- 2147 )",11742,"(+/- 1803 )",8731,"(+/- 1535 )",9755,"(+/- 1680 )",8956,"(+/- 2027 )"
Workers,Industry,"Retail trade",39226,"(+/- 3737 )",44550,"(+/- 3462 )",39028,"(+/- 4128 )",42853,"(+/- 4329 )",41638,"(+/- 3486 )",41998,"(+/- 3738 )",42134,"(+/- 4103 )",35279,"(+/- 3416 )",33806,"(+/- 4336 )"
Workers,Industry,"Transportation and warehousing, and utilities",12370,"(+/- 1769 )",18765,"(+/- 2501 )",20127,"(+/- 2091 )",22059,"(+/- 3050 )",25077,"(+/- 2953 )",21388,"(+/- 2691 )",18015,"(+/- 2684 )",25450,"(+/- 2479 )",44742,"(+/- 4126 )"
Workers,Industry,Information,4321,"(+/- 1030 )",8255,"(+/- 1374 )",4528,"(+/- 1162 )",5781,"(+/- 1563 )",12305,"(+/- 1954 )",5688,"(+/- 1414 )",4581,"(+/- 856 )",4311,"(+/- 988 )",4188,"(+/- 1473 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",15246,"(+/- 2104 )",20489,"(+/- 2489 )",23380,"(+/- 2932 )",23073,"(+/- 2115 )",29404,"(+/- 3068 )",18455,"(+/- 1963 )",18246,"(+/- 2025 )",18304,"(+/- 2512 )",13399,"(+/- 2242 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",21360,"(+/- 2235 )",41136,"(+/- 3613 )",32282,"(+/- 2992 )",30606,"(+/- 3042 )",49726,"(+/- 3483 )",31278,"(+/- 2839 )",31645,"(+/- 2922 )",26560,"(+/- 3062 )",30919,"(+/- 3330 )"
Workers,Industry,"Educational services, and health care and social assistance",70005,"(+/- 4301 )",88656,"(+/- 4454 )",70540,"(+/- 4598 )",83105,"(+/- 4280 )",102735,"(+/- 5524 )",74313,"(+/- 4488 )",75807,"(+/- 4547 )",75075,"(+/- 4925 )",70244,"(+/- 5184 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",42263,"(+/- 4813 )",37096,"(+/- 3287 )",29978,"(+/- 3633 )",31001,"(+/- 3302 )",52857,"(+/- 4377 )",32379,"(+/- 3294 )",32342,"(+/- 3711 )",23396,"(+/- 3110 )",35557,"(+/- 3895 )"
Workers,Industry,"Other services, except public administration",13824,"(+/- 1898 )",13038,"(+/- 1978 )",12974,"(+/- 1848 )",18999,"(+/- 2429 )",21209,"(+/- 2445 )",17234,"(+/- 2459 )",16710,"(+/- 2487 )",17920,"(+/- 2041 )",14862,"(+/- 2301 )"
Workers,Industry,"Public administration",10739,"(+/- 2030 )",12058,"(+/- 2018 )",11066,"(+/- 1798 )",15088,"(+/- 2421 )",13852,"(+/- 1876 )",15892,"(+/- 1851 )",16615,"(+/- 2668 )",16411,"(+/- 1956 )",13344,"(+/- 2289 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",310403,"(+/- 6192 )",361565,"(+/- 5926 )",325047,"(+/- 6044 )",379706,"(+/- 6801 )",425542,"(+/- 6617 )",357473,"(+/- 7377 )",339302,"(+/- 6909 )",318339,"(+/- 8110 )",312711,"(+/- 7613 )"
Workers,"Class of Worker","Private wage and salary workers",249279,"(+/- 6719 )",282023,"(+/- 6803 )",261941,"(+/- 6396 )",304288,"(+/- 6533 )",349586,"(+/- 6687 )",281678,"(+/- 6618 )",262880,"(+/- 7472 )",251398,"(+/- 7261 )",260512,"(+/- 7248 )"
Workers,"Class of Worker","Government workers",39589,"(+/- 3563 )",50421,"(+/- 4217 )",41297,"(+/- 3612 )",48863,"(+/- 3376 )",43857,"(+/- 3953 )",46843,"(+/- 3709 )",49855,"(+/- 3761 )",42975,"(+/- 3549 )",38453,"(+/- 3672 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20492,"(+/- 2543 )",28617,"(+/- 3196 )",21323,"(+/- 2672 )",26153,"(+/- 2822 )",31570,"(+/- 3227 )",27905,"(+/- 2688 )",26078,"(+/- 2693 )",23356,"(+/- 2322 )",13669,"(+/- 2610 )"
Workers,"Class of Worker","Unpaid family workers",1043,"(+/- 550 )",504,"(+/- 303 )",486,"(+/- 253 )",402,"(+/- 339 )",529,"(+/- 393 )",1047,"(+/- 534 )",489,"(+/- 248 )",610,"(+/- 419 )",77,"(+/- 94 )"
Housing,"Housing Occupancy","Total housing units",351615,"(+/- 1387 )",333199,"(+/- 1447 )",332318,"(+/- 2363 )",320128,"(+/- 2725 )",347622,"(+/- 1651 )",327388,"(+/- 1482 )",327518,"(+/- 1687 )",302807,"(+/- 3741 )",316204,"(+/- 3628 )"
Housing,"Housing Occupancy","Occupied housing units",289787,"(+/- 4426 )",298668,"(+/- 3744 )",290781,"(+/- 4376 )",289758,"(+/- 4130 )",313397,"(+/- 4234 )",292219,"(+/- 4086 )",284158,"(+/- 4007 )",268254,"(+/- 5292 )",261633,"(+/- 4306 )"
Housing,"Housing Occupancy","Vacant housing units",61828,"(+/- 4432 )",34531,"(+/- 3505 )",41537,"(+/- 3791 )",30370,"(+/- 3426 )",34225,"(+/- 3857 )",35169,"(+/- 3758 )",43360,"(+/- 3631 )",34553,"(+/- 3653 )",54571,"(+/- 3879 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.8,"(+/- 0.6 )",1.3,"(+/- 0.5 )",1.7,"(+/- 0.5 )",1.0,"(+/- 0.4 )",1.4,"(+/- 0.6 )",0.9,"(+/- 0.4 )",1.2,"(+/- 0.4 )",1.3,"(+/- 0.7 )",1.2,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",7.8,"(+/- 1.7 )",5.6,"(+/- 1.4 )",6.6,"(+/- 1.6 )",4.0,"(+/- 1.3 )",6.8,"(+/- 1.3 )",4.6,"(+/- 1.4 )",6.3,"(+/- 2.3 )",7.9,"(+/- 1.8 )",8.9,"(+/- 1.4 )"
Housing,"Housing Tenure","Occupied housing units",289787,"(+/- 4426 )",298668,"(+/- 3744 )",290781,"(+/- 4376 )",289758,"(+/- 4130 )",313397,"(+/- 4234 )",292219,"(+/- 4086 )",284158,"(+/- 4007 )",268254,"(+/- 5292 )",261633,"(+/- 4306 )"
Housing,"Housing Tenure",Owner-occupied,203814,"(+/- 5208 )",201121,"(+/- 4419 )",193551,"(+/- 4866 )",196544,"(+/- 5008 )",171837,"(+/- 4890 )",212752,"(+/- 4364 )",202728,"(+/- 4420 )",190216,"(+/- 4762 )",121227,"(+/- 3323 )"
Housing,"Housing Tenure",Renter-occupied,85973,"(+/- 4929 )",97547,"(+/- 3680 )",97230,"(+/- 3731 )",93214,"(+/- 4300 )",141560,"(+/- 5024 )",79467,"(+/- 4365 )",81430,"(+/- 4438 )",78038,"(+/- 4193 )",140406,"(+/- 4958 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.39,"(+/- 0.05 )",2.50,"(+/- 0.04 )",2.55,"(+/- 0.05 )",2.66,"(+/- 0.05 )",2.51,"(+/- 0.05 )",2.62,"(+/- 0.04 )",2.76,"(+/- 0.04 )",2.65,"(+/- 0.06 )",2.66,"(+/- 0.08 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.44,"(+/- 0.09 )",2.35,"(+/- 0.08 )",2.26,"(+/- 0.08 )",2.62,"(+/- 0.09 )",2.26,"(+/- 0.06 )",2.56,"(+/- 0.10 )",2.46,"(+/- 0.09 )",2.48,"(+/- 0.09 )",2.56,"(+/- 0.06 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",289787,"(+/- 4426 )",298668,"(+/- 3744 )",290781,"(+/- 4376 )",289758,"(+/- 4130 )",313397,"(+/- 4234 )",292219,"(+/- 4086 )",284158,"(+/- 4007 )",268254,"(+/- 5292 )",261633,"(+/- 4306 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",71490,"(+/- 4224 )",86264,"(+/- 3897 )",77817,"(+/- 4357 )",83817,"(+/- 4392 )",117637,"(+/- 4956 )",76769,"(+/- 4363 )",83752,"(+/- 3924 )",66363,"(+/- 4038 )",92443,"(+/- 4673 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",56518,"(+/- 3931 )",63982,"(+/- 3607 )",59886,"(+/- 4064 )",67132,"(+/- 3773 )",74053,"(+/- 4609 )",65991,"(+/- 3892 )",62540,"(+/- 3355 )",55115,"(+/- 3229 )",57851,"(+/- 3507 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",71189,"(+/- 4042 )",72768,"(+/- 3786 )",72167,"(+/- 3857 )",69675,"(+/- 3872 )",63060,"(+/- 4561 )",70902,"(+/- 3864 )",66637,"(+/- 3199 )",68359,"(+/- 3530 )",53569,"(+/- 3273 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",41688,"(+/- 3199 )",37295,"(+/- 2554 )",38354,"(+/- 3350 )",34913,"(+/- 2477 )",29252,"(+/- 2311 )",40893,"(+/- 2587 )",36146,"(+/- 2800 )",38119,"(+/- 2782 )",26492,"(+/- 2118 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",20372,"(+/- 2368 )",16395,"(+/- 1921 )",19728,"(+/- 2032 )",18376,"(+/- 1916 )",13368,"(+/- 1830 )",19117,"(+/- 1850 )",15380,"(+/- 1479 )",20356,"(+/- 1707 )",12726,"(+/- 1728 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",28530,"(+/- 2139 )",21964,"(+/- 2077 )",22829,"(+/- 2198 )",15845,"(+/- 1958 )",16027,"(+/- 1765 )",18547,"(+/- 1857 )",19703,"(+/- 1771 )",19942,"(+/- 1901 )",18552,"(+/- 1650 )"
Housing,Value,"Owner-occupied units",203814,"(+/- 5208 )",201121,"(+/- 4419 )",193551,"(+/- 4866 )",196544,"(+/- 5008 )",171837,"(+/- 4890 )",212752,"(+/- 4364 )",202728,"(+/- 4420 )",190216,"(+/- 4762 )",121227,"(+/- 3323 )"
Housing,Value,"Less than $50,000",21295,"(+/- 2086 )",11677,"(+/- 1576 )",14447,"(+/- 1950 )",14326,"(+/- 1659 )",4146,"(+/- 894 )",15248,"(+/- 1884 )",18630,"(+/- 2139 )",17333,"(+/- 1937 )",18124,"(+/- 1869 )"
Housing,Value,"$50,000 to $99,999",43281,"(+/- 3202 )",27707,"(+/- 2396 )",39352,"(+/- 3012 )",27234,"(+/- 2447 )",7514,"(+/- 1293 )",28783,"(+/- 2879 )",34413,"(+/- 2622 )",38619,"(+/- 2732 )",42829,"(+/- 2619 )"
Housing,Value,"$100,000 to $149,999",44135,"(+/- 3171 )",39781,"(+/- 2633 )",38450,"(+/- 2906 )",32924,"(+/- 2192 )",22372,"(+/- 2580 )",37068,"(+/- 3015 )",29793,"(+/- 1972 )",32467,"(+/- 2796 )",23716,"(+/- 2340 )"
Housing,Value,"$150,000 to $199,999",38560,"(+/- 2879 )",40484,"(+/- 3085 )",35749,"(+/- 2816 )",40154,"(+/- 2851 )",32612,"(+/- 2769 )",36670,"(+/- 2658 )",24445,"(+/- 2422 )",27475,"(+/- 2198 )",18192,"(+/- 1920 )"
Housing,Value,"$200,000 to $299,999",35729,"(+/- 3157 )",41795,"(+/- 2866 )",33801,"(+/- 2500 )",46717,"(+/- 3356 )",45829,"(+/- 2963 )",50814,"(+/- 3179 )",30201,"(+/- 2568 )",36887,"(+/- 2952 )",10846,"(+/- 1395 )"
Housing,Value,"$300,000 to $499,999",15039,"(+/- 1890 )",24826,"(+/- 2032 )",20858,"(+/- 1962 )",26619,"(+/- 2553 )",36764,"(+/- 2719 )",34456,"(+/- 2360 )",36878,"(+/- 2808 )",27165,"(+/- 2135 )",5283,"(+/- 1038 )"
Housing,Value,"$500,000 to $999,999",4612,"(+/- 1000 )",12508,"(+/- 1781 )",9087,"(+/- 1114 )",6923,"(+/- 1135 )",17255,"(+/- 1964 )",8003,"(+/- 1386 )",24159,"(+/- 2132 )",7863,"(+/- 1278 )",1702,"(+/- 585 )"
Housing,Value,"$1,000,000 or more",1163,"(+/- 471 )",2343,"(+/- 689 )",1807,"(+/- 603 )",1647,"(+/- 637 )",5345,"(+/- 973 )",1710,"(+/- 693 )",4209,"(+/- 764 )",2407,"(+/- 782 )",535,"(+/- 284 )"
Housing,Value,"Median (dollars)",142400,"(+/- 3416 )",174600,"(+/- 3622 )",155300,"(+/- 3306 )",176300,"(+/- 4692 )",238800,"(+/- 6641 )",181500,"(+/- 4985 )",183300,"(+/- 7827 )",160300,"(+/- 4657 )",99500,"(+/- 3692 )"
Housing,"Mortgage Status","Owner-occupied units",203814,"(+/- 5208 )",201121,"(+/- 4419 )",193551,"(+/- 4866 )",196544,"(+/- 5008 )",171837,"(+/- 4890 )",212752,"(+/- 4364 )",202728,"(+/- 4420 )",190216,"(+/- 4762 )",121227,"(+/- 3323 )"
Housing,"Mortgage Status","Housing units with a mortgage",107359,"(+/- 4537 )",120169,"(+/- 4014 )",105289,"(+/- 4759 )",119318,"(+/- 4894 )",118693,"(+/- 4817 )",118739,"(+/- 4005 )",123424,"(+/- 4121 )",109689,"(+/- 4435 )",74405,"(+/- 3174 )"
Housing,"Mortgage Status","Housing units without a mortgage",96455,"(+/- 3963 )",80952,"(+/- 3184 )",88262,"(+/- 4062 )",77226,"(+/- 3778 )",53144,"(+/- 2888 )",94013,"(+/- 3972 )",79304,"(+/- 3724 )",80527,"(+/- 3609 )",46822,"(+/- 2418 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",107359,"(+/- 4537 )",120169,"(+/- 4014 )",105289,"(+/- 4759 )",119318,"(+/- 4894 )",118693,"(+/- 4817 )",118739,"(+/- 4005 )",123424,"(+/- 4121 )",109689,"(+/- 4435 )",74405,"(+/- 3174 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",5484,"(+/- 1342 )",2913,"(+/- 692 )",3372,"(+/- 1038 )",2780,"(+/- 712 )",1624,"(+/- 651 )",3532,"(+/- 994 )",4041,"(+/- 1113 )",2393,"(+/- 586 )",1326,"(+/- 398 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",48256,"(+/- 3360 )",40654,"(+/- 3046 )",40988,"(+/- 3197 )",38575,"(+/- 2954 )",26548,"(+/- 2579 )",36347,"(+/- 2687 )",33689,"(+/- 2485 )",32650,"(+/- 2990 )",26063,"(+/- 2814 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",34308,"(+/- 3157 )",45806,"(+/- 2839 )",36692,"(+/- 3207 )",45786,"(+/- 3613 )",44419,"(+/- 3952 )",42059,"(+/- 3027 )",35149,"(+/- 3240 )",32738,"(+/- 2652 )",29508,"(+/- 2402 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",12281,"(+/- 1599 )",16068,"(+/- 1702 )",10934,"(+/- 1825 )",19383,"(+/- 2554 )",21892,"(+/- 2466 )",21311,"(+/- 2167 )",19061,"(+/- 2288 )",21992,"(+/- 2641 )",12465,"(+/- 1939 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",4127,"(+/- 1025 )",8094,"(+/- 1104 )",6928,"(+/- 1183 )",6558,"(+/- 1293 )",9895,"(+/- 1698 )",8364,"(+/- 1367 )",14477,"(+/- 2053 )",9077,"(+/- 1341 )",2323,"(+/- 607 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1019,"(+/- 438 )",3207,"(+/- 779 )",3210,"(+/- 705 )",3785,"(+/- 1076 )",6839,"(+/- 1113 )",4081,"(+/- 1146 )",7632,"(+/- 1357 )",5388,"(+/- 1091 )",1569,"(+/- 564 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",1884,"(+/- 747 )",3427,"(+/- 729 )",3165,"(+/- 984 )",2451,"(+/- 702 )",7476,"(+/- 1077 )",3045,"(+/- 830 )",9375,"(+/- 1191 )",5451,"(+/- 977 )",1151,"(+/- 465 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",999,"(+/- 30 )",1160,"(+/- 22 )",1092,"(+/- 27 )",1181,"(+/- 22 )",1343,"(+/- 28 )",1199,"(+/- 24 )",1311,"(+/- 48 )",1302,"(+/- 33 )",1132,"(+/- 29 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",96455,"(+/- 3963 )",80952,"(+/- 3184 )",88262,"(+/- 4062 )",77226,"(+/- 3778 )",53144,"(+/- 2888 )",94013,"(+/- 3972 )",79304,"(+/- 3724 )",80527,"(+/- 3609 )",46822,"(+/- 2418 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",30221,"(+/- 2793 )",15295,"(+/- 1886 )",18175,"(+/- 1927 )",14630,"(+/- 1906 )",3995,"(+/- 832 )",18847,"(+/- 1732 )",17754,"(+/- 2127 )",15192,"(+/- 1753 )",7088,"(+/- 1235 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",40298,"(+/- 2528 )",33142,"(+/- 2513 )",36037,"(+/- 3168 )",32116,"(+/- 2679 )",15731,"(+/- 1634 )",37183,"(+/- 3005 )",29177,"(+/- 2396 )",24370,"(+/- 1925 )",14603,"(+/- 1783 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",20151,"(+/- 2183 )",23144,"(+/- 2001 )",25035,"(+/- 2425 )",21969,"(+/- 2136 )",17896,"(+/- 1747 )",26661,"(+/- 2260 )",20815,"(+/- 2217 )",22038,"(+/- 2024 )",16074,"(+/- 2013 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",4021,"(+/- 946 )",5828,"(+/- 1059 )",6605,"(+/- 1222 )",5350,"(+/- 1044 )",7974,"(+/- 1388 )",8057,"(+/- 1068 )",6725,"(+/- 1393 )",10117,"(+/- 1620 )",5481,"(+/- 1196 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1038,"(+/- 446 )",2470,"(+/- 969 )",1121,"(+/- 493 )",1881,"(+/- 682 )",3827,"(+/- 1083 )",1965,"(+/- 674 )",2554,"(+/- 682 )",4444,"(+/- 1132 )",1886,"(+/- 563 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",726,"(+/- 332 )",1073,"(+/- 437 )",1289,"(+/- 500 )",1280,"(+/- 602 )",3721,"(+/- 940 )",1300,"(+/- 543 )",2279,"(+/- 627 )",4366,"(+/- 1260 )",1690,"(+/- 546 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",311,"(+/- 8 )",359,"(+/- 11 )",361,"(+/- 9 )",361,"(+/- 10 )",466,"(+/- 14 )",362,"(+/- 8 )",360,"(+/- 12 )",406,"(+/- 15 )",419,"(+/- 18 )"
Housing,"Gross Rent","Occupied units paying rent",77141,"(+/- 4799 )",89106,"(+/- 3623 )",87623,"(+/- 3764 )",86502,"(+/- 4433 )",136970,"(+/- 4996 )",71855,"(+/- 4128 )",72138,"(+/- 4235 )",71361,"(+/- 4014 )",135916,"(+/- 5132 )"
Housing,"Gross Rent","Less than $500",19821,"(+/- 2594 )",12779,"(+/- 1861 )",17177,"(+/- 2331 )",10820,"(+/- 1924 )",11541,"(+/- 1855 )",12046,"(+/- 1580 )",10022,"(+/- 1557 )",11475,"(+/- 1506 )",10342,"(+/- 1587 )"
Housing,"Gross Rent","$500 to $999",48634,"(+/- 3374 )",49680,"(+/- 3715 )",51804,"(+/- 3680 )",48872,"(+/- 3611 )",47952,"(+/- 3950 )",40497,"(+/- 3654 )",34473,"(+/- 2818 )",39294,"(+/- 2733 )",80128,"(+/- 4807 )"
Housing,"Gross Rent","$1,000 to $1,499",7859,"(+/- 1730 )",20724,"(+/- 2461 )",14347,"(+/- 2298 )",19996,"(+/- 2456 )",54620,"(+/- 3455 )",15592,"(+/- 1933 )",18565,"(+/- 2307 )",14561,"(+/- 2512 )",37898,"(+/- 3319 )"
Housing,"Gross Rent","$1,500 to $1,999",759,"(+/- 563 )",4082,"(+/- 1129 )",2875,"(+/- 1038 )",5400,"(+/- 1530 )",15724,"(+/- 2312 )",2969,"(+/- 821 )",5493,"(+/- 1645 )",4872,"(+/- 1498 )",5423,"(+/- 1116 )"
Housing,"Gross Rent","$2,000 to $2,499",68,"(+/- 87 )",862,"(+/- 519 )",1029,"(+/- 801 )",971,"(+/- 565 )",4678,"(+/- 1189 )",366,"(+/- 274 )",2315,"(+/- 959 )",760,"(+/- 550 )",1774,"(+/- 732 )"
Housing,"Gross Rent","$2,500 to $2,999",0,"(+/- 208 )",467,"(+/- 327 )",171,"(+/- 225 )",234,"(+/- 204 )",1220,"(+/- 534 )",311,"(+/- 209 )",671,"(+/- 387 )",72,"(+/- 118 )",351,"(+/- 289 )"
Housing,"Gross Rent","$3,000 or more",0,"(+/- 208 )",512,"(+/- 461 )",220,"(+/- 182 )",209,"(+/- 219 )",1235,"(+/- 725 )",74,"(+/- 122 )",599,"(+/- 451 )",327,"(+/- 374 )",0,"(+/- 208 )"
Housing,"Gross Rent","Median (dollars)",651,"(+/- 16 )",830,"(+/- 20 )",738,"(+/- 25 )",825,"(+/- 27 )",1063,"(+/- 20 )",764,"(+/- 24 )",853,"(+/- 32 )",752,"(+/- 27 )",878,"(+/- 20 )"
