Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE"
People,Ancestry,Lithuanian,1239,"(+/- 793 )",851,"(+/- 462 )",410,"(+/- 280 )",92,"(+/- 108 )",354,"(+/- 222 )",440,"(+/- 495 )",1081,"(+/- 658 )",363,"(+/- 252 )",2219,"(+/- 843 )",739,"(+/- 494 )",2041,"(+/- 733 )",1164,"(+/- 671 )",1782,"(+/- 710 )",6157,"(+/- 1647 )",1322,"(+/- 926 )",2449,"(+/- 914 )"
People,Ancestry,Norwegian,2555,"(+/- 884 )",4704,"(+/- 1558 )",2289,"(+/- 782 )",1628,"(+/- 527 )",2592,"(+/- 929 )",1414,"(+/- 666 )",2581,"(+/- 911 )",2602,"(+/- 818 )",2282,"(+/- 1131 )",6008,"(+/- 1646 )",1050,"(+/- 421 )",4630,"(+/- 1488 )",1440,"(+/- 605 )",3201,"(+/- 851 )",2747,"(+/- 830 )",2963,"(+/- 1004 )"
People,Ancestry,Polish,10713,"(+/- 2157 )",12441,"(+/- 1867 )",16653,"(+/- 3193 )",20267,"(+/- 2804 )",39101,"(+/- 4157 )",18716,"(+/- 2781 )",30284,"(+/- 3645 )",9813,"(+/- 2198 )",48476,"(+/- 3841 )",15196,"(+/- 2433 )",28576,"(+/- 3175 )",22629,"(+/- 3294 )",32669,"(+/- 3604 )",51704,"(+/- 4547 )",15400,"(+/- 2825 )",51580,"(+/- 4755 )"
People,Ancestry,Portuguese,449,"(+/- 346 )",856,"(+/- 845 )",587,"(+/- 451 )",265,"(+/- 272 )",962,"(+/- 798 )",102,"(+/- 119 )",819,"(+/- 439 )",560,"(+/- 357 )",657,"(+/- 525 )",341,"(+/- 241 )",476,"(+/- 370 )",1082,"(+/- 843 )",979,"(+/- 742 )",1384,"(+/- 909 )",1100,"(+/- 1115 )",103,"(+/- 107 )"
People,Ancestry,Russian,3383,"(+/- 1119 )",1299,"(+/- 470 )",2978,"(+/- 1150 )",1594,"(+/- 747 )",1367,"(+/- 627 )",2572,"(+/- 1119 )",2690,"(+/- 1044 )",2177,"(+/- 733 )",4253,"(+/- 1059 )",3847,"(+/- 1417 )",6822,"(+/- 1780 )",3012,"(+/- 994 )",4514,"(+/- 1289 )",10091,"(+/- 1940 )",4571,"(+/- 1398 )",6908,"(+/- 1590 )"
People,Ancestry,Scotch-Irish,5199,"(+/- 1585 )",7972,"(+/- 1815 )",4658,"(+/- 1404 )",6435,"(+/- 1467 )",5087,"(+/- 1298 )",9529,"(+/- 1902 )",6170,"(+/- 1283 )",7673,"(+/- 1886 )",7081,"(+/- 1792 )",6452,"(+/- 1313 )",3369,"(+/- 989 )",11260,"(+/- 3288 )",6591,"(+/- 1471 )",6768,"(+/- 1611 )",9814,"(+/- 1849 )",7313,"(+/- 1443 )"
People,Ancestry,Scottish,11688,"(+/- 2484 )",13066,"(+/- 2311 )",9880,"(+/- 2381 )",12571,"(+/- 2591 )",13813,"(+/- 2386 )",14586,"(+/- 2450 )",12204,"(+/- 1911 )",16606,"(+/- 3621 )",9939,"(+/- 1737 )",15378,"(+/- 2400 )",5229,"(+/- 1035 )",17820,"(+/- 2249 )",11265,"(+/- 2352 )",11830,"(+/- 1924 )",17167,"(+/- 2529 )",13631,"(+/- 1732 )"
People,Ancestry,Slovak,1101,"(+/- 746 )",593,"(+/- 316 )",1918,"(+/- 695 )",3268,"(+/- 1157 )",2300,"(+/- 846 )",6809,"(+/- 1641 )",7174,"(+/- 1418 )",912,"(+/- 438 )",11702,"(+/- 1985 )",1404,"(+/- 615 )",8007,"(+/- 1503 )",4755,"(+/- 1929 )",21387,"(+/- 2915 )",18628,"(+/- 3517 )",3165,"(+/- 1269 )",21421,"(+/- 2361 )"
People,Ancestry,"Subsaharan African",9851,"(+/- 2719 )",2929,"(+/- 1302 )",42200,"(+/- 8445 )",1769,"(+/- 871 )",4292,"(+/- 2429 )",4199,"(+/- 1100 )",2840,"(+/- 1230 )",7208,"(+/- 2613 )",16283,"(+/- 4083 )",7840,"(+/- 2258 )",10071,"(+/- 2141 )",5133,"(+/- 1937 )",6984,"(+/- 2205 )",2635,"(+/- 1662 )",5063,"(+/- 2215 )",3202,"(+/- 1759 )"
People,Ancestry,Swedish,3615,"(+/- 1240 )",4121,"(+/- 1288 )",2198,"(+/- 769 )",2432,"(+/- 866 )",5801,"(+/- 1350 )",2795,"(+/- 841 )",3947,"(+/- 1020 )",3443,"(+/- 1105 )",4185,"(+/- 1041 )",4806,"(+/- 1237 )",2736,"(+/- 727 )",6860,"(+/- 1852 )",4768,"(+/- 1241 )",9028,"(+/- 2206 )",3963,"(+/- 1490 )",6619,"(+/- 2380 )"
People,Ancestry,Swiss,1280,"(+/- 540 )",1959,"(+/- 1052 )",1734,"(+/- 691 )",4856,"(+/- 1274 )",7264,"(+/- 1722 )",2985,"(+/- 1097 )",11885,"(+/- 2659 )",2821,"(+/- 954 )",951,"(+/- 390 )",1868,"(+/- 976 )",687,"(+/- 290 )",3756,"(+/- 977 )",3227,"(+/- 733 )",3075,"(+/- 1167 )",3957,"(+/- 1128 )",11351,"(+/- 1641 )"
People,Ancestry,Ukrainian,852,"(+/- 448 )",964,"(+/- 567 )",1298,"(+/- 599 )",984,"(+/- 608 )",1660,"(+/- 822 )",1891,"(+/- 821 )",2653,"(+/- 1066 )",459,"(+/- 472 )",4929,"(+/- 1376 )",861,"(+/- 437 )",3534,"(+/- 1095 )",1504,"(+/- 747 )",4403,"(+/- 1238 )",6051,"(+/- 1705 )",1738,"(+/- 954 )",10182,"(+/- 2674 )"
People,Ancestry,Welsh,4165,"(+/- 1030 )",4790,"(+/- 1113 )",8054,"(+/- 2187 )",6931,"(+/- 1599 )",4807,"(+/- 1050 )",8650,"(+/- 1506 )",7646,"(+/- 1714 )",5310,"(+/- 1637 )",4288,"(+/- 1294 )",6143,"(+/- 1476 )",3044,"(+/- 1010 )",13421,"(+/- 2259 )",11337,"(+/- 1750 )",7097,"(+/- 1837 )",9936,"(+/- 2172 )",11566,"(+/- 2251 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2454,"(+/- 1412 )",542,"(+/- 411 )",2795,"(+/- 1145 )",1079,"(+/- 904 )",781,"(+/- 568 )",182,"(+/- 209 )",1153,"(+/- 971 )",314,"(+/- 320 )",1044,"(+/- 669 )",1561,"(+/- 831 )",4398,"(+/- 1282 )",899,"(+/- 692 )",852,"(+/- 927 )",933,"(+/- 643 )",1171,"(+/- 684 )",227,"(+/- 211 )"
People,"Veteran Status","Civilian population 18 years and over",559732,"(+/- 6875 )",565617,"(+/- 8074 )",594813,"(+/- 8567 )",551517,"(+/- 4215 )",554418,"(+/- 4502 )",552193,"(+/- 5201 )",557915,"(+/- 6044 )",559060,"(+/- 1353 )",561360,"(+/- 8457 )",559266,"(+/- 1781 )",532155,"(+/- 8174 )",594551,"(+/- 7490 )",573718,"(+/- 7762 )",566057,"(+/- 5956 )",602378,"(+/- 7280 )",562687,"(+/- 8267 )"
People,"Veteran Status","Civilian veterans",38841,"(+/- 3039 )",43530,"(+/- 3125 )",38751,"(+/- 2688 )",46423,"(+/- 2728 )",40445,"(+/- 2064 )",53923,"(+/- 3157 )",48582,"(+/- 3070 )",48398,"(+/- 2529 )",39508,"(+/- 2984 )",54271,"(+/- 2939 )",34136,"(+/- 2551 )",47033,"(+/- 3451 )",45575,"(+/- 2732 )",42948,"(+/- 2826 )",50172,"(+/- 2847 )",42111,"(+/- 2470 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",728725,"(+/- 8798 )",720955,"(+/- 10196 )",777489,"(+/- 10059 )",689580,"(+/- 5993 )",709852,"(+/- 6000 )",679328,"(+/- 7067 )",717702,"(+/- 7623 )",722828,"(+/- 2076 )",714004,"(+/- 12248 )",708654,"(+/- 2522 )",664639,"(+/- 13186 )",769620,"(+/- 9228 )",706272,"(+/- 11415 )",716414,"(+/- 8141 )",750953,"(+/- 9863 )",708063,"(+/- 9057 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",86572,"(+/- 5176 )",113489,"(+/- 5299 )",103524,"(+/- 5653 )",104343,"(+/- 4845 )",85911,"(+/- 3714 )",121503,"(+/- 5777 )",96017,"(+/- 4383 )",95697,"(+/- 4164 )",120849,"(+/- 5848 )",107718,"(+/- 4736 )",113996,"(+/- 4133 )",89053,"(+/- 4871 )",107745,"(+/- 4979 )",86333,"(+/- 4363 )",97744,"(+/- 5078 )",82601,"(+/- 4266 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",180536,"(+/- 4139 )",162400,"(+/- 4506 )",187671,"(+/- 5114 )",158528,"(+/- 3075 )",162329,"(+/- 3499 )",143348,"(+/- 3311 )",167033,"(+/- 4490 )",170749,"(+/- 1144 )",158854,"(+/- 6467 )",157514,"(+/- 708 )",142695,"(+/- 7161 )",185598,"(+/- 4239 )",141601,"(+/- 6041 )",158441,"(+/- 4628 )",168775,"(+/- 5344 )",151980,"(+/- 5268 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8636,"(+/- 2095 )",9788,"(+/- 1714 )",10311,"(+/- 1818 )",9556,"(+/- 1459 )",7512,"(+/- 1500 )",7810,"(+/- 1276 )",7389,"(+/- 1693 )",7171,"(+/- 1620 )",10543,"(+/- 2107 )",7966,"(+/- 1480 )",8833,"(+/- 1923 )",9450,"(+/- 1631 )",8654,"(+/- 1557 )",6862,"(+/- 1503 )",6801,"(+/- 1278 )",5326,"(+/- 952 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",447867,"(+/- 5986 )",441500,"(+/- 7023 )",508134,"(+/- 7932 )",411725,"(+/- 4512 )",430409,"(+/- 4552 )",403918,"(+/- 4978 )",422248,"(+/- 5706 )",436660,"(+/- 1674 )",444850,"(+/- 8357 )",430539,"(+/- 2384 )",413418,"(+/- 7883 )",472318,"(+/- 7049 )",438613,"(+/- 7824 )",421487,"(+/- 5992 )",473076,"(+/- 7579 )",420076,"(+/- 6950 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44910,"(+/- 3730 )",60596,"(+/- 3922 )",62744,"(+/- 4896 )",52343,"(+/- 3532 )",42536,"(+/- 2688 )",64159,"(+/- 4454 )",46175,"(+/- 3533 )",50600,"(+/- 3292 )",65494,"(+/- 3650 )",55593,"(+/- 3693 )",64577,"(+/- 3772 )",45659,"(+/- 3413 )",56417,"(+/- 3845 )",37898,"(+/- 2820 )",52597,"(+/- 3765 )",37901,"(+/- 3131 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",100322,"(+/- 3129 )",117055,"(+/- 3535 )",81684,"(+/- 3466 )",119327,"(+/- 2541 )",117114,"(+/- 2295 )",132062,"(+/- 3183 )",128421,"(+/- 3958 )",115419,"(+/- 1194 )",110300,"(+/- 3667 )",120601,"(+/- 1285 )",108526,"(+/- 2955 )",111704,"(+/- 2921 )",126058,"(+/- 3280 )",136486,"(+/- 3106 )",109102,"(+/- 3107 )",136007,"(+/- 4613 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33026,"(+/- 2841 )",43105,"(+/- 2842 )",30469,"(+/- 3015 )",42444,"(+/- 2740 )",35863,"(+/- 2284 )",49534,"(+/- 2636 )",42453,"(+/- 2831 )",37926,"(+/- 2304 )",44812,"(+/- 3188 )",44159,"(+/- 2304 )",40586,"(+/- 2147 )",33944,"(+/- 2480 )",42674,"(+/- 2499 )",41573,"(+/- 2972 )",38346,"(+/- 2327 )",39374,"(+/- 2743 )"
People,"Residence 1 Year Ago","Population 1 year and over",730270,"(+/- 8811 )",720508,"(+/- 10498 )",771547,"(+/- 10535 )",702734,"(+/- 5758 )",707949,"(+/- 5965 )",688840,"(+/- 6763 )",717505,"(+/- 7519 )",721727,"(+/- 2088 )",712521,"(+/- 12459 )",713022,"(+/- 2091 )",667079,"(+/- 12707 )",771209,"(+/- 9135 )",707018,"(+/- 10874 )",717472,"(+/- 8018 )",762624,"(+/- 9154 )",708084,"(+/- 9158 )"
People,"Residence 1 Year Ago","Same house",613818,"(+/- 11597 )",625535,"(+/- 12333 )",615449,"(+/- 13252 )",596661,"(+/- 8800 )",608404,"(+/- 8288 )",615116,"(+/- 8307 )",625205,"(+/- 10706 )",615109,"(+/- 8321 )",595320,"(+/- 13301 )",579330,"(+/- 8582 )",555071,"(+/- 13170 )",662294,"(+/- 11865 )",611571,"(+/- 11573 )",639033,"(+/- 9827 )",644719,"(+/- 10224 )",620212,"(+/- 10664 )"
People,"Residence 1 Year Ago","Different house in the U.S.",112303,"(+/- 7908 )",92999,"(+/- 7825 )",150435,"(+/- 8920 )",103753,"(+/- 6932 )",97909,"(+/- 6687 )",73270,"(+/- 6339 )",90944,"(+/- 7114 )",102975,"(+/- 7728 )",114092,"(+/- 9514 )",129529,"(+/- 8262 )",108756,"(+/- 8339 )",104933,"(+/- 7768 )",92458,"(+/- 7219 )",77277,"(+/- 7038 )",114498,"(+/- 7903 )",85543,"(+/- 7607 )"
People,"Residence 1 Year Ago","Same county",70914,"(+/- 7602 )",55654,"(+/- 6247 )",112538,"(+/- 8732 )",59546,"(+/- 5935 )",60475,"(+/- 5748 )",45187,"(+/- 5445 )",57338,"(+/- 5453 )",63033,"(+/- 5927 )",86601,"(+/- 8885 )",77699,"(+/- 6545 )",82823,"(+/- 7509 )",58328,"(+/- 5332 )",55509,"(+/- 6286 )",44706,"(+/- 6353 )",65042,"(+/- 6599 )",51152,"(+/- 5626 )"
People,"Residence 1 Year Ago","Different county",41389,"(+/- 5228 )",37345,"(+/- 5550 )",37897,"(+/- 4475 )",44207,"(+/- 5066 )",37434,"(+/- 4737 )",28083,"(+/- 3354 )",33606,"(+/- 5049 )",39942,"(+/- 4879 )",27491,"(+/- 4030 )",51830,"(+/- 5246 )",25933,"(+/- 3154 )",46605,"(+/- 5003 )",36949,"(+/- 4530 )",32571,"(+/- 4115 )",49456,"(+/- 4541 )",34391,"(+/- 4985 )"
People,"Residence 1 Year Ago","Same state",25385,"(+/- 4017 )",24225,"(+/- 4332 )",23589,"(+/- 3594 )",33589,"(+/- 4398 )",25322,"(+/- 3060 )",16704,"(+/- 2732 )",24720,"(+/- 3907 )",28147,"(+/- 4435 )",15768,"(+/- 2894 )",32030,"(+/- 3647 )",13451,"(+/- 2184 )",33958,"(+/- 4250 )",23988,"(+/- 4004 )",21893,"(+/- 3602 )",39952,"(+/- 4142 )",23479,"(+/- 3802 )"
People,"Residence 1 Year Ago","Different state",16004,"(+/- 3306 )",13120,"(+/- 2338 )",14308,"(+/- 3219 )",10618,"(+/- 2393 )",12112,"(+/- 2776 )",11379,"(+/- 2561 )",8886,"(+/- 2889 )",11795,"(+/- 2352 )",11723,"(+/- 2664 )",19800,"(+/- 3469 )",12482,"(+/- 2148 )",12647,"(+/- 3080 )",12961,"(+/- 2829 )",10678,"(+/- 2059 )",9504,"(+/- 2049 )",10912,"(+/- 2638 )"
People,"Residence 1 Year Ago",Abroad,4149,"(+/- 1516 )",1974,"(+/- 829 )",5663,"(+/- 2747 )",2320,"(+/- 769 )",1636,"(+/- 768 )",454,"(+/- 374 )",1356,"(+/- 592 )",3643,"(+/- 1251 )",3109,"(+/- 1340 )",4163,"(+/- 1584 )",3252,"(+/- 984 )",3982,"(+/- 1643 )",2989,"(+/- 1038 )",1162,"(+/- 579 )",3407,"(+/- 1207 )",2329,"(+/- 886 )"
Workers,"Employment Status","Population 16 years and over",580778,"(+/- 7168 )",584026,"(+/- 8288 )",613334,"(+/- 8875 )",571647,"(+/- 4373 )",575334,"(+/- 4800 )",569515,"(+/- 5269 )",579867,"(+/- 6210 )",579771,"(+/- 1948 )",580362,"(+/- 8545 )",583251,"(+/- 1973 )",549680,"(+/- 8105 )",616319,"(+/- 7787 )",589498,"(+/- 8094 )",586754,"(+/- 6131 )",624112,"(+/- 7772 )",582421,"(+/- 8623 )"
Workers,"Employment Status","In labor force",384955,"(+/- 6131 )",368529,"(+/- 7789 )",411606,"(+/- 8284 )",348121,"(+/- 5403 )",379664,"(+/- 6045 )",313203,"(+/- 7006 )",356726,"(+/- 6267 )",368843,"(+/- 4667 )",360502,"(+/- 8843 )",358146,"(+/- 4847 )",325231,"(+/- 7095 )",411768,"(+/- 8129 )",362328,"(+/- 7977 )",372107,"(+/- 7388 )",392479,"(+/- 7587 )",380323,"(+/- 8148 )"
Workers,"Employment Status","Civilian labor force",384600,"(+/- 6156 )",368522,"(+/- 7789 )",411378,"(+/- 8316 )",347869,"(+/- 5409 )",378982,"(+/- 6039 )",313041,"(+/- 7032 )",356499,"(+/- 6270 )",368406,"(+/- 4679 )",360218,"(+/- 8807 )",353670,"(+/- 5140 )",325169,"(+/- 7099 )",411545,"(+/- 8138 )",362164,"(+/- 7970 )",371882,"(+/- 7401 )",391284,"(+/- 7619 )",380127,"(+/- 8122 )"
Workers,"Employment Status",Employed,365264,"(+/- 5966 )",354202,"(+/- 7929 )",387111,"(+/- 8795 )",330778,"(+/- 5833 )",364269,"(+/- 6198 )",296931,"(+/- 7164 )",339554,"(+/- 6359 )",351417,"(+/- 4890 )",330887,"(+/- 8131 )",332116,"(+/- 5748 )",293397,"(+/- 7451 )",398968,"(+/- 8012 )",338439,"(+/- 7968 )",357578,"(+/- 7600 )",375949,"(+/- 7598 )",365148,"(+/- 7854 )"
Workers,"Employment Status",Unemployed,19336,"(+/- 2824 )",14320,"(+/- 1886 )",24267,"(+/- 3338 )",17091,"(+/- 2164 )",14713,"(+/- 1965 )",16110,"(+/- 2432 )",16945,"(+/- 2481 )",16989,"(+/- 2151 )",29331,"(+/- 3190 )",21554,"(+/- 3132 )",31772,"(+/- 2511 )",12577,"(+/- 2093 )",23725,"(+/- 2981 )",14304,"(+/- 1975 )",15335,"(+/- 1980 )",14979,"(+/- 2110 )"
Workers,"Employment Status","Armed Forces",355,"(+/- 308 )",7,"(+/- 14 )",228,"(+/- 218 )",252,"(+/- 279 )",682,"(+/- 527 )",162,"(+/- 137 )",227,"(+/- 223 )",437,"(+/- 548 )",284,"(+/- 219 )",4476,"(+/- 1031 )",62,"(+/- 102 )",223,"(+/- 185 )",164,"(+/- 172 )",225,"(+/- 193 )",1195,"(+/- 681 )",196,"(+/- 186 )"
Workers,"Employment Status","Not in labor force",195823,"(+/- 5652 )",215497,"(+/- 6494 )",201728,"(+/- 8164 )",223526,"(+/- 4840 )",195670,"(+/- 4830 )",256312,"(+/- 6004 )",223141,"(+/- 6050 )",210928,"(+/- 4635 )",219860,"(+/- 5842 )",225105,"(+/- 5088 )",224449,"(+/- 5493 )",204551,"(+/- 6993 )",227170,"(+/- 5824 )",214647,"(+/- 6471 )",231633,"(+/- 5324 )",202098,"(+/- 5298 )"
Workers,"Employment Status","Civilian labor force",384600,"(+/- 6156 )",368522,"(+/- 7789 )",411378,"(+/- 8316 )",347869,"(+/- 5409 )",378982,"(+/- 6039 )",313041,"(+/- 7032 )",356499,"(+/- 6270 )",368406,"(+/- 4679 )",360218,"(+/- 8807 )",353670,"(+/- 5140 )",325169,"(+/- 7099 )",411545,"(+/- 8138 )",362164,"(+/- 7970 )",371882,"(+/- 7401 )",391284,"(+/- 7619 )",380127,"(+/- 8122 )"
Workers,"Employment Status","Unemployment Rate",5.0,"(+/- 0.7 )",3.9,"(+/- 0.5 )",5.9,"(+/- 0.8 )",4.9,"(+/- 0.6 )",3.9,"(+/- 0.5 )",5.1,"(+/- 0.8 )",4.8,"(+/- 0.7 )",4.6,"(+/- 0.6 )",8.1,"(+/- 0.8 )",6.1,"(+/- 0.9 )",9.8,"(+/- 0.8 )",3.1,"(+/- 0.5 )",6.6,"(+/- 0.8 )",3.8,"(+/- 0.5 )",3.9,"(+/- 0.5 )",3.9,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",357977,"(+/- 5686 )",347101,"(+/- 8353 )",378321,"(+/- 8577 )",325722,"(+/- 5768 )",356450,"(+/- 6251 )",291091,"(+/- 7031 )",332540,"(+/- 6506 )",346194,"(+/- 5105 )",323081,"(+/- 8199 )",331150,"(+/- 5517 )",287494,"(+/- 7367 )",391054,"(+/- 8338 )",330284,"(+/- 7858 )",350759,"(+/- 7644 )",369456,"(+/- 7420 )",357909,"(+/- 7946 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",288249,"(+/- 5974 )",289103,"(+/- 8875 )",301356,"(+/- 7747 )",277097,"(+/- 6624 )",302761,"(+/- 6601 )",253869,"(+/- 7510 )",274108,"(+/- 6591 )",297345,"(+/- 5236 )",261236,"(+/- 7743 )",277137,"(+/- 5871 )",219825,"(+/- 6362 )",324255,"(+/- 8091 )",279915,"(+/- 7489 )",298534,"(+/- 7465 )",312851,"(+/- 7156 )",306610,"(+/- 7541 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",27357,"(+/- 2723 )",27309,"(+/- 3257 )",31641,"(+/- 3810 )",27967,"(+/- 3082 )",25550,"(+/- 2184 )",19179,"(+/- 2513 )",27985,"(+/- 2645 )",24872,"(+/- 2825 )",31809,"(+/- 3255 )",25179,"(+/- 2636 )",25130,"(+/- 2575 )",26266,"(+/- 2764 )",25962,"(+/- 2877 )",23662,"(+/- 2163 )",26101,"(+/- 3187 )",23671,"(+/- 3031 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",12714,"(+/- 1945 )",3856,"(+/- 1189 )",11259,"(+/- 2161 )",2212,"(+/- 779 )",1011,"(+/- 484 )",485,"(+/- 240 )",1829,"(+/- 627 )",956,"(+/- 532 )",7346,"(+/- 1475 )",5852,"(+/- 1480 )",19277,"(+/- 2325 )",2498,"(+/- 671 )",4243,"(+/- 1106 )",1624,"(+/- 536 )",2188,"(+/- 930 )",2410,"(+/- 690 )"
Workers,"Commuting to Work",Walked,9912,"(+/- 1760 )",6027,"(+/- 1776 )",9306,"(+/- 1641 )",6298,"(+/- 1080 )",9344,"(+/- 1860 )",5246,"(+/- 1232 )",8663,"(+/- 1839 )",6268,"(+/- 1474 )",7247,"(+/- 1204 )",7962,"(+/- 1672 )",8147,"(+/- 1420 )",8108,"(+/- 1651 )",4153,"(+/- 1152 )",3828,"(+/- 1051 )",9652,"(+/- 1607 )",4198,"(+/- 1239 )"
Workers,"Commuting to Work","Other means",3960,"(+/- 1034 )",2865,"(+/- 1045 )",5754,"(+/- 1348 )",3262,"(+/- 799 )",3709,"(+/- 1108 )",3035,"(+/- 1099 )",5691,"(+/- 1231 )",2349,"(+/- 1012 )",6091,"(+/- 1296 )",3275,"(+/- 1131 )",4950,"(+/- 935 )",5610,"(+/- 1420 )",4296,"(+/- 1096 )",3130,"(+/- 774 )",4758,"(+/- 1239 )",3154,"(+/- 985 )"
Workers,"Commuting to Work","Worked at home",15785,"(+/- 2012 )",17941,"(+/- 2514 )",19005,"(+/- 3559 )",8886,"(+/- 1592 )",14075,"(+/- 2004 )",9277,"(+/- 1708 )",14264,"(+/- 1851 )",14404,"(+/- 1807 )",9352,"(+/- 1433 )",11745,"(+/- 2117 )",10165,"(+/- 1432 )",24317,"(+/- 2670 )",11715,"(+/- 2270 )",19981,"(+/- 2295 )",13906,"(+/- 1645 )",17866,"(+/- 2185 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.9,"(+/- 0.6 )",25.6,"(+/- 0.7 )",22.0,"(+/- 0.5 )",21.3,"(+/- 0.5 )",20.3,"(+/- 0.6 )",26.3,"(+/- 1.1 )",23.7,"(+/- 0.5 )",23.7,"(+/- 0.6 )",22.5,"(+/- 0.6 )",21.5,"(+/- 0.5 )",23.7,"(+/- 0.5 )",24.2,"(+/- 0.5 )",22.5,"(+/- 0.6 )",25.3,"(+/- 0.7 )",25.3,"(+/- 0.5 )",24.3,"(+/- 0.5 )"
Workers,Occupation,"Civilian employed population 16 years and over",365264,"(+/- 5966 )",354202,"(+/- 7929 )",387111,"(+/- 8795 )",330778,"(+/- 5833 )",364269,"(+/- 6198 )",296931,"(+/- 7164 )",339554,"(+/- 6359 )",351417,"(+/- 4890 )",330887,"(+/- 8131 )",332116,"(+/- 5748 )",293397,"(+/- 7451 )",398968,"(+/- 8012 )",338439,"(+/- 7968 )",357578,"(+/- 7600 )",375949,"(+/- 7598 )",365148,"(+/- 7854 )"
Workers,Occupation,"Management, business, science, and arts occupations",151137,"(+/- 5431 )",144244,"(+/- 5451 )",135682,"(+/- 5951 )",101046,"(+/- 3894 )",126555,"(+/- 4700 )",85526,"(+/- 4634 )",102888,"(+/- 5025 )",121759,"(+/- 4944 )",101037,"(+/- 4693 )",132673,"(+/- 4453 )",109658,"(+/- 5438 )",181011,"(+/- 6236 )",100435,"(+/- 5407 )",148870,"(+/- 5533 )",155247,"(+/- 5379 )",150485,"(+/- 5210 )"
Workers,Occupation,"Service occupations",65220,"(+/- 4449 )",55316,"(+/- 3626 )",79699,"(+/- 5824 )",53149,"(+/- 3384 )",58062,"(+/- 3595 )",55011,"(+/- 3797 )",58815,"(+/- 3851 )",58731,"(+/- 4185 )",69799,"(+/- 3670 )",63181,"(+/- 3766 )",60320,"(+/- 4198 )",64325,"(+/- 4595 )",64795,"(+/- 4146 )",54375,"(+/- 3726 )",58592,"(+/- 4303 )",49621,"(+/- 3261 )"
Workers,Occupation,"Sales and office occupations",79396,"(+/- 3965 )",79169,"(+/- 4139 )",90585,"(+/- 5156 )",70128,"(+/- 4210 )",78333,"(+/- 3784 )",65401,"(+/- 3955 )",75001,"(+/- 3902 )",84074,"(+/- 4583 )",76377,"(+/- 3846 )",72533,"(+/- 4089 )",67148,"(+/- 4235 )",85849,"(+/- 4478 )",82853,"(+/- 4705 )",83439,"(+/- 4177 )",82730,"(+/- 4532 )",87643,"(+/- 4946 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",24066,"(+/- 2466 )",25750,"(+/- 2996 )",19244,"(+/- 2747 )",26866,"(+/- 2156 )",29172,"(+/- 1958 )",36105,"(+/- 2829 )",33842,"(+/- 2644 )",26452,"(+/- 2246 )",25491,"(+/- 2522 )",20608,"(+/- 2467 )",13970,"(+/- 1876 )",25012,"(+/- 3271 )",27995,"(+/- 2959 )",22565,"(+/- 2184 )",29579,"(+/- 2566 )",27521,"(+/- 2587 )"
Workers,Occupation,"Production, transportation, and material moving occupations",45445,"(+/- 3879 )",49723,"(+/- 3872 )",61901,"(+/- 4047 )",79589,"(+/- 3700 )",72147,"(+/- 3714 )",54888,"(+/- 3577 )",69008,"(+/- 4490 )",60401,"(+/- 3629 )",58183,"(+/- 4150 )",43121,"(+/- 3490 )",42301,"(+/- 3333 )",42771,"(+/- 4160 )",62361,"(+/- 3717 )",48329,"(+/- 3838 )",49801,"(+/- 3794 )",49878,"(+/- 3283 )"
Workers,Industry,"Civilian employed population 16 years and over",365264,"(+/- 5966 )",354202,"(+/- 7929 )",387111,"(+/- 8795 )",330778,"(+/- 5833 )",364269,"(+/- 6198 )",296931,"(+/- 7164 )",339554,"(+/- 6359 )",351417,"(+/- 4890 )",330887,"(+/- 8131 )",332116,"(+/- 5748 )",293397,"(+/- 7451 )",398968,"(+/- 8012 )",338439,"(+/- 7968 )",357578,"(+/- 7600 )",375949,"(+/- 7598 )",365148,"(+/- 7854 )"
