Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,Ancestry,"French (except Basque)",5626,"(+/- 1517 )",5574,"(+/- 1579 )",12794,"(+/- 1799 )",13897,"(+/- 2127 )",12962,"(+/- 2366 )",12623,"(+/- 2186 )",12273,"(+/- 2149 )",10625,"(+/- 2187 )",11708,"(+/- 2140 )",14171,"(+/- 2603 )",9481,"(+/- 1730 )",11844,"(+/- 1804 )",5875,"(+/- 1185 )",11346,"(+/- 1854 )",11807,"(+/- 2365 )",9624,"(+/- 1814 )",10860,"(+/- 2411 )",12993,"(+/- 1945 )"
People,Ancestry,"French Canadian",1073,"(+/- 770 )",1191,"(+/- 565 )",1899,"(+/- 614 )",1341,"(+/- 418 )",2086,"(+/- 729 )",3375,"(+/- 1600 )",2581,"(+/- 1062 )",3178,"(+/- 1148 )",882,"(+/- 441 )",2194,"(+/- 699 )",1574,"(+/- 834 )",1589,"(+/- 851 )",2459,"(+/- 1472 )",1108,"(+/- 432 )",2345,"(+/- 1355 )",2085,"(+/- 893 )",1353,"(+/- 763 )",1625,"(+/- 738 )"
People,Ancestry,German,44806,"(+/- 4381 )",33478,"(+/- 3128 )",209955,"(+/- 7498 )",224381,"(+/- 8577 )",184390,"(+/- 7470 )",187554,"(+/- 8524 )",147358,"(+/- 8601 )",171144,"(+/- 8528 )",204784,"(+/- 7186 )",190972,"(+/- 7141 )",166301,"(+/- 6991 )",201867,"(+/- 8604 )",92645,"(+/- 5944 )",138830,"(+/- 6958 )",196182,"(+/- 7946 )",201596,"(+/- 7541 )",150101,"(+/- 7798 )",193224,"(+/- 8012 )"
People,Ancestry,Greek,2326,"(+/- 961 )",1659,"(+/- 744 )",2877,"(+/- 866 )",2231,"(+/- 961 )",2834,"(+/- 958 )",4016,"(+/- 1196 )",6436,"(+/- 2004 )",3518,"(+/- 1284 )",1542,"(+/- 598 )",2492,"(+/- 911 )",5519,"(+/- 2143 )",4310,"(+/- 1094 )",3367,"(+/- 1703 )",3409,"(+/- 971 )",2690,"(+/- 835 )",4270,"(+/- 1577 )",2861,"(+/- 870 )",4423,"(+/- 1466 )"
People,Ancestry,Hungarian,2272,"(+/- 873 )",2145,"(+/- 703 )",7683,"(+/- 1554 )",4780,"(+/- 1311 )",5939,"(+/- 1654 )",6099,"(+/- 1541 )",4363,"(+/- 1132 )",8204,"(+/- 1894 )",7232,"(+/- 1520 )",3969,"(+/- 1207 )",4586,"(+/- 1866 )",11253,"(+/- 2015 )",3290,"(+/- 880 )",10688,"(+/- 1581 )",13606,"(+/- 2021 )",3275,"(+/- 1064 )",6812,"(+/- 1617 )",12604,"(+/- 1862 )"
People,Ancestry,Irish,87341,"(+/- 7583 )",48135,"(+/- 3849 )",120341,"(+/- 6160 )",86009,"(+/- 5209 )",100723,"(+/- 5279 )",135928,"(+/- 7665 )",175438,"(+/- 7316 )",162760,"(+/- 8470 )",97511,"(+/- 5668 )",107069,"(+/- 5752 )",93303,"(+/- 5091 )",126558,"(+/- 5882 )",129008,"(+/- 8153 )",105625,"(+/- 6102 )",82455,"(+/- 5298 )",81310,"(+/- 6335 )",126480,"(+/- 6265 )",125893,"(+/- 6303 )"
People,Ancestry,Italian,63228,"(+/- 5636 )",33694,"(+/- 3403 )",93591,"(+/- 5126 )",44467,"(+/- 4642 )",62654,"(+/- 4391 )",93948,"(+/- 6818 )",131723,"(+/- 7690 )",101376,"(+/- 6549 )",64708,"(+/- 4641 )",67726,"(+/- 4851 )",67521,"(+/- 4687 )",107493,"(+/- 6788 )",73577,"(+/- 5325 )",89000,"(+/- 5889 )",71538,"(+/- 4676 )",43388,"(+/- 4558 )",104875,"(+/- 6111 )",119353,"(+/- 6878 )"
People,Ancestry,Lithuanian,1803,"(+/- 600 )",1400,"(+/- 542 )",1323,"(+/- 639 )",2090,"(+/- 727 )",1378,"(+/- 557 )",4128,"(+/- 1481 )",4095,"(+/- 1191 )",4130,"(+/- 1240 )",2667,"(+/- 1030 )",4580,"(+/- 2339 )",9612,"(+/- 1746 )",4464,"(+/- 1258 )",2726,"(+/- 825 )",3647,"(+/- 1059 )",3294,"(+/- 823 )",1745,"(+/- 562 )",12716,"(+/- 2154 )",4825,"(+/- 1342 )"
People,Ancestry,Norwegian,2103,"(+/- 804 )",1931,"(+/- 664 )",2124,"(+/- 797 )",2931,"(+/- 807 )",1400,"(+/- 741 )",2595,"(+/- 861 )",3711,"(+/- 1432 )",2432,"(+/- 613 )",1476,"(+/- 413 )",2631,"(+/- 891 )",2580,"(+/- 964 )",1601,"(+/- 715 )",2128,"(+/- 828 )",1679,"(+/- 809 )",2672,"(+/- 989 )",3057,"(+/- 1202 )",2342,"(+/- 1469 )",1953,"(+/- 931 )"
People,Ancestry,Polish,24934,"(+/- 3215 )",15829,"(+/- 2260 )",49293,"(+/- 4278 )",27162,"(+/- 3908 )",37726,"(+/- 3349 )",41209,"(+/- 3932 )",38308,"(+/- 3676 )",51867,"(+/- 4998 )",34307,"(+/- 3902 )",43545,"(+/- 4154 )",72911,"(+/- 4740 )",59208,"(+/- 3957 )",31228,"(+/- 3020 )",52982,"(+/- 3272 )",33846,"(+/- 4074 )",21236,"(+/- 3098 )",79536,"(+/- 6223 )",63023,"(+/- 4334 )"
People,Ancestry,Portuguese,1689,"(+/- 1236 )",993,"(+/- 613 )",1568,"(+/- 1214 )",661,"(+/- 386 )",1313,"(+/- 1178 )",1800,"(+/- 907 )",1399,"(+/- 733 )",1007,"(+/- 656 )",134,"(+/- 185 )",1380,"(+/- 917 )",536,"(+/- 437 )",766,"(+/- 542 )",1374,"(+/- 785 )",433,"(+/- 322 )",1560,"(+/- 596 )",1206,"(+/- 668 )",3615,"(+/- 1990 )",429,"(+/- 452 )"
People,Ancestry,Russian,7129,"(+/- 1746 )",11281,"(+/- 1815 )",7153,"(+/- 1664 )",4375,"(+/- 1089 )",4642,"(+/- 1031 )",9476,"(+/- 2240 )",10273,"(+/- 2227 )",14721,"(+/- 2816 )",6688,"(+/- 1432 )",6235,"(+/- 1232 )",9335,"(+/- 1632 )",9056,"(+/- 1855 )",15408,"(+/- 2276 )",12375,"(+/- 1906 )",7451,"(+/- 1934 )",3677,"(+/- 1136 )",11272,"(+/- 2044 )",10242,"(+/- 1809 )"
People,Ancestry,Scotch-Irish,2304,"(+/- 795 )",1589,"(+/- 538 )",16982,"(+/- 2460 )",10488,"(+/- 2297 )",10590,"(+/- 1687 )",6962,"(+/- 1508 )",8668,"(+/- 1675 )",6976,"(+/- 1243 )",12469,"(+/- 2047 )",7366,"(+/- 1821 )",4705,"(+/- 940 )",13275,"(+/- 2115 )",3981,"(+/- 933 )",8476,"(+/- 1512 )",4110,"(+/- 834 )",8940,"(+/- 2307 )",3004,"(+/- 782 )",17096,"(+/- 2608 )"
People,Ancestry,Scottish,4123,"(+/- 1359 )",4839,"(+/- 1494 )",14696,"(+/- 2088 )",14359,"(+/- 2199 )",14463,"(+/- 2046 )",13470,"(+/- 2186 )",12302,"(+/- 1490 )",13374,"(+/- 1902 )",11866,"(+/- 1511 )",10102,"(+/- 1643 )",8279,"(+/- 1668 )",12503,"(+/- 2057 )",6949,"(+/- 1693 )",10110,"(+/- 1638 )",9231,"(+/- 1726 )",12726,"(+/- 2320 )",7805,"(+/- 1839 )",16109,"(+/- 2276 )"
People,Ancestry,Slovak,1404,"(+/- 714 )",1255,"(+/- 882 )",16367,"(+/- 2625 )",3552,"(+/- 1305 )",7467,"(+/- 1657 )",5794,"(+/- 1512 )",3568,"(+/- 1011 )",4111,"(+/- 1023 )",17546,"(+/- 2323 )",3619,"(+/- 907 )",14126,"(+/- 1998 )",27702,"(+/- 3023 )",1990,"(+/- 777 )",24705,"(+/- 2707 )",12975,"(+/- 2089 )",1674,"(+/- 756 )",14970,"(+/- 2332 )",27314,"(+/- 3102 )"
People,Ancestry,"Subsaharan African",28992,"(+/- 6610 )",13326,"(+/- 3084 )",2780,"(+/- 1544 )",3981,"(+/- 1187 )",1954,"(+/- 702 )",4080,"(+/- 1514 )",3736,"(+/- 1620 )",6625,"(+/- 2758 )",3161,"(+/- 1284 )",3393,"(+/- 1740 )",4692,"(+/- 1856 )",2763,"(+/- 1925 )",11384,"(+/- 3872 )",20030,"(+/- 3906 )",3411,"(+/- 1290 )",2397,"(+/- 1017 )",2375,"(+/- 1383 )",884,"(+/- 559 )"
People,Ancestry,Swedish,1892,"(+/- 815 )",2848,"(+/- 869 )",9461,"(+/- 2646 )",4523,"(+/- 1293 )",18258,"(+/- 2194 )",4684,"(+/- 1362 )",5433,"(+/- 1201 )",7074,"(+/- 2202 )",5139,"(+/- 1151 )",5225,"(+/- 1429 )",3387,"(+/- 932 )",5913,"(+/- 1315 )",2334,"(+/- 899 )",3774,"(+/- 1153 )",3782,"(+/- 1179 )",4367,"(+/- 1188 )",2343,"(+/- 783 )",4838,"(+/- 1307 )"
People,Ancestry,Swiss,1122,"(+/- 692 )",1345,"(+/- 464 )",3595,"(+/- 1188 )",4148,"(+/- 1173 )",3026,"(+/- 823 )",3819,"(+/- 1177 )",4758,"(+/- 1566 )",4933,"(+/- 2196 )",4382,"(+/- 1373 )",4805,"(+/- 1268 )",3437,"(+/- 1446 )",1636,"(+/- 664 )",885,"(+/- 616 )",1335,"(+/- 477 )",4859,"(+/- 1434 )",19761,"(+/- 3038 )",1932,"(+/- 673 )",1482,"(+/- 571 )"
People,Ancestry,Ukrainian,2420,"(+/- 898 )",2851,"(+/- 917 )",4712,"(+/- 1574 )",2969,"(+/- 1210 )",3302,"(+/- 1099 )",5193,"(+/- 1205 )",7704,"(+/- 1931 )",11250,"(+/- 2086 )",1617,"(+/- 527 )",3831,"(+/- 1042 )",6537,"(+/- 1342 )",6122,"(+/- 1343 )",16030,"(+/- 4104 )",4961,"(+/- 1227 )",8357,"(+/- 2062 )",3143,"(+/- 864 )",9385,"(+/- 2582 )",5835,"(+/- 1337 )"
People,Ancestry,Welsh,2590,"(+/- 800 )",2920,"(+/- 815 )",7564,"(+/- 1705 )",7110,"(+/- 1524 )",6436,"(+/- 1299 )",9935,"(+/- 1830 )",7315,"(+/- 1279 )",8453,"(+/- 1677 )",8289,"(+/- 1600 )",12461,"(+/- 1667 )",16893,"(+/- 2229 )",9074,"(+/- 1927 )",4187,"(+/- 995 )",4359,"(+/- 876 )",10282,"(+/- 1377 )",7662,"(+/- 1919 )",21006,"(+/- 2895 )",8820,"(+/- 1428 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",15101,"(+/- 3900 )",15892,"(+/- 3682 )",570,"(+/- 316 )",2401,"(+/- 1712 )",1307,"(+/- 576 )",1830,"(+/- 786 )",2009,"(+/- 819 )",1410,"(+/- 1054 )",877,"(+/- 495 )",3355,"(+/- 1448 )",2488,"(+/- 1252 )",1539,"(+/- 1179 )",11993,"(+/- 3391 )",1834,"(+/- 954 )",5224,"(+/- 1764 )",2925,"(+/- 1616 )",5864,"(+/- 2048 )",1922,"(+/- 1692 )"
People,"Veteran Status","Civilian population 18 years and over",561908,"(+/- 14585 )",580805,"(+/- 14114 )",550443,"(+/- 4097 )",568349,"(+/- 4092 )",566019,"(+/- 4190 )",570264,"(+/- 8385 )",563318,"(+/- 9211 )",567244,"(+/- 4274 )",548652,"(+/- 3899 )",551169,"(+/- 6315 )",562287,"(+/- 6525 )",549576,"(+/- 6434 )",563292,"(+/- 12276 )",572783,"(+/- 6658 )",572519,"(+/- 5821 )",553770,"(+/- 6126 )",560849,"(+/- 8006 )",571032,"(+/- 6316 )"
People,"Veteran Status","Civilian veterans",25057,"(+/- 2474 )",23655,"(+/- 2312 )",49149,"(+/- 2656 )",48769,"(+/- 2894 )",48625,"(+/- 2467 )",36552,"(+/- 3110 )",38133,"(+/- 2614 )",36315,"(+/- 2298 )",54417,"(+/- 2754 )",47865,"(+/- 2357 )",47585,"(+/- 3079 )",49420,"(+/- 2958 )",27698,"(+/- 2330 )",42836,"(+/- 2796 )",41239,"(+/- 2678 )",36108,"(+/- 2719 )",45569,"(+/- 3128 )",43207,"(+/- 2761 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",720889,"(+/- 19187 )",719488,"(+/- 17935 )",676969,"(+/- 5795 )",718235,"(+/- 5334 )",672400,"(+/- 5580 )",719096,"(+/- 12499 )",711897,"(+/- 12670 )",708303,"(+/- 6140 )",677550,"(+/- 5599 )",678571,"(+/- 7840 )",684752,"(+/- 8704 )",678781,"(+/- 8529 )",720469,"(+/- 15761 )",677424,"(+/- 8509 )",726977,"(+/- 8677 )",724666,"(+/- 8567 )",681997,"(+/- 10528 )",704008,"(+/- 8590 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",105639,"(+/- 6931 )",114337,"(+/- 6842 )",114262,"(+/- 5173 )",93029,"(+/- 4695 )",108677,"(+/- 4721 )",76736,"(+/- 4203 )",76344,"(+/- 4195 )",76186,"(+/- 3735 )",121947,"(+/- 4484 )",107728,"(+/- 4652 )",97992,"(+/- 4941 )",98894,"(+/- 4275 )",91508,"(+/- 5550 )",109500,"(+/- 5419 )",95581,"(+/- 4208 )",88320,"(+/- 4584 )",104909,"(+/- 5606 )",93057,"(+/- 3866 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",166356,"(+/- 9974 )",144428,"(+/- 7904 )",139126,"(+/- 2551 )",160976,"(+/- 3070 )",129178,"(+/- 2687 )",157657,"(+/- 6719 )",160904,"(+/- 6507 )",145815,"(+/- 2772 )",138291,"(+/- 2731 )",142602,"(+/- 3218 )",137051,"(+/- 4346 )",139114,"(+/- 4815 )",164634,"(+/- 8766 )",113878,"(+/- 4283 )",161437,"(+/- 4402 )",177615,"(+/- 4189 )",135834,"(+/- 4946 )",141515,"(+/- 5687 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9662,"(+/- 2703 )",8588,"(+/- 1984 )",10188,"(+/- 1419 )",10294,"(+/- 1932 )",8070,"(+/- 1227 )",5154,"(+/- 1245 )",6217,"(+/- 1625 )",6007,"(+/- 1531 )",7331,"(+/- 1353 )",8525,"(+/- 1383 )",6645,"(+/- 1296 )",8026,"(+/- 1477 )",7917,"(+/- 1912 )",8135,"(+/- 1804 )",9786,"(+/- 1649 )",8221,"(+/- 1467 )",7062,"(+/- 1614 )",6678,"(+/- 1559 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",468347,"(+/- 14398 )",472963,"(+/- 13088 )",409734,"(+/- 4106 )",436041,"(+/- 4410 )",418714,"(+/- 3938 )",443295,"(+/- 8393 )",424043,"(+/- 7693 )",436819,"(+/- 4248 )",405932,"(+/- 3823 )",399768,"(+/- 5798 )",419149,"(+/- 6506 )",396209,"(+/- 6864 )",446506,"(+/- 11563 )",443274,"(+/- 6838 )",445784,"(+/- 6226 )",434097,"(+/- 5894 )",421974,"(+/- 7941 )",426354,"(+/- 6847 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",59269,"(+/- 4950 )",62918,"(+/- 5336 )",57718,"(+/- 3299 )",44801,"(+/- 3337 )",55705,"(+/- 3367 )",36266,"(+/- 3409 )",33136,"(+/- 2734 )",33055,"(+/- 2731 )",63909,"(+/- 3442 )",50690,"(+/- 3261 )",47107,"(+/- 3142 )",44345,"(+/- 3358 )",43674,"(+/- 4033 )",57351,"(+/- 3973 )",48841,"(+/- 3559 )",42396,"(+/- 3190 )",56662,"(+/- 3713 )",42956,"(+/- 2958 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",86186,"(+/- 3814 )",102097,"(+/- 3849 )",128109,"(+/- 2103 )",121218,"(+/- 2426 )",124508,"(+/- 2201 )",118144,"(+/- 3996 )",126950,"(+/- 3988 )",125669,"(+/- 2213 )",133327,"(+/- 2023 )",136201,"(+/- 2792 )",128552,"(+/- 3083 )",143458,"(+/- 4001 )",109329,"(+/- 4669 )",120272,"(+/- 3396 )",119756,"(+/- 3204 )",112954,"(+/- 2488 )",124189,"(+/- 3739 )",136139,"(+/- 3544 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36708,"(+/- 2653 )",42831,"(+/- 3079 )",46356,"(+/- 2958 )",37934,"(+/- 2504 )",44902,"(+/- 2449 )",35316,"(+/- 2808 )",36991,"(+/- 2460 )",37124,"(+/- 2173 )",50707,"(+/- 2333 )",48513,"(+/- 2649 )",44240,"(+/- 2783 )",46523,"(+/- 2775 )",39917,"(+/- 3057 )",44014,"(+/- 2595 )",36954,"(+/- 2104 )",37703,"(+/- 3024 )",41185,"(+/- 2768 )",43423,"(+/- 2696 )"
People,"Residence 1 Year Ago","Population 1 year and over",719575,"(+/- 18900 )",718355,"(+/- 17960 )",684551,"(+/- 5462 )",721726,"(+/- 5449 )",690030,"(+/- 5410 )",720735,"(+/- 12484 )",718762,"(+/- 12875 )",707342,"(+/- 6100 )",680437,"(+/- 5471 )",687401,"(+/- 7782 )",694933,"(+/- 7968 )",683003,"(+/- 8353 )",721018,"(+/- 15785 )",680241,"(+/- 8281 )",727098,"(+/- 8914 )",723559,"(+/- 8115 )",690623,"(+/- 10299 )",705253,"(+/- 7932 )"
People,"Residence 1 Year Ago","Same house",624950,"(+/- 18895 )",605745,"(+/- 17112 )",593072,"(+/- 6489 )",623439,"(+/- 10544 )",592829,"(+/- 8687 )",623887,"(+/- 13927 )",645399,"(+/- 12858 )",641711,"(+/- 8739 )",600151,"(+/- 6492 )",615221,"(+/- 8473 )",607489,"(+/- 10725 )",613338,"(+/- 8961 )",636272,"(+/- 14627 )",565888,"(+/- 8603 )",630830,"(+/- 10545 )",625231,"(+/- 10031 )",605207,"(+/- 11520 )",622283,"(+/- 9922 )"
People,"Residence 1 Year Ago","Different house in the U.S.",90004,"(+/- 9556 )",108423,"(+/- 8695 )",89661,"(+/- 6469 )",94148,"(+/- 9271 )",92966,"(+/- 6114 )",92451,"(+/- 6592 )",70438,"(+/- 6206 )",64006,"(+/- 5465 )",78544,"(+/- 4969 )",70800,"(+/- 5515 )",85087,"(+/- 6721 )",68083,"(+/- 5929 )",77300,"(+/- 7035 )",108746,"(+/- 6102 )",92624,"(+/- 7813 )",95350,"(+/- 7923 )",83237,"(+/- 7217 )",80641,"(+/- 6205 )"
People,"Residence 1 Year Ago","Same county",61436,"(+/- 8207 )",67046,"(+/- 6702 )",58907,"(+/- 5879 )",54128,"(+/- 6750 )",50835,"(+/- 5102 )",51158,"(+/- 6623 )",37533,"(+/- 4805 )",35144,"(+/- 4531 )",44391,"(+/- 4376 )",38860,"(+/- 4218 )",48912,"(+/- 5636 )",42749,"(+/- 4646 )",47867,"(+/- 6213 )",77200,"(+/- 5931 )",56568,"(+/- 6995 )",62358,"(+/- 7119 )",51222,"(+/- 5996 )",52188,"(+/- 5463 )"
People,"Residence 1 Year Ago","Different county",28568,"(+/- 5151 )",41377,"(+/- 5195 )",30754,"(+/- 3058 )",40020,"(+/- 5180 )",42131,"(+/- 3886 )",41293,"(+/- 4755 )",32905,"(+/- 4070 )",28862,"(+/- 4243 )",34153,"(+/- 3093 )",31940,"(+/- 3590 )",36175,"(+/- 4538 )",25334,"(+/- 3575 )",29433,"(+/- 3761 )",31546,"(+/- 3072 )",36056,"(+/- 4385 )",32992,"(+/- 4110 )",32015,"(+/- 4241 )",28453,"(+/- 3638 )"
People,"Residence 1 Year Ago","Same state",14748,"(+/- 3617 )",17983,"(+/- 3226 )",19759,"(+/- 2642 )",21980,"(+/- 3602 )",28169,"(+/- 2838 )",27543,"(+/- 3969 )",18253,"(+/- 3207 )",18744,"(+/- 3918 )",23680,"(+/- 2525 )",17084,"(+/- 2380 )",24199,"(+/- 3732 )",15725,"(+/- 2450 )",18959,"(+/- 2942 )",15278,"(+/- 2387 )",21745,"(+/- 3255 )",17015,"(+/- 2831 )",15834,"(+/- 2801 )",17189,"(+/- 2777 )"
People,"Residence 1 Year Ago","Different state",13820,"(+/- 2976 )",23394,"(+/- 3772 )",10995,"(+/- 2127 )",18040,"(+/- 3469 )",13962,"(+/- 2490 )",13750,"(+/- 3137 )",14652,"(+/- 2784 )",10118,"(+/- 2504 )",10473,"(+/- 1712 )",14856,"(+/- 2555 )",11976,"(+/- 2769 )",9609,"(+/- 2696 )",10474,"(+/- 2196 )",16268,"(+/- 2132 )",14311,"(+/- 2506 )",15977,"(+/- 3255 )",16181,"(+/- 3779 )",11264,"(+/- 2562 )"
People,"Residence 1 Year Ago",Abroad,4621,"(+/- 2006 )",4187,"(+/- 1042 )",1818,"(+/- 806 )",4139,"(+/- 1581 )",4235,"(+/- 1305 )",4397,"(+/- 2217 )",2925,"(+/- 1062 )",1625,"(+/- 904 )",1742,"(+/- 561 )",1380,"(+/- 798 )",2357,"(+/- 937 )",1582,"(+/- 687 )",7446,"(+/- 3446 )",5607,"(+/- 1529 )",3644,"(+/- 1401 )",2978,"(+/- 1529 )",2179,"(+/- 973 )",2329,"(+/- 995 )"
Workers,"Employment Status","Population 16 years and over",578987,"(+/- 14960 )",596834,"(+/- 14444 )",567808,"(+/- 4314 )",588120,"(+/- 4446 )",582388,"(+/- 4407 )",589927,"(+/- 9130 )",583897,"(+/- 9671 )",585641,"(+/- 4621 )",566690,"(+/- 4120 )",569676,"(+/- 6442 )",581078,"(+/- 6933 )",566712,"(+/- 6887 )",582805,"(+/- 12587 )",586041,"(+/- 7167 )",593925,"(+/- 6103 )",573943,"(+/- 6598 )",577123,"(+/- 8100 )",587625,"(+/- 6709 )"
Workers,"Employment Status","In labor force",355261,"(+/- 13643 )",333168,"(+/- 11046 )",338090,"(+/- 4957 )",380643,"(+/- 5864 )",330094,"(+/- 5226 )",398184,"(+/- 7835 )",386610,"(+/- 8724 )",397746,"(+/- 6152 )",323968,"(+/- 6036 )",328764,"(+/- 6937 )",359971,"(+/- 6418 )",350110,"(+/- 6506 )",383128,"(+/- 10320 )",370819,"(+/- 6782 )",380799,"(+/- 6624 )",381146,"(+/- 6892 )",352371,"(+/- 8702 )",373784,"(+/- 6853 )"
Workers,"Employment Status","Civilian labor force",355180,"(+/- 13624 )",332849,"(+/- 11061 )",337858,"(+/- 4980 )",380229,"(+/- 5837 )",329899,"(+/- 5237 )",398174,"(+/- 7836 )",386277,"(+/- 8730 )",397557,"(+/- 6156 )",323690,"(+/- 6043 )",328426,"(+/- 6928 )",358878,"(+/- 6406 )",349851,"(+/- 6488 )",382832,"(+/- 10282 )",370720,"(+/- 6784 )",379994,"(+/- 6566 )",380972,"(+/- 6872 )",351817,"(+/- 8697 )",373166,"(+/- 6903 )"
Workers,"Employment Status",Employed,323732,"(+/- 13104 )",305204,"(+/- 10034 )",318660,"(+/- 4876 )",362603,"(+/- 5988 )",311473,"(+/- 5001 )",379762,"(+/- 7973 )",371422,"(+/- 8444 )",382890,"(+/- 6129 )",305522,"(+/- 5885 )",314034,"(+/- 6684 )",343910,"(+/- 6387 )",332586,"(+/- 6482 )",358810,"(+/- 10598 )",348638,"(+/- 6859 )",360210,"(+/- 7302 )",362814,"(+/- 6960 )",331494,"(+/- 8961 )",359379,"(+/- 6807 )"
Workers,"Employment Status",Unemployed,31448,"(+/- 3554 )",27645,"(+/- 3670 )",19198,"(+/- 2130 )",17626,"(+/- 2467 )",18426,"(+/- 2084 )",18412,"(+/- 2721 )",14855,"(+/- 1938 )",14667,"(+/- 1941 )",18168,"(+/- 2089 )",14392,"(+/- 1988 )",14968,"(+/- 2116 )",17265,"(+/- 2256 )",24022,"(+/- 3599 )",22082,"(+/- 2483 )",19784,"(+/- 3014 )",18158,"(+/- 1942 )",20323,"(+/- 2115 )",13787,"(+/- 1707 )"
Workers,"Employment Status","Armed Forces",81,"(+/- 116 )",319,"(+/- 234 )",232,"(+/- 165 )",414,"(+/- 272 )",195,"(+/- 214 )",10,"(+/- 17 )",333,"(+/- 312 )",189,"(+/- 165 )",278,"(+/- 202 )",338,"(+/- 315 )",1093,"(+/- 362 )",259,"(+/- 176 )",296,"(+/- 247 )",99,"(+/- 124 )",805,"(+/- 473 )",174,"(+/- 147 )",554,"(+/- 342 )",618,"(+/- 339 )"
Workers,"Employment Status","Not in labor force",223726,"(+/- 7866 )",263666,"(+/- 8631 )",229718,"(+/- 4604 )",207477,"(+/- 4856 )",252294,"(+/- 4809 )",191743,"(+/- 6702 )",197287,"(+/- 5863 )",187895,"(+/- 5727 )",242722,"(+/- 5199 )",240912,"(+/- 5366 )",221107,"(+/- 5720 )",216602,"(+/- 5785 )",199677,"(+/- 6720 )",215222,"(+/- 5276 )",213126,"(+/- 6029 )",192797,"(+/- 5298 )",224752,"(+/- 6633 )",213841,"(+/- 5177 )"
Workers,"Employment Status","Civilian labor force",355180,"(+/- 13624 )",332849,"(+/- 11061 )",337858,"(+/- 4980 )",380229,"(+/- 5837 )",329899,"(+/- 5237 )",398174,"(+/- 7836 )",386277,"(+/- 8730 )",397557,"(+/- 6156 )",323690,"(+/- 6043 )",328426,"(+/- 6928 )",358878,"(+/- 6406 )",349851,"(+/- 6488 )",382832,"(+/- 10282 )",370720,"(+/- 6784 )",379994,"(+/- 6566 )",380972,"(+/- 6872 )",351817,"(+/- 8697 )",373166,"(+/- 6903 )"
Workers,"Employment Status","Unemployment Rate",8.9,"(+/- 1.0 )",8.3,"(+/- 1.0 )",5.7,"(+/- 0.6 )",4.6,"(+/- 0.6 )",5.6,"(+/- 0.6 )",4.6,"(+/- 0.7 )",3.8,"(+/- 0.5 )",3.7,"(+/- 0.5 )",5.6,"(+/- 0.6 )",4.4,"(+/- 0.6 )",4.2,"(+/- 0.6 )",4.9,"(+/- 0.6 )",6.3,"(+/- 0.9 )",6.0,"(+/- 0.7 )",5.2,"(+/- 0.8 )",4.8,"(+/- 0.5 )",5.8,"(+/- 0.6 )",3.7,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",316354,"(+/- 13368 )",297291,"(+/- 9749 )",312226,"(+/- 5014 )",356269,"(+/- 6385 )",305737,"(+/- 5069 )",374173,"(+/- 7832 )",364391,"(+/- 8427 )",376319,"(+/- 6066 )",298605,"(+/- 5622 )",308275,"(+/- 6716 )",339416,"(+/- 6176 )",327541,"(+/- 6631 )",349209,"(+/- 10967 )",340279,"(+/- 6859 )",354964,"(+/- 7295 )",356456,"(+/- 7014 )",325602,"(+/- 8715 )",353053,"(+/- 6811 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",166488,"(+/- 8832 )",136871,"(+/- 6360 )",253630,"(+/- 4841 )",294937,"(+/- 6243 )",236607,"(+/- 4846 )",299245,"(+/- 6931 )",282735,"(+/- 8082 )",309834,"(+/- 6076 )",244173,"(+/- 5618 )",248882,"(+/- 6381 )",279510,"(+/- 6041 )",264359,"(+/- 6927 )",255019,"(+/- 8884 )",224887,"(+/- 5163 )",288660,"(+/- 6560 )",275730,"(+/- 6476 )",264198,"(+/- 8202 )",288709,"(+/- 6332 )"
