Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",18553,"(+/- 2906 )",12436,"(+/- 2622 )",24462,"(+/- 4047 )",21802,"(+/- 3173 )",19899,"(+/- 3430 )",28048,"(+/- 4845 )",57668,"(+/- 7325 )",23927,"(+/- 4018 )",103155,"(+/- 12542 )",91015,"(+/- 10966 )",14183,"(+/- 3018 )",30552,"(+/- 4969 )",25388,"(+/- 4027 )",73236,"(+/- 7081 )",45521,"(+/- 7972 )",42279,"(+/- 6787 )",17469,"(+/- 4642 )",49357,"(+/- 7041 )",54125,"(+/- 7960 )",93958,"(+/- 10212 )",102418,"(+/- 9331 )",100041,"(+/- 9998 )",183846,"(+/- 10148 )",169774,"(+/- 12588 )",170133,"(+/- 11909 )",198633,"(+/- 13473 )",215257,"(+/- 14500 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",719868,"(+/- 1386 )",681779,"(+/- 7978 )",662853,"(+/- 6803 )",729816,"(+/- 11475 )",671748,"(+/- 12024 )",666952,"(+/- 6755 )",572914,"(+/- 9845 )",675070,"(+/- 3632 )",503717,"(+/- 15369 )",598302,"(+/- 13055 )",691404,"(+/- 10783 )",678211,"(+/- 7810 )",656151,"(+/- 7736 )",538815,"(+/- 10389 )",620189,"(+/- 16107 )",671247,"(+/- 10748 )",662380,"(+/- 11907 )",639732,"(+/- 10140 )",646615,"(+/- 8214 )",582633,"(+/- 13677 )",598310,"(+/- 10902 )",590926,"(+/- 13373 )",468105,"(+/- 11644 )",469873,"(+/- 11218 )",193008,"(+/- 9217 )",220472,"(+/- 10940 )",202450,"(+/- 9736 )"
People,"Place of Birth","Total population",770361,"(+/- 1368 )",731845,"(+/- 8922 )",739130,"(+/- 6790 )",800494,"(+/- 12546 )",729175,"(+/- 12994 )",764500,"(+/- 7666 )",772969,"(+/- 13331 )",756993,"(+/- 3668 )",868945,"(+/- 16961 )",830014,"(+/- 17178 )",770114,"(+/- 12787 )",779151,"(+/- 8774 )",730650,"(+/- 8565 )",776940,"(+/- 12821 )",804652,"(+/- 18994 )",814209,"(+/- 12942 )",778091,"(+/- 10689 )",772184,"(+/- 9723 )",814074,"(+/- 10107 )",776092,"(+/- 15636 )",788240,"(+/- 12023 )",757352,"(+/- 9766 )",753950,"(+/- 8787 )",770480,"(+/- 17470 )",780826,"(+/- 16644 )",797160,"(+/- 16602 )",755809,"(+/- 17189 )"
People,"Place of Birth",Native,729819,"(+/- 3877 )",695995,"(+/- 9090 )",688213,"(+/- 7477 )",715393,"(+/- 11439 )",673604,"(+/- 11910 )",706615,"(+/- 8092 )",668643,"(+/- 13031 )",691667,"(+/- 6082 )",717751,"(+/- 19992 )",617685,"(+/- 17548 )",718347,"(+/- 13422 )",692651,"(+/- 9493 )",634491,"(+/- 10711 )",619798,"(+/- 11337 )",699608,"(+/- 19561 )",707951,"(+/- 13392 )",693128,"(+/- 11383 )",648626,"(+/- 10592 )",664083,"(+/- 10483 )",519340,"(+/- 14618 )",564348,"(+/- 10052 )",533911,"(+/- 12628 )",482379,"(+/- 10907 )",431953,"(+/- 14055 )",341246,"(+/- 14606 )",398560,"(+/- 14095 )",349254,"(+/- 13064 )"
People,"Place of Birth","Born in United States",707491,"(+/- 4148 )",681601,"(+/- 9102 )",664036,"(+/- 8956 )",695524,"(+/- 11692 )",660912,"(+/- 11780 )",673986,"(+/- 9096 )",613005,"(+/- 10724 )",668084,"(+/- 6314 )",594671,"(+/- 17357 )",556293,"(+/- 16735 )",694858,"(+/- 12849 )",671141,"(+/- 9024 )",618795,"(+/- 10445 )",580197,"(+/- 11792 )",658664,"(+/- 18595 )",682129,"(+/- 12887 )",674251,"(+/- 11528 )",630262,"(+/- 10786 )",645690,"(+/- 10294 )",491340,"(+/- 14774 )",542635,"(+/- 10389 )",514640,"(+/- 12335 )",454850,"(+/- 10462 )",410962,"(+/- 13392 )",324157,"(+/- 13671 )",378578,"(+/- 13799 )",327563,"(+/- 12123 )"
People,"Place of Birth","State of residence",293056,"(+/- 9418 )",379304,"(+/- 10881 )",367866,"(+/- 9869 )",324909,"(+/- 11792 )",445654,"(+/- 10850 )",263578,"(+/- 9383 )",325481,"(+/- 9605 )",244260,"(+/- 8089 )",272544,"(+/- 12373 )",309565,"(+/- 13303 )",227182,"(+/- 11531 )",243900,"(+/- 8702 )",251802,"(+/- 8196 )",304636,"(+/- 12439 )",338819,"(+/- 13523 )",250757,"(+/- 11193 )",252453,"(+/- 10888 )",247727,"(+/- 8415 )",187947,"(+/- 7729 )",337784,"(+/- 13649 )",213627,"(+/- 8876 )",204667,"(+/- 8507 )",242272,"(+/- 9383 )",323279,"(+/- 11951 )",202121,"(+/- 11096 )",266758,"(+/- 11310 )",224125,"(+/- 11070 )"
People,"Place of Birth","Different state",414435,"(+/- 9746 )",302297,"(+/- 8989 )",296170,"(+/- 8941 )",370615,"(+/- 11997 )",215258,"(+/- 8774 )",410408,"(+/- 9770 )",287524,"(+/- 8889 )",423824,"(+/- 9429 )",322127,"(+/- 12664 )",246728,"(+/- 10105 )",467676,"(+/- 8551 )",427241,"(+/- 9599 )",366993,"(+/- 9652 )",275561,"(+/- 9265 )",319845,"(+/- 13629 )",431372,"(+/- 11052 )",421798,"(+/- 10037 )",382535,"(+/- 10972 )",457743,"(+/- 8975 )",153556,"(+/- 10089 )",329008,"(+/- 9828 )",309973,"(+/- 10604 )",212578,"(+/- 10066 )",87683,"(+/- 5743 )",122036,"(+/- 7236 )",111820,"(+/- 7851 )",103438,"(+/- 6281 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",22328,"(+/- 3214 )",14394,"(+/- 2394 )",24177,"(+/- 4693 )",19869,"(+/- 3236 )",12692,"(+/- 2613 )",32629,"(+/- 5032 )",55638,"(+/- 6899 )",23583,"(+/- 3566 )",123080,"(+/- 11664 )",61392,"(+/- 7777 )",23489,"(+/- 3473 )",21510,"(+/- 3447 )",15696,"(+/- 3126 )",39601,"(+/- 5087 )",40944,"(+/- 6164 )",25822,"(+/- 4336 )",18877,"(+/- 3634 )",18364,"(+/- 3408 )",18393,"(+/- 3823 )",28000,"(+/- 4243 )",21713,"(+/- 4011 )",19271,"(+/- 3014 )",27529,"(+/- 3932 )",20991,"(+/- 2721 )",17089,"(+/- 3671 )",19982,"(+/- 3416 )",21691,"(+/- 3651 )"
People,"Place of Birth","Foreign born",40542,"(+/- 3610 )",35850,"(+/- 4356 )",50917,"(+/- 4505 )",85101,"(+/- 7625 )",55571,"(+/- 6576 )",57885,"(+/- 4666 )",104326,"(+/- 6498 )",65326,"(+/- 4867 )",151194,"(+/- 9496 )",212329,"(+/- 13745 )",51767,"(+/- 4734 )",86500,"(+/- 6290 )",96159,"(+/- 7600 )",157142,"(+/- 8099 )",105044,"(+/- 10518 )",106258,"(+/- 8431 )",84963,"(+/- 6527 )",123558,"(+/- 8863 )",149991,"(+/- 9321 )",256752,"(+/- 12616 )",223892,"(+/- 9805 )",223441,"(+/- 11192 )",271571,"(+/- 10032 )",338527,"(+/- 14238 )",439580,"(+/- 12373 )",398600,"(+/- 14781 )",406555,"(+/- 15135 )"
People,Ancestry,"Total population",770361,"(+/- 1368 )",731845,"(+/- 8922 )",739130,"(+/- 6790 )",800494,"(+/- 12546 )",729175,"(+/- 12994 )",764500,"(+/- 7666 )",772969,"(+/- 13331 )",756993,"(+/- 3668 )",868945,"(+/- 16961 )",830014,"(+/- 17178 )",770114,"(+/- 12787 )",779151,"(+/- 8774 )",730650,"(+/- 8565 )",776940,"(+/- 12821 )",804652,"(+/- 18994 )",814209,"(+/- 12942 )",778091,"(+/- 10689 )",772184,"(+/- 9723 )",814074,"(+/- 10107 )",776092,"(+/- 15636 )",788240,"(+/- 12023 )",757352,"(+/- 9766 )",753950,"(+/- 8787 )",770480,"(+/- 17470 )",780826,"(+/- 16644 )",797160,"(+/- 16602 )",755809,"(+/- 17189 )"
People,Ancestry,American,59478,"(+/- 6118 )",90806,"(+/- 6998 )",34006,"(+/- 4662 )",92373,"(+/- 8802 )",35669,"(+/- 5685 )",53335,"(+/- 5340 )",54991,"(+/- 6102 )",75814,"(+/- 10209 )",81764,"(+/- 10029 )",40379,"(+/- 5171 )",70386,"(+/- 6402 )",72966,"(+/- 6921 )",54185,"(+/- 5881 )",42947,"(+/- 5212 )",78304,"(+/- 7330 )",81107,"(+/- 10034 )",113589,"(+/- 9894 )",42564,"(+/- 5680 )",125052,"(+/- 10283 )",59823,"(+/- 8741 )",44189,"(+/- 6194 )",47560,"(+/- 5432 )",60339,"(+/- 7018 )",56095,"(+/- 8151 )",35502,"(+/- 5013 )",27092,"(+/- 5286 )",29909,"(+/- 3314 )"
People,Ancestry,Arab,1846,"(+/- 1119 )",2537,"(+/- 1290 )",1661,"(+/- 612 )",7163,"(+/- 2573 )",2844,"(+/- 1386 )",2230,"(+/- 960 )",7217,"(+/- 2229 )",6009,"(+/- 3283 )",5373,"(+/- 1818 )",6149,"(+/- 2456 )",882,"(+/- 482 )",5516,"(+/- 2171 )",4073,"(+/- 2156 )",6327,"(+/- 2133 )",4889,"(+/- 2247 )",3850,"(+/- 2687 )",1219,"(+/- 734 )",4044,"(+/- 1933 )",2656,"(+/- 976 )",3800,"(+/- 1803 )",3338,"(+/- 1147 )",7474,"(+/- 2251 )",7992,"(+/- 2355 )",3323,"(+/- 1827 )",2123,"(+/- 1101 )",5194,"(+/- 2398 )",5062,"(+/- 1254 )"
People,Ancestry,Czech,1405,"(+/- 626 )",1415,"(+/- 775 )",2074,"(+/- 1034 )",3338,"(+/- 1979 )",684,"(+/- 409 )",3578,"(+/- 1722 )",988,"(+/- 591 )",2911,"(+/- 2091 )",1109,"(+/- 604 )",4563,"(+/- 4086 )",3800,"(+/- 1869 )",2539,"(+/- 860 )",4138,"(+/- 972 )",1546,"(+/- 676 )",2867,"(+/- 1279 )",2793,"(+/- 1102 )",1881,"(+/- 693 )",1692,"(+/- 709 )",2906,"(+/- 921 )",1700,"(+/- 1289 )",2760,"(+/- 1300 )",1104,"(+/- 658 )",1750,"(+/- 702 )",774,"(+/- 652 )",944,"(+/- 551 )",1214,"(+/- 770 )",470,"(+/- 270 )"
People,Ancestry,Danish,1245,"(+/- 502 )",2334,"(+/- 973 )",1490,"(+/- 586 )",2228,"(+/- 1316 )",868,"(+/- 445 )",1544,"(+/- 621 )",1782,"(+/- 814 )",3110,"(+/- 1493 )",998,"(+/- 769 )",1300,"(+/- 868 )",2429,"(+/- 1090 )",1967,"(+/- 665 )",2042,"(+/- 686 )",1600,"(+/- 692 )",1329,"(+/- 1046 )",1976,"(+/- 613 )",1453,"(+/- 666 )",1507,"(+/- 581 )",2060,"(+/- 820 )",238,"(+/- 203 )",1833,"(+/- 1107 )",1308,"(+/- 770 )",666,"(+/- 424 )",81,"(+/- 95 )",561,"(+/- 720 )",372,"(+/- 321 )",447,"(+/- 281 )"
People,Ancestry,Dutch,10361,"(+/- 2465 )",8284,"(+/- 1958 )",7210,"(+/- 1603 )",7377,"(+/- 1573 )",6786,"(+/- 2706 )",8075,"(+/- 1690 )",6393,"(+/- 1541 )",8778,"(+/- 1547 )",4515,"(+/- 1253 )",4685,"(+/- 1293 )",12311,"(+/- 2471 )",8726,"(+/- 1734 )",10479,"(+/- 1880 )",5096,"(+/- 1442 )",9854,"(+/- 2709 )",9865,"(+/- 1645 )",10824,"(+/- 1877 )",8401,"(+/- 2379 )",12520,"(+/- 2860 )",3059,"(+/- 936 )",4219,"(+/- 1285 )",6739,"(+/- 2088 )",3305,"(+/- 1485 )",1482,"(+/- 592 )",3929,"(+/- 1574 )",1831,"(+/- 588 )",3095,"(+/- 1108 )"
People,Ancestry,English,75158,"(+/- 6550 )",79207,"(+/- 5965 )",71082,"(+/- 6483 )",76791,"(+/- 8155 )",34208,"(+/- 4481 )",64831,"(+/- 5426 )",50228,"(+/- 4863 )",69976,"(+/- 5768 )",39875,"(+/- 5292 )",37196,"(+/- 5569 )",82581,"(+/- 6417 )",70370,"(+/- 6030 )",68407,"(+/- 4550 )",42750,"(+/- 4183 )",55659,"(+/- 5121 )",77693,"(+/- 6377 )",74372,"(+/- 6549 )",63978,"(+/- 6545 )",72435,"(+/- 5680 )",14579,"(+/- 2968 )",36768,"(+/- 3874 )",37798,"(+/- 3749 )",25341,"(+/- 3223 )",5476,"(+/- 990 )",16869,"(+/- 3949 )",13002,"(+/- 2780 )",14170,"(+/- 1876 )"
People,Ancestry,"French (except Basque)",24884,"(+/- 4173 )",21136,"(+/- 3512 )",15823,"(+/- 2538 )",14125,"(+/- 2782 )",10212,"(+/- 2251 )",24652,"(+/- 3250 )",18162,"(+/- 3113 )",25637,"(+/- 4102 )",14305,"(+/- 3450 )",10507,"(+/- 1909 )",24396,"(+/- 3392 )",24528,"(+/- 4021 )",23143,"(+/- 2523 )",14558,"(+/- 2539 )",16333,"(+/- 2732 )",22238,"(+/- 2876 )",18879,"(+/- 2731 )",20384,"(+/- 3054 )",20659,"(+/- 3261 )",6166,"(+/- 1926 )",17262,"(+/- 2955 )",13868,"(+/- 2691 )",10525,"(+/- 2441 )",4947,"(+/- 1354 )",6501,"(+/- 1956 )",5541,"(+/- 1479 )",13049,"(+/- 2549 )"
People,Ancestry,"French Canadian",4852,"(+/- 1966 )",3317,"(+/- 1296 )",4077,"(+/- 1251 )",5346,"(+/- 1614 )",2125,"(+/- 878 )",6250,"(+/- 1194 )",4075,"(+/- 1068 )",7826,"(+/- 1749 )",3105,"(+/- 1085 )",2693,"(+/- 914 )",8209,"(+/- 1944 )",5837,"(+/- 1083 )",6234,"(+/- 1313 )",3793,"(+/- 1176 )",4664,"(+/- 1086 )",5095,"(+/- 1204 )",7690,"(+/- 1984 )",11015,"(+/- 3674 )",6043,"(+/- 1423 )",1879,"(+/- 844 )",4642,"(+/- 1834 )",3887,"(+/- 1128 )",2837,"(+/- 798 )",852,"(+/- 655 )",958,"(+/- 620 )",1367,"(+/- 679 )",728,"(+/- 455 )"
People,Ancestry,German,98097,"(+/- 6729 )",75784,"(+/- 5180 )",79621,"(+/- 7321 )",90502,"(+/- 7312 )",39873,"(+/- 4187 )",83356,"(+/- 6172 )",71362,"(+/- 5847 )",94261,"(+/- 6361 )",53476,"(+/- 6478 )",56432,"(+/- 6701 )",115547,"(+/- 7749 )",116197,"(+/- 7176 )",106435,"(+/- 5472 )",65449,"(+/- 5108 )",79659,"(+/- 8472 )",106750,"(+/- 6872 )",97844,"(+/- 6050 )",91995,"(+/- 6348 )",111896,"(+/- 7269 )",23459,"(+/- 3463 )",64853,"(+/- 5264 )",69380,"(+/- 6834 )",42822,"(+/- 5033 )",9191,"(+/- 1637 )",29249,"(+/- 5101 )",20818,"(+/- 3645 )",24529,"(+/- 3074 )"
People,Ancestry,Greek,2985,"(+/- 1640 )",2875,"(+/- 1202 )",1697,"(+/- 889 )",4519,"(+/- 1287 )",1485,"(+/- 652 )",1926,"(+/- 699 )",2890,"(+/- 1103 )",6170,"(+/- 2876 )",1765,"(+/- 977 )",1776,"(+/- 761 )",3172,"(+/- 1074 )",12527,"(+/- 2364 )",6715,"(+/- 2186 )",3284,"(+/- 1211 )",3938,"(+/- 2034 )",3059,"(+/- 1239 )",1483,"(+/- 713 )",3876,"(+/- 1398 )",4535,"(+/- 1365 )",1698,"(+/- 857 )",6106,"(+/- 2110 )",6796,"(+/- 1746 )",3864,"(+/- 1300 )",1003,"(+/- 535 )",1170,"(+/- 625 )",625,"(+/- 486 )",1991,"(+/- 821 )"
People,Ancestry,Hungarian,2631,"(+/- 1231 )",2711,"(+/- 999 )",3238,"(+/- 980 )",4032,"(+/- 1647 )",1119,"(+/- 564 )",6767,"(+/- 1922 )",2652,"(+/- 871 )",3629,"(+/- 1098 )",1900,"(+/- 803 )",2383,"(+/- 879 )",5668,"(+/- 2155 )",5734,"(+/- 1395 )",6117,"(+/- 1244 )",3065,"(+/- 1110 )",2059,"(+/- 729 )",6369,"(+/- 1705 )",3897,"(+/- 1252 )",3974,"(+/- 1155 )",4337,"(+/- 921 )",855,"(+/- 500 )",5569,"(+/- 1323 )",5624,"(+/- 1187 )",4088,"(+/- 1287 )",948,"(+/- 472 )",1338,"(+/- 605 )",1278,"(+/- 611 )",2128,"(+/- 884 )"
People,Ancestry,Irish,91892,"(+/- 6714 )",76828,"(+/- 5937 )",70274,"(+/- 5924 )",86037,"(+/- 6192 )",39079,"(+/- 4163 )",81124,"(+/- 5692 )",61255,"(+/- 4825 )",89832,"(+/- 6423 )",44559,"(+/- 4680 )",45578,"(+/- 6494 )",102398,"(+/- 8010 )",107875,"(+/- 6043 )",87235,"(+/- 6283 )",59511,"(+/- 5135 )",68938,"(+/- 7481 )",90495,"(+/- 8131 )",79041,"(+/- 6270 )",101771,"(+/- 8277 )",94110,"(+/- 7964 )",20728,"(+/- 3392 )",63480,"(+/- 4953 )",61507,"(+/- 5529 )",37768,"(+/- 4997 )",9803,"(+/- 1856 )",21230,"(+/- 4018 )",12705,"(+/- 2422 )",18466,"(+/- 2977 )"
People,Ancestry,Italian,32823,"(+/- 3878 )",25753,"(+/- 4012 )",32279,"(+/- 4885 )",47268,"(+/- 5519 )",19174,"(+/- 4454 )",55983,"(+/- 5565 )",46848,"(+/- 4517 )",55668,"(+/- 5679 )",32932,"(+/- 5019 )",36431,"(+/- 5179 )",63516,"(+/- 6729 )",77758,"(+/- 7258 )",52682,"(+/- 4167 )",48082,"(+/- 5657 )",40003,"(+/- 5856 )",49361,"(+/- 4785 )",43062,"(+/- 4121 )",73320,"(+/- 6135 )",66862,"(+/- 7073 )",21530,"(+/- 4302 )",69554,"(+/- 7534 )",73780,"(+/- 6089 )",53168,"(+/- 5732 )",11422,"(+/- 1947 )",19450,"(+/- 4064 )",15735,"(+/- 2400 )",24483,"(+/- 3072 )"
People,Ancestry,Lithuanian,835,"(+/- 378 )",800,"(+/- 429 )",1085,"(+/- 659 )",1111,"(+/- 641 )",666,"(+/- 405 )",1124,"(+/- 449 )",1667,"(+/- 803 )",4392,"(+/- 2722 )",556,"(+/- 309 )",692,"(+/- 733 )",2041,"(+/- 887 )",2282,"(+/- 1564 )",2612,"(+/- 1021 )",915,"(+/- 442 )",950,"(+/- 408 )",2466,"(+/- 864 )",1399,"(+/- 672 )",2026,"(+/- 861 )",1874,"(+/- 623 )",414,"(+/- 428 )",2164,"(+/- 671 )",1865,"(+/- 664 )",1542,"(+/- 646 )",118,"(+/- 148 )",239,"(+/- 200 )",214,"(+/- 171 )",1132,"(+/- 760 )"
People,Ancestry,Norwegian,7700,"(+/- 2457 )",6020,"(+/- 1711 )",4826,"(+/- 1795 )",5739,"(+/- 1761 )",4036,"(+/- 1704 )",4483,"(+/- 1188 )",4300,"(+/- 1290 )",6048,"(+/- 1509 )",3748,"(+/- 1523 )",2841,"(+/- 1473 )",6856,"(+/- 2041 )",7529,"(+/- 1905 )",6152,"(+/- 1380 )",4392,"(+/- 1218 )",5052,"(+/- 1377 )",6608,"(+/- 1537 )",6207,"(+/- 1750 )",6825,"(+/- 2687 )",7356,"(+/- 1555 )",1263,"(+/- 529 )",3952,"(+/- 1378 )",4358,"(+/- 1509 )",2424,"(+/- 826 )",457,"(+/- 445 )",3007,"(+/- 1647 )",1258,"(+/- 573 )",1599,"(+/- 575 )"
People,Ancestry,Polish,15903,"(+/- 3532 )",10670,"(+/- 2247 )",15652,"(+/- 2950 )",18664,"(+/- 3343 )",7614,"(+/- 1818 )",18844,"(+/- 2406 )",16898,"(+/- 2929 )",23884,"(+/- 4093 )",13019,"(+/- 2875 )",12198,"(+/- 2370 )",27091,"(+/- 3166 )",30675,"(+/- 3773 )",26574,"(+/- 3120 )",16722,"(+/- 2938 )",12549,"(+/- 2303 )",24815,"(+/- 3812 )",18646,"(+/- 2780 )",27393,"(+/- 3587 )",27612,"(+/- 3664 )",7368,"(+/- 1903 )",34868,"(+/- 4237 )",31017,"(+/- 4804 )",20831,"(+/- 3260 )",4690,"(+/- 1319 )",6199,"(+/- 1747 )",3980,"(+/- 1085 )",8143,"(+/- 1459 )"
People,Ancestry,Portuguese,2928,"(+/- 1759 )",2747,"(+/- 1754 )",3507,"(+/- 1947 )",2472,"(+/- 1181 )",776,"(+/- 485 )",4525,"(+/- 1659 )",4400,"(+/- 2247 )",2290,"(+/- 781 )",3804,"(+/- 2123 )",6886,"(+/- 3041 )",3119,"(+/- 1018 )",4171,"(+/- 1648 )",2607,"(+/- 859 )",2960,"(+/- 1608 )",2960,"(+/- 1410 )",2701,"(+/- 1024 )",4272,"(+/- 1797 )",3614,"(+/- 1452 )",3091,"(+/- 1389 )",1602,"(+/- 774 )",2816,"(+/- 1079 )",7509,"(+/- 2296 )",3877,"(+/- 1825 )",1445,"(+/- 743 )",2589,"(+/- 1785 )",1198,"(+/- 562 )",3729,"(+/- 1061 )"
People,Ancestry,Russian,3206,"(+/- 1051 )",3337,"(+/- 1348 )",3626,"(+/- 1184 )",7727,"(+/- 2833 )",2112,"(+/- 1471 )",6255,"(+/- 1802 )",7041,"(+/- 1646 )",4901,"(+/- 1594 )",2889,"(+/- 1367 )",4559,"(+/- 1678 )",6455,"(+/- 1642 )",6517,"(+/- 1741 )",7718,"(+/- 1816 )",4556,"(+/- 1384 )",2073,"(+/- 704 )",8264,"(+/- 1702 )",6707,"(+/- 3257 )",9920,"(+/- 1831 )",6916,"(+/- 2286 )",4716,"(+/- 1368 )",31324,"(+/- 3814 )",22329,"(+/- 3040 )",16172,"(+/- 3171 )",5415,"(+/- 1756 )",2304,"(+/- 1201 )",1987,"(+/- 825 )",7772,"(+/- 1666 )"
People,Ancestry,Scotch-Irish,10847,"(+/- 1982 )",11706,"(+/- 1693 )",9547,"(+/- 2400 )",11967,"(+/- 3016 )",5913,"(+/- 1425 )",7253,"(+/- 1300 )",6292,"(+/- 1097 )",8503,"(+/- 2018 )",5498,"(+/- 1323 )",6317,"(+/- 1793 )",6721,"(+/- 1594 )",9500,"(+/- 1590 )",9337,"(+/- 2009 )",4048,"(+/- 902 )",6130,"(+/- 1541 )",6392,"(+/- 1453 )",6633,"(+/- 1127 )",5095,"(+/- 1225 )",7795,"(+/- 2098 )",1696,"(+/- 753 )",4191,"(+/- 1485 )",3832,"(+/- 1174 )",2373,"(+/- 798 )",614,"(+/- 310 )",1318,"(+/- 735 )",2532,"(+/- 1263 )",1328,"(+/- 690 )"
People,Ancestry,Scottish,18844,"(+/- 3356 )",15716,"(+/- 2826 )",14886,"(+/- 2815 )",16834,"(+/- 2396 )",9276,"(+/- 2670 )",12937,"(+/- 2465 )",13443,"(+/- 2643 )",18771,"(+/- 3360 )",9197,"(+/- 2085 )",8455,"(+/- 1854 )",17176,"(+/- 2718 )",14273,"(+/- 2241 )",15163,"(+/- 1797 )",10872,"(+/- 2131 )",12480,"(+/- 2219 )",16729,"(+/- 2320 )",14811,"(+/- 2125 )",14508,"(+/- 2751 )",16131,"(+/- 2849 )",3733,"(+/- 1117 )",8698,"(+/- 1688 )",7946,"(+/- 1616 )",4707,"(+/- 1401 )",346,"(+/- 214 )",5568,"(+/- 2339 )",3273,"(+/- 1165 )",3271,"(+/- 1021 )"
People,Ancestry,Slovak,1606,"(+/- 904 )",331,"(+/- 273 )",704,"(+/- 532 )",2522,"(+/- 1814 )",128,"(+/- 184 )",1310,"(+/- 490 )",1275,"(+/- 539 )",1445,"(+/- 598 )",956,"(+/- 848 )",1159,"(+/- 1181 )",1700,"(+/- 795 )",2333,"(+/- 805 )",1814,"(+/- 761 )",347,"(+/- 184 )",1645,"(+/- 1097 )",2686,"(+/- 1368 )",1737,"(+/- 659 )",2178,"(+/- 908 )",1507,"(+/- 478 )",296,"(+/- 372 )",1751,"(+/- 826 )",1413,"(+/- 721 )",1218,"(+/- 664 )",163,"(+/- 134 )",154,"(+/- 263 )",470,"(+/- 301 )",474,"(+/- 314 )"
People,Ancestry,"Subsaharan African",4419,"(+/- 2003 )",5994,"(+/- 2431 )",11495,"(+/- 3204 )",2246,"(+/- 947 )",18591,"(+/- 4813 )",2417,"(+/- 1096 )",6477,"(+/- 2186 )",2916,"(+/- 1374 )",6080,"(+/- 2825 )",8295,"(+/- 2958 )",3441,"(+/- 1797 )",4217,"(+/- 1986 )",3288,"(+/- 1197 )",9119,"(+/- 3201 )",6271,"(+/- 2978 )",2833,"(+/- 1069 )",1801,"(+/- 833 )",11018,"(+/- 4468 )",2066,"(+/- 1429 )",20212,"(+/- 4019 )",7002,"(+/- 3372 )",5618,"(+/- 2464 )",5093,"(+/- 1780 )",10440,"(+/- 3600 )",646,"(+/- 369 )",3033,"(+/- 1640 )",1465,"(+/- 621 )"
People,Ancestry,Swedish,6857,"(+/- 2112 )",4865,"(+/- 1336 )",5851,"(+/- 1928 )",5614,"(+/- 1691 )",3548,"(+/- 1053 )",6896,"(+/- 1595 )",5038,"(+/- 1435 )",8220,"(+/- 1919 )",4070,"(+/- 1381 )",3767,"(+/- 1357 )",9583,"(+/- 2040 )",7208,"(+/- 1436 )",10252,"(+/- 1701 )",6001,"(+/- 1651 )",5370,"(+/- 1283 )",12354,"(+/- 3162 )",8232,"(+/- 1613 )",6801,"(+/- 1724 )",11248,"(+/- 1816 )",1562,"(+/- 747 )",3921,"(+/- 825 )",4004,"(+/- 1362 )",3094,"(+/- 1089 )",381,"(+/- 251 )",1399,"(+/- 701 )",1299,"(+/- 553 )",1722,"(+/- 658 )"
People,Ancestry,Swiss,1254,"(+/- 632 )",1530,"(+/- 766 )",778,"(+/- 588 )",1401,"(+/- 762 )",1218,"(+/- 1074 )",1653,"(+/- 664 )",1352,"(+/- 716 )",988,"(+/- 529 )",751,"(+/- 404 )",1430,"(+/- 966 )",2583,"(+/- 1464 )",1113,"(+/- 478 )",1405,"(+/- 584 )",837,"(+/- 473 )",1739,"(+/- 1357 )",2256,"(+/- 727 )",2131,"(+/- 559 )",1240,"(+/- 616 )",2066,"(+/- 597 )",805,"(+/- 550 )",856,"(+/- 481 )",2176,"(+/- 1122 )",768,"(+/- 391 )",512,"(+/- 371 )",381,"(+/- 355 )",676,"(+/- 539 )",710,"(+/- 360 )"
