Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
Housing,Value,"$200,000 to $299,999",33326,"(+/- 2024 )",24361,"(+/- 1646 )",28368,"(+/- 1934 )",32447,"(+/- 2224 )",30380,"(+/- 2126 )"
Housing,Value,"$300,000 to $499,999",19429,"(+/- 1523 )",12686,"(+/- 1102 )",14363,"(+/- 1539 )",15992,"(+/- 1743 )",20592,"(+/- 2008 )"
Housing,Value,"$500,000 to $999,999",7675,"(+/- 1011 )",4349,"(+/- 763 )",3821,"(+/- 753 )",4508,"(+/- 923 )",7546,"(+/- 1043 )"
Housing,Value,"$1,000,000 or more",1216,"(+/- 375 )",821,"(+/- 294 )",864,"(+/- 304 )",1065,"(+/- 324 )",2224,"(+/- 710 )"
Housing,Value,"Median (dollars)",154100,"(+/- 2299 )",105300,"(+/- 2747 )",125700,"(+/- 3541 )",144000,"(+/- 3568 )",149600,"(+/- 3819 )"
Housing,"Mortgage Status","Owner-occupied units",193147,"(+/- 2986 )",199809,"(+/- 2769 )",193376,"(+/- 3860 )",190668,"(+/- 3782 )",185483,"(+/- 3813 )"
Housing,"Mortgage Status","Housing units with a mortgage",118879,"(+/- 3043 )",93416,"(+/- 2806 )",93016,"(+/- 3086 )",111567,"(+/- 3487 )",110117,"(+/- 4123 )"
Housing,"Mortgage Status","Housing units without a mortgage",74268,"(+/- 2311 )",106393,"(+/- 2451 )",100360,"(+/- 3115 )",79101,"(+/- 2657 )",75366,"(+/- 2747 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",118879,"(+/- 3043 )",93416,"(+/- 2806 )",93016,"(+/- 3086 )",111567,"(+/- 3487 )",110117,"(+/- 4123 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1705,"(+/- 514 )",5099,"(+/- 624 )",3013,"(+/- 720 )",1868,"(+/- 527 )",1555,"(+/- 569 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",32483,"(+/- 2082 )",43460,"(+/- 2285 )",32165,"(+/- 2061 )",31335,"(+/- 2077 )",31222,"(+/- 2759 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",46795,"(+/- 2118 )",29467,"(+/- 1728 )",32661,"(+/- 2545 )",43129,"(+/- 2274 )",37571,"(+/- 2575 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",20054,"(+/- 1583 )",8830,"(+/- 1128 )",13996,"(+/- 1645 )",21275,"(+/- 2063 )",19759,"(+/- 1806 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",8931,"(+/- 1201 )",4301,"(+/- 830 )",7569,"(+/- 1174 )",8224,"(+/- 1406 )",9239,"(+/- 1267 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",3601,"(+/- 690 )",1184,"(+/- 356 )",1660,"(+/- 485 )",2437,"(+/- 748 )",5132,"(+/- 1184 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",5310,"(+/- 776 )",1075,"(+/- 350 )",1952,"(+/- 575 )",3299,"(+/- 831 )",5639,"(+/- 1045 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1234,"(+/- 16 )",977,"(+/- 19 )",1152,"(+/- 22 )",1231,"(+/- 25 )",1277,"(+/- 31 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",74268,"(+/- 2311 )",106393,"(+/- 2451 )",100360,"(+/- 3115 )",79101,"(+/- 2657 )",75366,"(+/- 2747 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",8413,"(+/- 965 )",31964,"(+/- 1510 )",22138,"(+/- 1650 )",14717,"(+/- 1280 )",12767,"(+/- 1340 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",22667,"(+/- 1797 )",39937,"(+/- 2028 )",34189,"(+/- 2216 )",25590,"(+/- 1734 )",22929,"(+/- 1692 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",26139,"(+/- 1470 )",25678,"(+/- 1767 )",29817,"(+/- 1835 )",24645,"(+/- 1660 )",21443,"(+/- 1608 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",8756,"(+/- 1017 )",6506,"(+/- 742 )",10118,"(+/- 1406 )",8973,"(+/- 1114 )",9066,"(+/- 1327 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3604,"(+/- 578 )",1197,"(+/- 329 )",2598,"(+/- 603 )",3229,"(+/- 808 )",4108,"(+/- 724 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",4689,"(+/- 784 )",1111,"(+/- 419 )",1500,"(+/- 515 )",1947,"(+/- 533 )",5053,"(+/- 819 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",437,"(+/- 8 )",329,"(+/- 6 )",372,"(+/- 8 )",396,"(+/- 9 )",416,"(+/- 13 )"
Housing,"Gross Rent","Occupied units paying rent",110328,"(+/- 3147 )",67426,"(+/- 2567 )",74429,"(+/- 3247 )",94905,"(+/- 3987 )",116198,"(+/- 3818 )"
Housing,"Gross Rent","Less than $500",12221,"(+/- 1154 )",17380,"(+/- 1365 )",11934,"(+/- 1149 )",10684,"(+/- 1509 )",12057,"(+/- 1236 )"
Housing,"Gross Rent","$500 to $999",66583,"(+/- 2600 )",44125,"(+/- 2107 )",46059,"(+/- 3198 )",58278,"(+/- 3132 )",71712,"(+/- 3494 )"
Housing,"Gross Rent","$1,000 to $1,499",25154,"(+/- 1630 )",5390,"(+/- 962 )",12698,"(+/- 1758 )",20455,"(+/- 2507 )",26039,"(+/- 2458 )"
Housing,"Gross Rent","$1,500 to $1,999",4291,"(+/- 882 )",322,"(+/- 201 )",3312,"(+/- 905 )",4657,"(+/- 1320 )",5093,"(+/- 1179 )"
Housing,"Gross Rent","$2,000 to $2,499",991,"(+/- 310 )",171,"(+/- 180 )",136,"(+/- 145 )",567,"(+/- 507 )",805,"(+/- 455 )"
Housing,"Gross Rent","$2,500 to $2,999",335,"(+/- 205 )",21,"(+/- 34 )",49,"(+/- 80 )",226,"(+/- 195 )",66,"(+/- 81 )"
Housing,"Gross Rent","$3,000 or more",753,"(+/- 324 )",17,"(+/- 29 )",241,"(+/- 225 )",38,"(+/- 45 )",426,"(+/- 285 )"
Housing,"Gross Rent","Median (dollars)",831,"(+/- 10 )",645,"(+/- 12 )",751,"(+/- 20 )",818,"(+/- 19 )",815,"(+/- 18 )"
Housing,"Gross Rent","No rent paid",5735,"(+/- 880 )",12879,"(+/- 1217 )",12811,"(+/- 1642 )",6600,"(+/- 1141 )",6570,"(+/- 1031 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",309210,"(+/- 2521 )",280114,"(+/- 2554 )",280616,"(+/- 3660 )",292173,"(+/- 3437 )",308251,"(+/- 3910 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",20583,"(+/- 1564 )",25230,"(+/- 1558 )",20007,"(+/- 1884 )",17606,"(+/- 1889 )",23593,"(+/- 2328 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",15027,"(+/- 1549 )",21955,"(+/- 1404 )",15071,"(+/- 1401 )",15076,"(+/- 1983 )",15255,"(+/- 1930 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",33399,"(+/- 2097 )",39677,"(+/- 2110 )",34867,"(+/- 2537 )",29545,"(+/- 2361 )",32031,"(+/- 2546 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",31296,"(+/- 2206 )",37623,"(+/- 1708 )",30077,"(+/- 2490 )",31565,"(+/- 2522 )",35411,"(+/- 3011 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",44316,"(+/- 2182 )",40659,"(+/- 1862 )",40024,"(+/- 2924 )",37943,"(+/- 3156 )",46547,"(+/- 3124 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",58613,"(+/- 2385 )",47986,"(+/- 2442 )",50854,"(+/- 2886 )",60671,"(+/- 3711 )",53447,"(+/- 2966 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",37828,"(+/- 2089 )",29926,"(+/- 1807 )",33995,"(+/- 2260 )",39616,"(+/- 2931 )",36525,"(+/- 2894 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",39137,"(+/- 2360 )",24885,"(+/- 1577 )",36079,"(+/- 2358 )",37793,"(+/- 2927 )",36071,"(+/- 2359 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",14538,"(+/- 1411 )",6400,"(+/- 689 )",11978,"(+/- 1456 )",12395,"(+/- 1443 )",14396,"(+/- 1687 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",14473,"(+/- 1135 )",5773,"(+/- 713 )",7664,"(+/- 930 )",9963,"(+/- 1265 )",14975,"(+/- 1710 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",53332,"(+/- 1324 )",40305,"(+/- 856 )",50089,"(+/- 1308 )",54885,"(+/- 1583 )",50441,"(+/- 1367 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",73494,"(+/- 1524 )",55121,"(+/- 1075 )",65428,"(+/- 1475 )",70226,"(+/- 1561 )",74519,"(+/- 2466 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",798238,"(+/- 2869 )",727978,"(+/- 3461 )",752860,"(+/- 4048 )",764501,"(+/- 5174 )",807725,"(+/- 4523 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",693244,"(+/- 4616 )",591819,"(+/- 5167 )",653338,"(+/- 6408 )",673083,"(+/- 8725 )",694335,"(+/- 6816 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",528981,"(+/- 7145 )",385707,"(+/- 7565 )",503065,"(+/- 8248 )",530309,"(+/- 10828 )",517127,"(+/- 8871 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",257586,"(+/- 5409 )",305513,"(+/- 5043 )",249828,"(+/- 6022 )",246431,"(+/- 6837 )",273255,"(+/- 7467 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",104994,"(+/- 4174 )",136159,"(+/- 4458 )",99522,"(+/- 5579 )",91418,"(+/- 6416 )",113390,"(+/- 6327 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",214003,"(+/- 1651 )",185648,"(+/- 1934 )",201068,"(+/- 2630 )",198666,"(+/- 2857 )",219368,"(+/- 2535 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",14914,"(+/- 1981 )",24196,"(+/- 2022 )",14615,"(+/- 2293 )",14650,"(+/- 2688 )",14021,"(+/- 2366 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",10.7,"(+/- 0.8 )",14.7,"(+/- 0.8 )",10.7,"(+/- 0.9 )",9.6,"(+/- 1.0 )",12.2,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",17.2,"(+/- 1.3 )",23.6,"(+/- 1.4 )",17.5,"(+/- 1.8 )",14.4,"(+/- 1.8 )",19.5,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",18.2,"(+/- 3.3 )",20.7,"(+/- 3.5 )",19.2,"(+/- 4.6 )",15.7,"(+/- 3.8 )",13.7,"(+/- 3.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",5.5,"(+/- 0.7 )",7.9,"(+/- 0.8 )",5.0,"(+/- 0.7 )",4.5,"(+/- 0.7 )",6.2,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.9,"(+/- 1.2 )",12.0,"(+/- 1.6 )",7.0,"(+/- 1.3 )",5.9,"(+/- 1.3 )",9.3,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.8,"(+/- 3.1 )",7.6,"(+/- 2.9 )",6.7,"(+/- 3.2 )",2.0,"(+/- 1.6 )",3.9,"(+/- 3.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",26.8,"(+/- 2.4 )",38.1,"(+/- 2.4 )",33.5,"(+/- 4.2 )",28.3,"(+/- 3.8 )",31.4,"(+/- 3.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",35.6,"(+/- 3.4 )",46.2,"(+/- 3.3 )",42.6,"(+/- 5.9 )",34.9,"(+/- 5.4 )",40.9,"(+/- 4.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",42.8,"(+/- 11.3 )",50.5,"(+/- 9.3 )",51.7,"(+/- 12.7 )",41.0,"(+/- 13.3 )",46.9,"(+/- 13.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",14.0,"(+/- 0.8 )",19.6,"(+/- 0.7 )",15.7,"(+/- 1.0 )",13.4,"(+/- 0.9 )",16.6,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",19.8,"(+/- 1.8 )",27.4,"(+/- 1.7 )",19.8,"(+/- 1.9 )",16.6,"(+/- 2.1 )",24.1,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",19.6,"(+/- 1.8 )",27.1,"(+/- 1.7 )",19.6,"(+/- 1.9 )",16.4,"(+/- 2.1 )",23.7,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",23.4,"(+/- 2.6 )",28.5,"(+/- 3.0 )",21.0,"(+/- 3.5 )",19.0,"(+/- 3.0 )",24.5,"(+/- 4.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",18.1,"(+/- 1.8 )",26.5,"(+/- 1.8 )",19.1,"(+/- 2.1 )",15.5,"(+/- 2.4 )",23.4,"(+/- 2.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",12.1,"(+/- 0.6 )",17.2,"(+/- 0.7 )",14.4,"(+/- 0.9 )",12.3,"(+/- 0.8 )",14.0,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.8,"(+/- 0.9 )",10.8,"(+/- 1.1 )",8.8,"(+/- 1.0 )",9.4,"(+/- 1.3 )",9.3,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",11.7,"(+/- 0.9 )",16.8,"(+/- 0.8 )",12.2,"(+/- 1.0 )",10.4,"(+/- 1.1 )",14.2,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",23.8,"(+/- 1.3 )",33.4,"(+/- 1.4 )",32.2,"(+/- 2.0 )",26.8,"(+/- 2.1 )",25.3,"(+/- 1.7 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",206958,"(+/- 3176 )",170335,"(+/- 3068 )",205459,"(+/- 4121 )",212471,"(+/- 4309 )",216018,"(+/- 3993 )"
Education,"School Enrollment","Nursery school, preschool",14733,"(+/- 1605 )",12089,"(+/- 1195 )",14542,"(+/- 2006 )",11739,"(+/- 1677 )",13936,"(+/- 1781 )"
Education,"School Enrollment",Kindergarten,12211,"(+/- 1198 )",9135,"(+/- 1085 )",12200,"(+/- 1483 )",9822,"(+/- 1279 )",11218,"(+/- 1919 )"
Education,"School Enrollment","Elementary school (grades 1-8)",91308,"(+/- 2091 )",79206,"(+/- 1828 )",82877,"(+/- 2816 )",87873,"(+/- 2336 )",93661,"(+/- 2984 )"
Education,"School Enrollment","High school (grades 9-12)",43927,"(+/- 1498 )",40402,"(+/- 1495 )",43471,"(+/- 2778 )",41435,"(+/- 2015 )",44075,"(+/- 2029 )"
Education,"School Enrollment","College or graduate school",44779,"(+/- 2479 )",29503,"(+/- 1915 )",52369,"(+/- 2939 )",61602,"(+/- 3913 )",53128,"(+/- 3534 )"
Education,"Educational Attainment","Population 25 years and over",532740,"(+/- 1814 )",504021,"(+/- 1692 )",502147,"(+/- 3508 )",513306,"(+/- 4215 )",534200,"(+/- 2829 )"
Education,"Educational Attainment","Less than 9th grade",21394,"(+/- 1445 )",22355,"(+/- 1825 )",20066,"(+/- 2293 )",15633,"(+/- 1825 )",25527,"(+/- 2421 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",34464,"(+/- 1822 )",51312,"(+/- 2539 )",39839,"(+/- 2574 )",37676,"(+/- 2553 )",40748,"(+/- 3839 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",140809,"(+/- 4207 )",190251,"(+/- 4226 )",169368,"(+/- 6016 )",162593,"(+/- 4659 )",141224,"(+/- 5649 )"
Education,"Educational Attainment","Some college, no degree",125764,"(+/- 4071 )",112554,"(+/- 3185 )",121780,"(+/- 4248 )",124501,"(+/- 4710 )",119303,"(+/- 4748 )"
Education,"Educational Attainment","Associate's degree",48657,"(+/- 2753 )",43100,"(+/- 2727 )",39424,"(+/- 2908 )",37622,"(+/- 3285 )",39914,"(+/- 2782 )"
Education,"Educational Attainment","Bachelor's degree",108074,"(+/- 3829 )",56241,"(+/- 2760 )",77390,"(+/- 3965 )",88300,"(+/- 4948 )",107238,"(+/- 4163 )"
Education,"Educational Attainment","Graduate or professional degree",53578,"(+/- 2626 )",28208,"(+/- 2287 )",34280,"(+/- 2504 )",46981,"(+/- 2831 )",60246,"(+/- 3750 )"
Education,"Educational Attainment","Percent high school graduate or higher",89.5,"(+/- 0.4 )",85.4,"(+/- 0.7 )",88.1,"(+/- 0.7 )",89.6,"(+/- 0.6 )",87.6,"(+/- 0.8 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",30.3,"(+/- 0.8 )",16.8,"(+/- 0.7 )",22.2,"(+/- 1.0 )",26.4,"(+/- 1.1 )",31.4,"(+/- 1.0 )"

"Source: 2017 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",377201,G,162235,G,187687,G,207679,G,381111,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",26,H,389,H,223,G,71,H,23,J
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",5715,H,2565,G,11346,G,4229,G,10928,G
Business,"Paid employees for pay period including March 12",Utilities,1966,H,1690,H,1714,H,1044,G,2311,J
Business,"Paid employees for pay period including March 12",Construction,20834,G,7185,G,12644,G,11486,G,18625,G
Business,"Paid employees for pay period including March 12",Manufacturing,44079,G,23397,G,23178,G,16740,G,22581,G
Business,"Paid employees for pay period including March 12","Wholesale trade",17505,G,5294,G,8505,G,5558,G,20267,G
Business,"Paid employees for pay period including March 12","Retail trade",46407,G,27367,G,30429,G,35644,G,46638,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",14475,G,3988,G,8110,G,6691,G,14175,G
Business,"Paid employees for pay period including March 12",Information,11006,G,1773,G,2622,G,3392,G,8923,G
Business,"Paid employees for pay period including March 12","Finance and insurance",16802,G,6165,G,7385,G,8255,G,20416,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",7545,G,1470,G,3112,G,4015,G,6643,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",22909,G,4409,G,6758,G,9470,G,24689,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",14785,G,1068,G,1290,H,2397,H,18546,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",25550,G,7114,G,5909,G,9108,G,27584,G
Business,"Paid employees for pay period including March 12","Educational services",8580,G,655,H,885,H,1870,G,9260,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",58119,G,37755,G,26733,G,37661,G,60202,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",6628,H,3299,H,5090,H,7930,H,6931,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",36618,G,20240,G,22271,G,31462,G,43639,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",17629,G,6388,G,9445,G,10629,G,18697,G
Business,"Paid employees for pay period including March 12","Industries not classified",23,H,24,J,38,J,27,J,33,J
Business,"Annual payroll ($1,000)","Total for all sectors",17541747,G,5377165,G,7041287,G,7243261,G,17368957,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",977,J,14387,G,10884,G,2779,H,1003,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",648212,H,166074,H,779183,G,235414,G,1021618,G
Business,"Annual payroll ($1,000)",Utilities,179568,H,134477,H,129394,H,76263,G,201995,J
Business,"Annual payroll ($1,000)",Construction,1037631,G,299515,G,604621,G,580483,G,948408,G
Business,"Annual payroll ($1,000)",Manufacturing,2365889,G,1091411,G,1205064,G,868076,G,1044298,G
Business,"Annual payroll ($1,000)","Wholesale trade",1111129,G,207935,G,417802,G,254521,G,1120321,G
Business,"Annual payroll ($1,000)","Retail trade",1200250,G,657497,G,758670,G,903535,G,1266853,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",804090,G,149612,G,410331,G,283450,G,753215,G
Business,"Annual payroll ($1,000)",Information,635797,G,72919,G,111372,G,147749,H,489851,H
Business,"Annual payroll ($1,000)","Finance and insurance",1200782,G,254142,G,352128,G,363967,G,1336770,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",308649,G,47915,G,128104,G,147258,G,350196,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1621617,G,162556,G,299013,G,469566,G,1522137,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",1383520,G,65362,G,70776,G,139956,H,1642534,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",825274,G,185062,G,200329,G,267485,G,951982,G
Business,"Annual payroll ($1,000)","Educational services",267190,G,12832,H,27998,H,43521,G,252501,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2697572,G,1322067,G,879576,G,1503879,G,2971776,H
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",180869,H,87070,H,137667,H,235799,H,299836,H
Business,"Annual payroll ($1,000)","Accommodation and food services",573021,G,313920,G,294089,G,453999,G,693266,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",499053,G,132043,G,223559,G,265290,G,499979,G
Business,"Annual payroll ($1,000)","Industries not classified",657,G,369,H,727,H,271,G,418,G
Business,"Total Establishments","Total for all sectors",21498,X,13035,X,17236,X,16662,X,24320,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",9,X,71,X,53,X,19,X,9,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",353,X,238,X,1009,X,527,X,736,X
Business,"Total Establishments",Utilities,52,X,98,X,105,X,59,X,52,X
Business,"Total Establishments",Construction,1806,X,1106,X,1766,X,1649,X,1908,X
Business,"Total Establishments",Manufacturing,965,X,597,X,656,X,469,X,729,X
Business,"Total Establishments","Wholesale trade",1304,X,490,X,796,X,572,X,1364,X
Business,"Total Establishments","Retail trade",2672,X,2282,X,2580,X,2555,X,3075,X
Business,"Total Establishments","Transportation and warehousing",489,X,397,X,798,X,502,X,545,X
Business,"Total Establishments",Information,387,X,201,X,254,X,238,X,376,X
Business,"Total Establishments","Finance and insurance",1549,X,1024,X,1179,X,1195,X,1848,X
Business,"Total Establishments","Real estate and rental and leasing",1087,X,427,X,690,X,840,X,1224,X
Business,"Total Establishments","Professional, scientific, and technical services",2594,X,942,X,1321,X,1608,X,3084,X
Business,"Total Establishments","Management of companies and enterprises",222,X,61,X,68,X,81,X,217,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1194,X,472,X,692,X,736,X,1337,X
Business,"Total Establishments","Educational services",233,X,47,X,102,X,151,X,230,X
Business,"Total Establishments","Health care and social assistance",2403,X,1808,X,1636,X,2111,X,3147,X
Business,"Total Establishments","Arts, entertainment, and recreation",276,X,161,X,217,X,221,X,275,X
Business,"Total Establishments","Accommodation and food services",1821,X,1175,X,1449,X,1524,X,2036,X
Business,"Total Establishments","Other services (except public administration)",2056,X,1416,X,1832,X,1587,X,2107,X
Business,"Total Establishments","Industries not classified",26,X,22,X,33,X,18,X,21,X

"Source: 2016 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
