Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",6.0,"(+/- 1.4 )",9.5,"(+/- 1.5 )",9.6,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",7.0,"(+/- 2.2 )",13.3,"(+/- 2.7 )",12.5,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",3.2,"(+/- 3.2 )",15.6,"(+/- 7.6 )",9.6,"(+/- 5.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",26.7,"(+/- 3.9 )",37.6,"(+/- 4.5 )",36.0,"(+/- 4.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",32.7,"(+/- 6.2 )",49.8,"(+/- 5.7 )",44.3,"(+/- 5.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",38.7,"(+/- 15.7 )",69.0,"(+/- 15.6 )",43.2,"(+/- 13.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",15.6,"(+/- 1.2 )",21.6,"(+/- 1.5 )",21.8,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",20.2,"(+/- 2.9 )",30.4,"(+/- 3.6 )",30.1,"(+/- 2.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",19.8,"(+/- 2.9 )",30.3,"(+/- 3.6 )",30.0,"(+/- 2.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",22.4,"(+/- 5.8 )",31.2,"(+/- 5.3 )",32.5,"(+/- 5.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",18.9,"(+/- 3.2 )",30.0,"(+/- 3.9 )",29.1,"(+/- 2.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",14.3,"(+/- 1.1 )",18.7,"(+/- 1.3 )",19.2,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",8.7,"(+/- 1.4 )",13.2,"(+/- 1.6 )",14.5,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",12.6,"(+/- 1.4 )",19.4,"(+/- 1.8 )",19.9,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",26.0,"(+/- 2.2 )",31.9,"(+/- 2.7 )",29.4,"(+/- 2.0 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",172218,"(+/- 5572 )",188593,"(+/- 5355 )",176038,"(+/- 4953 )"
Education,"School Enrollment","Nursery school, preschool",8750,"(+/- 1698 )",8824,"(+/- 1476 )",9276,"(+/- 1404 )"
Education,"School Enrollment",Kindergarten,8142,"(+/- 1591 )",8937,"(+/- 1503 )",9896,"(+/- 1562 )"
Education,"School Enrollment","Elementary school (grades 1-8)",69156,"(+/- 2892 )",83855,"(+/- 3371 )",75977,"(+/- 2920 )"
Education,"School Enrollment","High school (grades 9-12)",34534,"(+/- 2463 )",38922,"(+/- 3166 )",38297,"(+/- 2605 )"
Education,"School Enrollment","College or graduate school",51636,"(+/- 4167 )",48055,"(+/- 3585 )",42592,"(+/- 3477 )"
Education,"Educational Attainment","Population 25 years and over",484118,"(+/- 4391 )",441357,"(+/- 3741 )",466000,"(+/- 4303 )"
Education,"Educational Attainment","Less than 9th grade",19725,"(+/- 2958 )",37514,"(+/- 3504 )",23566,"(+/- 2775 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",30551,"(+/- 4166 )",43405,"(+/- 3311 )",38804,"(+/- 3369 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",116263,"(+/- 5946 )",128629,"(+/- 5459 )",125707,"(+/- 5846 )"
Education,"Educational Attainment","Some college, no degree",114061,"(+/- 5029 )",107388,"(+/- 4779 )",111831,"(+/- 5151 )"
Education,"Educational Attainment","Associate's degree",38964,"(+/- 3548 )",38499,"(+/- 2678 )",40068,"(+/- 3015 )"
Education,"Educational Attainment","Bachelor's degree",88503,"(+/- 4684 )",53497,"(+/- 3607 )",69995,"(+/- 4000 )"
Education,"Educational Attainment","Graduate or professional degree",76051,"(+/- 3970 )",32425,"(+/- 2833 )",56029,"(+/- 3498 )"
Education,"Educational Attainment","Percent high school graduate or higher",89.6,"(+/- 1.1 )",81.7,"(+/- 1.0 )",86.6,"(+/- 0.9 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",34.0,"(+/- 1.2 )",19.5,"(+/- 1.1 )",27.0,"(+/- 1.2 )"

"Source: 2017 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",275149,G,168615,G,175940,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",61,H,180,G,147,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",276,J,11158,G,4355,G
Business,"Paid employees for pay period including March 12",Utilities,1471,H,1262,G,1743,H
Business,"Paid employees for pay period including March 12",Construction,17802,G,12139,G,8879,G
Business,"Paid employees for pay period including March 12",Manufacturing,12865,G,6633,G,6259,G
Business,"Paid employees for pay period including March 12","Wholesale trade",11798,G,4407,G,4350,G
Business,"Paid employees for pay period including March 12","Retail trade",37857,G,28893,G,30399,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",6328,G,6579,G,4315,G
Business,"Paid employees for pay period including March 12",Information,10098,G,1971,G,2822,G
Business,"Paid employees for pay period including March 12","Finance and insurance",10488,G,5697,H,5604,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",4252,G,2672,G,2713,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",32024,H,7419,G,15790,H
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",4810,H,712,H,983,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",17926,G,7405,G,5703,G
Business,"Paid employees for pay period including March 12","Educational services",3842,G,1732,G,3191,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",51454,G,34928,G,35431,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",5081,G,3150,G,5380,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",35717,G,24715,G,29266,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",10969,G,6931,G,8563,G
Business,"Paid employees for pay period including March 12","Industries not classified",30,J,32,J,47,J
Business,"Annual payroll ($1,000)","Total for all sectors",11552041,G,6009000,G,7046107,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",1575,H,6963,G,5921,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",17459,J,761513,G,336305,G
Business,"Annual payroll ($1,000)",Utilities,144803,H,86641,G,151403,H
Business,"Annual payroll ($1,000)",Construction,848227,G,502486,G,362490,G
Business,"Annual payroll ($1,000)",Manufacturing,625401,G,351978,G,319554,G
Business,"Annual payroll ($1,000)","Wholesale trade",602623,G,210590,G,221905,G
Business,"Annual payroll ($1,000)","Retail trade",1050671,G,713262,G,805181,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",265093,G,275477,G,175925,G
Business,"Annual payroll ($1,000)",Information,337158,H,74835,H,113657,G
Business,"Annual payroll ($1,000)","Finance and insurance",643023,G,235597,G,376520,H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",163945,G,107566,G,115436,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",2442680,H,371388,H,1310002,H
Business,"Annual payroll ($1,000)","Management of companies and enterprises",288289,H,46974,H,79728,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",526629,G,289876,G,229854,H
Business,"Annual payroll ($1,000)","Educational services",116376,G,54889,G,103867,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2401258,G,1319794,G,1453352,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",114705,G,59882,H,126179,G
Business,"Annual payroll ($1,000)","Accommodation and food services",638807,G,373379,G,518035,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",322953,G,165371,G,240334,G
Business,"Annual payroll ($1,000)","Industries not classified",366,G,539,H,459,G
Business,"Total Establishments","Total for all sectors",16273,X,12843,X,14317,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",12,X,45,X,41,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",27,X,483,X,183,X
Business,"Total Establishments",Utilities,22,X,100,X,92,X
Business,"Total Establishments",Construction,1470,X,1353,X,1503,X
Business,"Total Establishments",Manufacturing,600,X,370,X,382,X
Business,"Total Establishments","Wholesale trade",865,X,431,X,483,X
Business,"Total Establishments","Retail trade",2126,X,1971,X,2378,X
Business,"Total Establishments","Transportation and warehousing",373,X,577,X,382,X
Business,"Total Establishments",Information,267,X,232,X,249,X
Business,"Total Establishments","Finance and insurance",997,X,805,X,839,X
Business,"Total Establishments","Real estate and rental and leasing",962,X,671,X,697,X
Business,"Total Establishments","Professional, scientific, and technical services",2244,X,905,X,1430,X
Business,"Total Establishments","Management of companies and enterprises",112,X,58,X,58,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",742,X,502,X,591,X
Business,"Total Establishments","Educational services",261,X,112,X,208,X
Business,"Total Establishments","Health care and social assistance",2012,X,1468,X,1633,X
Business,"Total Establishments","Arts, entertainment, and recreation",244,X,160,X,296,X
Business,"Total Establishments","Accommodation and food services",1488,X,1350,X,1438,X
Business,"Total Establishments","Other services (except public administration)",1425,X,1230,X,1410,X
Business,"Total Establishments","Industries not classified",24,X,20,X,24,X

"Source: 2016 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
"a 0 to 19 employees"
"b 20 to 99 employees"
"c 100 to 249 employees"
"e 250 to 499 employees"
"f 500 to 999 employees"
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
