Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
Workers,"Commuting to Work","Mean travel time to work (minutes)",31.4,"(+/- 0.8 )",30.7,"(+/- 0.8 )",30.0,"(+/- 0.6 )",36.2,"(+/- 0.7 )",38.5,"(+/- 0.8 )",33.1,"(+/- 0.7 )",31.7,"(+/- 0.8 )",34.6,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",364053,"(+/- 7297 )",379272,"(+/- 11862 )",408160,"(+/- 11830 )",408307,"(+/- 9383 )",396662,"(+/- 10217 )",396177,"(+/- 8855 )",340919,"(+/- 9763 )",404632,"(+/- 9736 )"
Workers,Occupation,"Management, business, science, and arts occupations",147443,"(+/- 6775 )",154967,"(+/- 7647 )",216090,"(+/- 7472 )",164191,"(+/- 6539 )",179977,"(+/- 6188 )",182837,"(+/- 6730 )",156772,"(+/- 5833 )",219665,"(+/- 6838 )"
Workers,Occupation,"Service occupations",59200,"(+/- 4216 )",63202,"(+/- 5005 )",61228,"(+/- 5522 )",79733,"(+/- 5021 )",67400,"(+/- 5017 )",69377,"(+/- 5358 )",62812,"(+/- 5037 )",60772,"(+/- 4865 )"
Workers,Occupation,"Sales and office occupations",83057,"(+/- 4593 )",89215,"(+/- 6121 )",79179,"(+/- 5945 )",87812,"(+/- 4793 )",84420,"(+/- 4899 )",78816,"(+/- 5066 )",75344,"(+/- 4676 )",77198,"(+/- 5185 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",36605,"(+/- 2994 )",29476,"(+/- 2773 )",24501,"(+/- 3268 )",40040,"(+/- 3391 )",36215,"(+/- 3377 )",34011,"(+/- 3635 )",15903,"(+/- 2618 )",25960,"(+/- 2532 )"
Workers,Occupation,"Production, transportation, and material moving occupations",37748,"(+/- 2960 )",42412,"(+/- 3571 )",27162,"(+/- 3753 )",36531,"(+/- 3245 )",28650,"(+/- 2791 )",31136,"(+/- 3108 )",30088,"(+/- 3308 )",21037,"(+/- 2212 )"
Workers,Industry,"Civilian employed population 16 years and over",364053,"(+/- 7297 )",379272,"(+/- 11862 )",408160,"(+/- 11830 )",408307,"(+/- 9383 )",396662,"(+/- 10217 )",396177,"(+/- 8855 )",340919,"(+/- 9763 )",404632,"(+/- 9736 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",5732,"(+/- 1175 )",860,"(+/- 455 )",574,"(+/- 399 )",400,"(+/- 326 )",1372,"(+/- 698 )",2374,"(+/- 809 )",876,"(+/- 540 )",1365,"(+/- 434 )"
Workers,Industry,Construction,30869,"(+/- 2640 )",22995,"(+/- 2968 )",20123,"(+/- 2521 )",36880,"(+/- 3385 )",33364,"(+/- 3371 )",30875,"(+/- 3285 )",13668,"(+/- 1961 )",25894,"(+/- 2886 )"
Workers,Industry,Manufacturing,26067,"(+/- 2682 )",21358,"(+/- 2460 )",16574,"(+/- 2465 )",12053,"(+/- 2097 )",12125,"(+/- 1626 )",19059,"(+/- 1920 )",15286,"(+/- 2037 )",11942,"(+/- 1232 )"
Workers,Industry,"Wholesale trade",6921,"(+/- 1257 )",7568,"(+/- 1430 )",8106,"(+/- 1542 )",7475,"(+/- 1439 )",5427,"(+/- 1172 )",6086,"(+/- 1259 )",4869,"(+/- 975 )",5659,"(+/- 1278 )"
Workers,Industry,"Retail trade",37940,"(+/- 3865 )",41673,"(+/- 3572 )",38564,"(+/- 4110 )",35348,"(+/- 3647 )",31294,"(+/- 3014 )",37849,"(+/- 3434 )",31035,"(+/- 3218 )",32346,"(+/- 3082 )"
Workers,Industry,"Transportation and warehousing, and utilities",18520,"(+/- 2669 )",20353,"(+/- 2600 )",19414,"(+/- 2864 )",24955,"(+/- 2807 )",21349,"(+/- 2357 )",17841,"(+/- 2445 )",21366,"(+/- 2977 )",11856,"(+/- 2044 )"
Workers,Industry,Information,6665,"(+/- 1354 )",6897,"(+/- 1458 )",8798,"(+/- 1417 )",7717,"(+/- 1562 )",5201,"(+/- 1138 )",10834,"(+/- 1685 )",5765,"(+/- 1344 )",11270,"(+/- 1722 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",23860,"(+/- 2274 )",28042,"(+/- 3539 )",24105,"(+/- 2942 )",23817,"(+/- 2457 )",15885,"(+/- 2082 )",25797,"(+/- 2646 )",23087,"(+/- 2322 )",26382,"(+/- 2505 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",41115,"(+/- 3347 )",50290,"(+/- 3775 )",64094,"(+/- 3819 )",58565,"(+/- 4080 )",65047,"(+/- 4504 )",69587,"(+/- 3709 )",49873,"(+/- 3455 )",84942,"(+/- 4630 )"
Workers,Industry,"Educational services, and health care and social assistance",89807,"(+/- 4653 )",94407,"(+/- 5857 )",110378,"(+/- 5579 )",87172,"(+/- 4858 )",86653,"(+/- 4381 )",82969,"(+/- 4876 )",99200,"(+/- 5732 )",84499,"(+/- 3860 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",31190,"(+/- 3220 )",29656,"(+/- 3351 )",34720,"(+/- 3976 )",41634,"(+/- 3872 )",32284,"(+/- 3170 )",33786,"(+/- 3857 )",26981,"(+/- 3375 )",31035,"(+/- 3534 )"
Workers,Industry,"Other services, except public administration",17365,"(+/- 2199 )",17411,"(+/- 2135 )",23219,"(+/- 2756 )",21550,"(+/- 2221 )",19599,"(+/- 2554 )",22392,"(+/- 2373 )",17109,"(+/- 2083 )",30149,"(+/- 2697 )"
Workers,Industry,"Public administration",28002,"(+/- 2452 )",37762,"(+/- 4304 )",39491,"(+/- 3166 )",50741,"(+/- 4066 )",67062,"(+/- 4182 )",36728,"(+/- 3445 )",31804,"(+/- 2706 )",47293,"(+/- 3784 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",364053,"(+/- 7297 )",379272,"(+/- 11862 )",408160,"(+/- 11830 )",408307,"(+/- 9383 )",396662,"(+/- 10217 )",396177,"(+/- 8855 )",340919,"(+/- 9763 )",404632,"(+/- 9736 )"
Workers,"Class of Worker","Private wage and salary workers",272895,"(+/- 7099 )",290097,"(+/- 10453 )",312716,"(+/- 11567 )",296134,"(+/- 8229 )",262116,"(+/- 7571 )",295222,"(+/- 8669 )",254517,"(+/- 8364 )",290643,"(+/- 8449 )"
Workers,"Class of Worker","Government workers",68542,"(+/- 3438 )",70995,"(+/- 5843 )",75875,"(+/- 4014 )",92045,"(+/- 4860 )",117026,"(+/- 5376 )",78906,"(+/- 4598 )",69759,"(+/- 4478 )",89657,"(+/- 4461 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",22055,"(+/- 2342 )",17696,"(+/- 2729 )",19312,"(+/- 2020 )",19808,"(+/- 2956 )",17281,"(+/- 2691 )",21591,"(+/- 2179 )",16192,"(+/- 2433 )",23778,"(+/- 2387 )"
Workers,"Class of Worker","Unpaid family workers",561,"(+/- 335 )",484,"(+/- 373 )",257,"(+/- 218 )",320,"(+/- 312 )",239,"(+/- 183 )",458,"(+/- 305 )",451,"(+/- 364 )",554,"(+/- 277 )"
Housing,"Housing Occupancy","Total housing units",341183,"(+/- 3044 )",308007,"(+/- 5460 )",313684,"(+/- 5693 )",286735,"(+/- 4401 )",282683,"(+/- 4204 )",302546,"(+/- 3345 )",318853,"(+/- 5051 )",295432,"(+/- 3935 )"
Housing,"Housing Occupancy","Occupied housing units",270843,"(+/- 4609 )",284025,"(+/- 6019 )",291605,"(+/- 5766 )",268178,"(+/- 4686 )",261352,"(+/- 5029 )",278293,"(+/- 4082 )",271895,"(+/- 5378 )",281152,"(+/- 4169 )"
Housing,"Housing Occupancy","Vacant housing units",70340,"(+/- 3472 )",23982,"(+/- 2880 )",22079,"(+/- 2669 )",18557,"(+/- 2160 )",21331,"(+/- 2531 )",24253,"(+/- 2836 )",46958,"(+/- 3299 )",14280,"(+/- 1984 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.9,"(+/- 0.6 )",1.8,"(+/- 0.6 )",1.3,"(+/- 0.5 )",1.4,"(+/- 0.5 )",2.1,"(+/- 0.6 )",1.7,"(+/- 0.6 )",2.4,"(+/- 0.7 )",0.5,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.5,"(+/- 1.7 )",4.8,"(+/- 1.2 )",6.5,"(+/- 1.5 )",4.8,"(+/- 1.1 )",7.6,"(+/- 2.1 )",5.9,"(+/- 1.7 )",6.9,"(+/- 1.3 )",5.2,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",270843,"(+/- 4609 )",284025,"(+/- 6019 )",291605,"(+/- 5766 )",268178,"(+/- 4686 )",261352,"(+/- 5029 )",278293,"(+/- 4082 )",271895,"(+/- 5378 )",281152,"(+/- 4169 )"
Housing,"Housing Tenure",Owner-occupied,206004,"(+/- 4272 )",171840,"(+/- 5019 )",190665,"(+/- 5236 )",168647,"(+/- 4269 )",199596,"(+/- 5352 )",188526,"(+/- 4232 )",157625,"(+/- 4447 )",189597,"(+/- 4460 )"
Housing,"Housing Tenure",Renter-occupied,64839,"(+/- 2914 )",112185,"(+/- 5279 )",100940,"(+/- 4917 )",99531,"(+/- 4206 )",61756,"(+/- 3716 )",89767,"(+/- 4202 )",114270,"(+/- 4497 )",91555,"(+/- 3641 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.67,"(+/- 0.05 )",2.68,"(+/- 0.06 )",2.70,"(+/- 0.06 )",2.89,"(+/- 0.06 )",2.86,"(+/- 0.04 )",2.81,"(+/- 0.05 )",2.73,"(+/- 0.06 )",2.74,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.57,"(+/- 0.10 )",2.50,"(+/- 0.08 )",2.32,"(+/- 0.11 )",2.70,"(+/- 0.07 )",2.87,"(+/- 0.12 )",2.52,"(+/- 0.09 )",2.30,"(+/- 0.08 )",2.51,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",270843,"(+/- 4609 )",284025,"(+/- 6019 )",291605,"(+/- 5766 )",268178,"(+/- 4686 )",261352,"(+/- 5029 )",278293,"(+/- 4082 )",271895,"(+/- 5378 )",281152,"(+/- 4169 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",56812,"(+/- 3542 )",84104,"(+/- 4413 )",82614,"(+/- 4569 )",75088,"(+/- 4188 )",63500,"(+/- 3982 )",77013,"(+/- 4223 )",74478,"(+/- 4097 )",75315,"(+/- 3598 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",50715,"(+/- 3102 )",62186,"(+/- 4130 )",62430,"(+/- 3768 )",55871,"(+/- 3524 )",50580,"(+/- 3249 )",55311,"(+/- 2750 )",58309,"(+/- 3513 )",54700,"(+/- 3506 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",75283,"(+/- 2815 )",67302,"(+/- 4301 )",72242,"(+/- 4299 )",63916,"(+/- 3536 )",74027,"(+/- 2970 )",73930,"(+/- 3506 )",60345,"(+/- 3371 )",67442,"(+/- 3897 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",42635,"(+/- 2790 )",35238,"(+/- 2970 )",36560,"(+/- 3093 )",34619,"(+/- 2361 )",37056,"(+/- 2058 )",38293,"(+/- 2069 )",35597,"(+/- 2560 )",43691,"(+/- 2837 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",23123,"(+/- 1652 )",17850,"(+/- 1866 )",20409,"(+/- 1967 )",19895,"(+/- 1531 )",18895,"(+/- 1681 )",17053,"(+/- 1654 )",18832,"(+/- 1906 )",20242,"(+/- 1715 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",22275,"(+/- 1796 )",17345,"(+/- 1826 )",17350,"(+/- 1833 )",18789,"(+/- 1640 )",17294,"(+/- 1525 )",16693,"(+/- 1631 )",24334,"(+/- 1817 )",19762,"(+/- 1803 )"
Housing,Value,"Owner-occupied units",206004,"(+/- 4272 )",171840,"(+/- 5019 )",190665,"(+/- 5236 )",168647,"(+/- 4269 )",199596,"(+/- 5352 )",188526,"(+/- 4232 )",157625,"(+/- 4447 )",189597,"(+/- 4460 )"
Housing,Value,"Less than $50,000",6872,"(+/- 1231 )",5502,"(+/- 1065 )",3412,"(+/- 891 )",3195,"(+/- 735 )",5932,"(+/- 1217 )",5223,"(+/- 1116 )",7452,"(+/- 1116 )",2363,"(+/- 624 )"
Housing,Value,"$50,000 to $99,999",9174,"(+/- 1202 )",11203,"(+/- 1507 )",4700,"(+/- 923 )",4175,"(+/- 1065 )",1949,"(+/- 730 )",10703,"(+/- 1184 )",16495,"(+/- 1728 )",2017,"(+/- 623 )"
Housing,Value,"$100,000 to $149,999",15762,"(+/- 1785 )",21827,"(+/- 2269 )",9298,"(+/- 1193 )",7260,"(+/- 907 )",5277,"(+/- 1084 )",12600,"(+/- 1477 )",17195,"(+/- 2027 )",4532,"(+/- 1035 )"
Housing,Value,"$150,000 to $199,999",27697,"(+/- 2018 )",26814,"(+/- 2379 )",18208,"(+/- 2216 )",14320,"(+/- 1758 )",11922,"(+/- 1832 )",18666,"(+/- 1849 )",17865,"(+/- 2097 )",7710,"(+/- 1283 )"
Housing,Value,"$200,000 to $299,999",58742,"(+/- 3271 )",51818,"(+/- 3496 )",46957,"(+/- 3067 )",48536,"(+/- 2989 )",57326,"(+/- 2476 )",41707,"(+/- 2980 )",30664,"(+/- 2509 )",26011,"(+/- 2161 )"
Housing,Value,"$300,000 to $499,999",60163,"(+/- 2816 )",45824,"(+/- 3054 )",64876,"(+/- 3713 )",62398,"(+/- 3277 )",89310,"(+/- 4107 )",53661,"(+/- 2854 )",33234,"(+/- 2229 )",70832,"(+/- 3266 )"
Housing,Value,"$500,000 to $999,999",23113,"(+/- 2227 )",7931,"(+/- 1264 )",36921,"(+/- 2244 )",25497,"(+/- 2390 )",25525,"(+/- 2545 )",39093,"(+/- 2193 )",32237,"(+/- 2128 )",57130,"(+/- 2502 )"
Housing,Value,"$1,000,000 or more",4481,"(+/- 705 )",921,"(+/- 430 )",6293,"(+/- 1037 )",3266,"(+/- 673 )",2355,"(+/- 733 )",6873,"(+/- 1001 )",2483,"(+/- 661 )",19002,"(+/- 1324 )"
Housing,Value,"Median (dollars)",272200,"(+/- 4348 )",238500,"(+/- 5187 )",331600,"(+/- 6628 )",316700,"(+/- 6469 )",330200,"(+/- 3767 )",317500,"(+/- 9568 )",261300,"(+/- 8212 )",444000,"(+/- 6467 )"
Housing,"Mortgage Status","Owner-occupied units",206004,"(+/- 4272 )",171840,"(+/- 5019 )",190665,"(+/- 5236 )",168647,"(+/- 4269 )",199596,"(+/- 5352 )",188526,"(+/- 4232 )",157625,"(+/- 4447 )",189597,"(+/- 4460 )"
Housing,"Mortgage Status","Housing units with a mortgage",137903,"(+/- 4678 )",126333,"(+/- 4669 )",141438,"(+/- 5147 )",132884,"(+/- 3898 )",156560,"(+/- 5279 )",133360,"(+/- 4441 )",107515,"(+/- 4520 )",137040,"(+/- 4564 )"
Housing,"Mortgage Status","Housing units without a mortgage",68101,"(+/- 3086 )",45507,"(+/- 3072 )",49227,"(+/- 2427 )",35763,"(+/- 2617 )",43036,"(+/- 2607 )",55166,"(+/- 2699 )",50110,"(+/- 3069 )",52557,"(+/- 3007 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",137903,"(+/- 4678 )",126333,"(+/- 4669 )",141438,"(+/- 5147 )",132884,"(+/- 3898 )",156560,"(+/- 5279 )",133360,"(+/- 4441 )",107515,"(+/- 4520 )",137040,"(+/- 4564 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1053,"(+/- 409 )",1148,"(+/- 453 )",648,"(+/- 319 )",374,"(+/- 302 )",648,"(+/- 341 )",641,"(+/- 336 )",952,"(+/- 366 )",574,"(+/- 246 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",16115,"(+/- 1860 )",15979,"(+/- 1945 )",8152,"(+/- 1421 )",7545,"(+/- 1254 )",8575,"(+/- 1382 )",13930,"(+/- 1618 )",13573,"(+/- 1782 )",4793,"(+/- 979 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",34910,"(+/- 2548 )",36944,"(+/- 2850 )",28302,"(+/- 2509 )",24058,"(+/- 2323 )",22757,"(+/- 1924 )",25658,"(+/- 2681 )",26660,"(+/- 2260 )",16507,"(+/- 1859 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",35504,"(+/- 2671 )",36934,"(+/- 3360 )",36510,"(+/- 2956 )",39076,"(+/- 3133 )",41061,"(+/- 3256 )",31062,"(+/- 2859 )",22790,"(+/- 1983 )",27272,"(+/- 1958 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",22455,"(+/- 2339 )",19810,"(+/- 2529 )",26539,"(+/- 2827 )",27331,"(+/- 2111 )",36756,"(+/- 2483 )",21641,"(+/- 2556 )",17325,"(+/- 2198 )",26926,"(+/- 2446 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",13525,"(+/- 1278 )",9357,"(+/- 1513 )",16186,"(+/- 2070 )",15808,"(+/- 2075 )",23524,"(+/- 2423 )",16729,"(+/- 2010 )",9427,"(+/- 1363 )",19168,"(+/- 1749 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",14341,"(+/- 1867 )",6161,"(+/- 1216 )",25101,"(+/- 2313 )",18692,"(+/- 2206 )",23239,"(+/- 2305 )",23699,"(+/- 2056 )",16788,"(+/- 1678 )",41800,"(+/- 2815 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1712,"(+/- 32 )",1610,"(+/- 33 )",1956,"(+/- 37 )",1939,"(+/- 33 )",2071,"(+/- 34 )",1920,"(+/- 49 )",1757,"(+/- 55 )",2360,"(+/- 40 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",68101,"(+/- 3086 )",45507,"(+/- 3072 )",49227,"(+/- 2427 )",35763,"(+/- 2617 )",43036,"(+/- 2607 )",55166,"(+/- 2699 )",50110,"(+/- 3069 )",52557,"(+/- 3007 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",1919,"(+/- 665 )",1812,"(+/- 653 )",2431,"(+/- 803 )",970,"(+/- 409 )",1254,"(+/- 530 )",3265,"(+/- 902 )",3055,"(+/- 750 )",1385,"(+/- 438 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",11022,"(+/- 1287 )",8238,"(+/- 1200 )",5789,"(+/- 955 )",3253,"(+/- 825 )",4334,"(+/- 1007 )",11331,"(+/- 1325 )",7391,"(+/- 1367 )",4122,"(+/- 890 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",26301,"(+/- 1513 )",18847,"(+/- 2011 )",12820,"(+/- 1226 )",10829,"(+/- 1514 )",15957,"(+/- 1448 )",17546,"(+/- 1629 )",15789,"(+/- 1872 )",13472,"(+/- 1543 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",17086,"(+/- 1926 )",10663,"(+/- 1667 )",12774,"(+/- 1629 )",12922,"(+/- 1693 )",12421,"(+/- 1755 )",9103,"(+/- 1384 )",12239,"(+/- 1853 )",11335,"(+/- 1372 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6318,"(+/- 1128 )",3489,"(+/- 820 )",7266,"(+/- 1095 )",4751,"(+/- 998 )",5748,"(+/- 1135 )",6985,"(+/- 1049 )",5499,"(+/- 1028 )",8482,"(+/- 1177 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",5455,"(+/- 909 )",2458,"(+/- 705 )",8147,"(+/- 1113 )",3038,"(+/- 778 )",3322,"(+/- 753 )",6936,"(+/- 957 )",6137,"(+/- 1171 )",13761,"(+/- 1502 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",561,"(+/- 11 )",536,"(+/- 15 )",654,"(+/- 16 )",635,"(+/- 16 )",600,"(+/- 19 )",541,"(+/- 20 )",586,"(+/- 20 )",726,"(+/- 25 )"
Housing,"Gross Rent","Occupied units paying rent",60378,"(+/- 2782 )",109610,"(+/- 5128 )",98769,"(+/- 4878 )",96451,"(+/- 4156 )",59674,"(+/- 3702 )",86053,"(+/- 4225 )",109942,"(+/- 4412 )",88828,"(+/- 3571 )"
Housing,"Gross Rent","Less than $500",6265,"(+/- 1245 )",6785,"(+/- 1439 )",7043,"(+/- 1476 )",3024,"(+/- 814 )",2795,"(+/- 761 )",8121,"(+/- 1399 )",17424,"(+/- 1925 )",3593,"(+/- 1114 )"
Housing,"Gross Rent","$500 to $999",22388,"(+/- 2258 )",24283,"(+/- 2608 )",12497,"(+/- 2063 )",7528,"(+/- 1264 )",8219,"(+/- 1593 )",19587,"(+/- 2115 )",26819,"(+/- 2676 )",8277,"(+/- 1188 )"
Housing,"Gross Rent","$1,000 to $1,499",21196,"(+/- 2347 )",47952,"(+/- 3291 )",32068,"(+/- 2558 )",47438,"(+/- 3456 )",16084,"(+/- 2126 )",25287,"(+/- 2734 )",42471,"(+/- 3408 )",22904,"(+/- 2338 )"
Housing,"Gross Rent","$1,500 to $1,999",6847,"(+/- 1430 )",21519,"(+/- 2614 )",29670,"(+/- 3058 )",27539,"(+/- 3114 )",19931,"(+/- 2674 )",21015,"(+/- 2104 )",17430,"(+/- 2407 )",30444,"(+/- 3229 )"
Housing,"Gross Rent","$2,000 to $2,499",2561,"(+/- 868 )",7033,"(+/- 1360 )",11680,"(+/- 2056 )",8208,"(+/- 1612 )",8358,"(+/- 1471 )",8066,"(+/- 1552 )",3494,"(+/- 1067 )",13775,"(+/- 1729 )"
Housing,"Gross Rent","$2,500 to $2,999",449,"(+/- 339 )",1387,"(+/- 616 )",3234,"(+/- 900 )",2252,"(+/- 800 )",3237,"(+/- 856 )",3045,"(+/- 827 )",1433,"(+/- 591 )",4677,"(+/- 1047 )"
Housing,"Gross Rent","$3,000 or more",672,"(+/- 361 )",651,"(+/- 374 )",2577,"(+/- 816 )",462,"(+/- 204 )",1050,"(+/- 526 )",932,"(+/- 418 )",871,"(+/- 443 )",5158,"(+/- 957 )"
Housing,"Gross Rent","Median (dollars)",1030,"(+/- 35 )",1216,"(+/- 24 )",1467,"(+/- 40 )",1412,"(+/- 20 )",1569,"(+/- 48 )",1323,"(+/- 33 )",1118,"(+/- 30 )",1658,"(+/- 32 )"
Housing,"Gross Rent","No rent paid",4461,"(+/- 913 )",2575,"(+/- 828 )",2171,"(+/- 823 )",3080,"(+/- 773 )",2082,"(+/- 719 )",3714,"(+/- 932 )",4328,"(+/- 1197 )",2727,"(+/- 718 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",270843,"(+/- 4609 )",284025,"(+/- 6019 )",291605,"(+/- 5766 )",268178,"(+/- 4686 )",261352,"(+/- 5029 )",278293,"(+/- 4082 )",271895,"(+/- 5378 )",281152,"(+/- 4169 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",9578,"(+/- 1527 )",15791,"(+/- 2465 )",12762,"(+/- 1760 )",10088,"(+/- 1520 )",8587,"(+/- 1533 )",12480,"(+/- 1771 )",27358,"(+/- 3036 )",8729,"(+/- 1289 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",8272,"(+/- 1409 )",9969,"(+/- 1572 )",7729,"(+/- 1270 )",6986,"(+/- 1408 )",3941,"(+/- 960 )",9293,"(+/- 1670 )",12376,"(+/- 1821 )",4705,"(+/- 1082 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",22077,"(+/- 2771 )",19810,"(+/- 2386 )",15619,"(+/- 2217 )",13474,"(+/- 1400 )",10444,"(+/- 1673 )",19549,"(+/- 2175 )",21552,"(+/- 2185 )",12690,"(+/- 1756 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",21892,"(+/- 2308 )",22907,"(+/- 2537 )",19704,"(+/- 2485 )",17048,"(+/- 2238 )",13281,"(+/- 1799 )",18588,"(+/- 2048 )",21712,"(+/- 2319 )",14929,"(+/- 1972 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",30924,"(+/- 2891 )",35811,"(+/- 3132 )",26360,"(+/- 2915 )",28646,"(+/- 2602 )",22016,"(+/- 2246 )",27301,"(+/- 2129 )",33217,"(+/- 2622 )",22253,"(+/- 2186 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",45103,"(+/- 2908 )",49630,"(+/- 3122 )",43357,"(+/- 3029 )",46766,"(+/- 3181 )",42044,"(+/- 2675 )",45928,"(+/- 3670 )",42244,"(+/- 2915 )",38364,"(+/- 2768 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",35148,"(+/- 2377 )",39688,"(+/- 3000 )",37780,"(+/- 3438 )",38692,"(+/- 3052 )",35306,"(+/- 2699 )",34342,"(+/- 2939 )",28948,"(+/- 2738 )",36951,"(+/- 2660 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",50411,"(+/- 3120 )",54775,"(+/- 3646 )",56075,"(+/- 3889 )",54297,"(+/- 3351 )",57706,"(+/- 3493 )",49314,"(+/- 2958 )",38771,"(+/- 2909 )",53937,"(+/- 2634 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",23759,"(+/- 2265 )",21123,"(+/- 2470 )",34960,"(+/- 2568 )",25819,"(+/- 2306 )",33954,"(+/- 2567 )",28941,"(+/- 2356 )",20222,"(+/- 2105 )",33414,"(+/- 2408 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",23679,"(+/- 2127 )",14521,"(+/- 1777 )",37259,"(+/- 2817 )",26362,"(+/- 2317 )",34073,"(+/- 2546 )",32557,"(+/- 2510 )",25495,"(+/- 1864 )",55180,"(+/- 2750 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",73206,"(+/- 2567 )",68204,"(+/- 2696 )",87732,"(+/- 3150 )",81151,"(+/- 1862 )",96325,"(+/- 2312 )",79247,"(+/- 2829 )",60929,"(+/- 2286 )",100953,"(+/- 1898 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",97425,"(+/- 3025 )",84502,"(+/- 2605 )",113868,"(+/- 3098 )",101140,"(+/- 2620 )",115058,"(+/- 2991 )",106037,"(+/- 3222 )",90007,"(+/- 2451 )",139739,"(+/- 3209 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",723725,"(+/- 8819 )",743461,"(+/- 19269 )",757472,"(+/- 21819 )",753917,"(+/- 13274 )",756789,"(+/- 12933 )",761503,"(+/- 11524 )",707791,"(+/- 15178 )",753213,"(+/- 14356 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",689060,"(+/- 9533 )",699982,"(+/- 19440 )",713056,"(+/- 19518 )",686416,"(+/- 14036 )",708412,"(+/- 12922 )",712414,"(+/- 11792 )",674999,"(+/- 14522 )",707935,"(+/- 13128 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",541265,"(+/- 10278 )",516230,"(+/- 18318 )",590262,"(+/- 17451 )",540857,"(+/- 13890 )",597498,"(+/- 12664 )",569070,"(+/- 13109 )",476021,"(+/- 14065 )",596596,"(+/- 13744 )"
