Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Workers,Industry,"Transportation and warehousing, and utilities",20750,"(+/- 2888 )",14871,"(+/- 1697 )",16354,"(+/- 2523 )",19814,"(+/- 2568 )",15501,"(+/- 1900 )",23946,"(+/- 2399 )",24551,"(+/- 2645 )"
Workers,Industry,Information,16128,"(+/- 2127 )",11766,"(+/- 1415 )",4912,"(+/- 1194 )",10050,"(+/- 1413 )",8098,"(+/- 1508 )",16123,"(+/- 1783 )",9962,"(+/- 1598 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",44005,"(+/- 3914 )",26531,"(+/- 2719 )",19068,"(+/- 2753 )",28438,"(+/- 2644 )",24222,"(+/- 2982 )",39911,"(+/- 2584 )",27077,"(+/- 2890 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",80130,"(+/- 4733 )",66520,"(+/- 3951 )",33333,"(+/- 3115 )",52660,"(+/- 3875 )",47926,"(+/- 3671 )",63281,"(+/- 3598 )",58594,"(+/- 3807 )"
Workers,Industry,"Educational services, and health care and social assistance",94330,"(+/- 5025 )",101722,"(+/- 5578 )",79636,"(+/- 3955 )",79959,"(+/- 4225 )",80917,"(+/- 4098 )",86113,"(+/- 4203 )",79141,"(+/- 4136 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",53166,"(+/- 3874 )",50825,"(+/- 4493 )",47387,"(+/- 3318 )",34042,"(+/- 3022 )",41888,"(+/- 4437 )",43744,"(+/- 3991 )",44577,"(+/- 3537 )"
Workers,Industry,"Other services, except public administration",22178,"(+/- 2698 )",19253,"(+/- 2424 )",14869,"(+/- 1903 )",18822,"(+/- 2007 )",20503,"(+/- 2434 )",22790,"(+/- 2539 )",21587,"(+/- 2553 )"
Workers,Industry,"Public administration",19562,"(+/- 2098 )",19132,"(+/- 2165 )",19473,"(+/- 2559 )",19624,"(+/- 1745 )",24363,"(+/- 2628 )",16557,"(+/- 2360 )",22415,"(+/- 2769 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",472153,"(+/- 6057 )",436457,"(+/- 6303 )",353056,"(+/- 6338 )",413355,"(+/- 6366 )",360364,"(+/- 7468 )",434186,"(+/- 6410 )",430355,"(+/- 6852 )"
Workers,"Class of Worker","Private wage and salary workers",393755,"(+/- 6961 )",345723,"(+/- 6827 )",266254,"(+/- 7023 )",332180,"(+/- 7299 )",280970,"(+/- 7162 )",360548,"(+/- 6594 )",352446,"(+/- 7862 )"
Workers,"Class of Worker","Government workers",53228,"(+/- 3896 )",61927,"(+/- 4056 )",56838,"(+/- 3996 )",53659,"(+/- 3479 )",58699,"(+/- 3614 )",49739,"(+/- 3685 )",52771,"(+/- 4199 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",24340,"(+/- 2795 )",28381,"(+/- 2593 )",28400,"(+/- 2574 )",26483,"(+/- 2182 )",19750,"(+/- 2370 )",23551,"(+/- 2473 )",24768,"(+/- 2819 )"
Workers,"Class of Worker","Unpaid family workers",830,"(+/- 457 )",426,"(+/- 205 )",1564,"(+/- 843 )",1033,"(+/- 525 )",945,"(+/- 525 )",348,"(+/- 253 )",370,"(+/- 429 )"
Housing,"Housing Occupancy","Total housing units",373376,"(+/- 2299 )",381482,"(+/- 3953 )",371093,"(+/- 3336 )",318045,"(+/- 2802 )",326449,"(+/- 1891 )",303826,"(+/- 3201 )",311224,"(+/- 2583 )"
Housing,"Housing Occupancy","Occupied housing units",347044,"(+/- 3699 )",315832,"(+/- 4108 )",292491,"(+/- 4636 )",295268,"(+/- 3568 )",297598,"(+/- 3089 )",291946,"(+/- 3734 )",299028,"(+/- 2982 )"
Housing,"Housing Occupancy","Vacant housing units",26332,"(+/- 3340 )",65650,"(+/- 3644 )",78602,"(+/- 4530 )",22777,"(+/- 2790 )",28851,"(+/- 2644 )",11880,"(+/- 1891 )",12196,"(+/- 2185 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.0,"(+/- 0.5 )",0.7,"(+/- 0.3 )",2.0,"(+/- 0.7 )",1.3,"(+/- 0.4 )",0.7,"(+/- 0.4 )",0.6,"(+/- 0.3 )",0.8,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.4,"(+/- 1.3 )",4.3,"(+/- 1.1 )",7.7,"(+/- 1.5 )",6.5,"(+/- 1.6 )",2.4,"(+/- 0.9 )",4.2,"(+/- 1.3 )",5.9,"(+/- 1.5 )"
Housing,"Housing Tenure","Occupied housing units",347044,"(+/- 3699 )",315832,"(+/- 4108 )",292491,"(+/- 4636 )",295268,"(+/- 3568 )",297598,"(+/- 3089 )",291946,"(+/- 3734 )",299028,"(+/- 2982 )"
Housing,"Housing Tenure",Owner-occupied,183519,"(+/- 4639 )",213547,"(+/- 4303 )",199273,"(+/- 4517 )",211236,"(+/- 4280 )",193905,"(+/- 4132 )",195723,"(+/- 4198 )",197621,"(+/- 4500 )"
Housing,"Housing Tenure",Renter-occupied,163525,"(+/- 5125 )",102285,"(+/- 4328 )",93218,"(+/- 4163 )",84032,"(+/- 4156 )",103693,"(+/- 3736 )",96223,"(+/- 3877 )",101407,"(+/- 4244 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.47,"(+/- 0.05 )",2.49,"(+/- 0.04 )",2.51,"(+/- 0.05 )",2.78,"(+/- 0.04 )",2.66,"(+/- 0.04 )",2.86,"(+/- 0.04 )",2.73,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.19,"(+/- 0.04 )",2.40,"(+/- 0.07 )",2.49,"(+/- 0.08 )",2.53,"(+/- 0.08 )",2.45,"(+/- 0.06 )",2.58,"(+/- 0.08 )",2.46,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",347044,"(+/- 3699 )",315832,"(+/- 4108 )",292491,"(+/- 4636 )",295268,"(+/- 3568 )",297598,"(+/- 3089 )",291946,"(+/- 3734 )",299028,"(+/- 2982 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",137976,"(+/- 4135 )",107610,"(+/- 4807 )",85337,"(+/- 3705 )",94533,"(+/- 3369 )",108396,"(+/- 4319 )",94918,"(+/- 4199 )",97886,"(+/- 3839 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",87918,"(+/- 4181 )",72513,"(+/- 3939 )",63283,"(+/- 3810 )",68650,"(+/- 3309 )",69038,"(+/- 3717 )",75994,"(+/- 3734 )",69058,"(+/- 3881 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",61907,"(+/- 3552 )",70254,"(+/- 3952 )",75297,"(+/- 4026 )",77508,"(+/- 3475 )",62477,"(+/- 2868 )",69781,"(+/- 3557 )",65795,"(+/- 2992 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",30059,"(+/- 2040 )",39010,"(+/- 2741 )",37899,"(+/- 3259 )",30530,"(+/- 2214 )",33184,"(+/- 2313 )",32718,"(+/- 2280 )",35112,"(+/- 2402 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",15406,"(+/- 1567 )",16611,"(+/- 2100 )",16562,"(+/- 1704 )",11775,"(+/- 1394 )",13735,"(+/- 1781 )",10601,"(+/- 1246 )",15383,"(+/- 1946 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",13778,"(+/- 1429 )",9834,"(+/- 1299 )",14113,"(+/- 1413 )",12272,"(+/- 1312 )",10768,"(+/- 1323 )",7934,"(+/- 945 )",15794,"(+/- 1502 )"
Housing,Value,"Owner-occupied units",183519,"(+/- 4639 )",213547,"(+/- 4303 )",199273,"(+/- 4517 )",211236,"(+/- 4280 )",193905,"(+/- 4132 )",195723,"(+/- 4198 )",197621,"(+/- 4500 )"
Housing,Value,"Less than $50,000",2808,"(+/- 897 )",6299,"(+/- 1491 )",10843,"(+/- 1335 )",9617,"(+/- 1260 )",6462,"(+/- 1224 )",3177,"(+/- 802 )",8059,"(+/- 1277 )"
Housing,Value,"$50,000 to $99,999",2355,"(+/- 850 )",2302,"(+/- 733 )",17196,"(+/- 1911 )",9923,"(+/- 1430 )",4743,"(+/- 898 )",2793,"(+/- 788 )",2858,"(+/- 807 )"
Housing,Value,"$100,000 to $149,999",4389,"(+/- 973 )",2672,"(+/- 800 )",21809,"(+/- 2136 )",11610,"(+/- 1536 )",13467,"(+/- 1818 )",2976,"(+/- 765 )",3211,"(+/- 742 )"
Housing,Value,"$150,000 to $199,999",8158,"(+/- 1483 )",7126,"(+/- 1494 )",31139,"(+/- 2356 )",14298,"(+/- 1709 )",27476,"(+/- 2092 )",8232,"(+/- 1067 )",9093,"(+/- 1322 )"
Housing,Value,"$200,000 to $299,999",36135,"(+/- 2626 )",30391,"(+/- 2675 )",41550,"(+/- 3131 )",41958,"(+/- 3095 )",60747,"(+/- 3324 )",38463,"(+/- 2974 )",43572,"(+/- 2150 )"
Housing,Value,"$300,000 to $499,999",71058,"(+/- 3529 )",81172,"(+/- 3352 )",41107,"(+/- 3005 )",79062,"(+/- 2661 )",59672,"(+/- 2895 )",92779,"(+/- 3435 )",97864,"(+/- 3775 )"
Housing,Value,"$500,000 to $999,999",47654,"(+/- 3054 )",69461,"(+/- 3160 )",28842,"(+/- 2730 )",39272,"(+/- 2462 )",19236,"(+/- 1695 )",41437,"(+/- 2385 )",31586,"(+/- 2285 )"
Housing,Value,"$1,000,000 or more",10962,"(+/- 1458 )",14124,"(+/- 1394 )",6787,"(+/- 1096 )",5496,"(+/- 898 )",2102,"(+/- 575 )",5866,"(+/- 872 )",1378,"(+/- 494 )"
Housing,Value,"Median (dollars)",394400,"(+/- 6062 )",436300,"(+/- 7656 )",237500,"(+/- 5999 )",341400,"(+/- 5690 )",271900,"(+/- 4777 )",383700,"(+/- 4880 )",351600,"(+/- 3212 )"
Housing,"Mortgage Status","Owner-occupied units",183519,"(+/- 4639 )",213547,"(+/- 4303 )",199273,"(+/- 4517 )",211236,"(+/- 4280 )",193905,"(+/- 4132 )",195723,"(+/- 4198 )",197621,"(+/- 4500 )"
Housing,"Mortgage Status","Housing units with a mortgage",139368,"(+/- 4316 )",148656,"(+/- 4794 )",124474,"(+/- 4525 )",148135,"(+/- 3773 )",141491,"(+/- 4519 )",150769,"(+/- 3722 )",141516,"(+/- 4456 )"
Housing,"Mortgage Status","Housing units without a mortgage",44151,"(+/- 2772 )",64891,"(+/- 3320 )",74799,"(+/- 3482 )",63101,"(+/- 3118 )",52414,"(+/- 3361 )",44954,"(+/- 2688 )",56105,"(+/- 2990 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",139368,"(+/- 4316 )",148656,"(+/- 4794 )",124474,"(+/- 4525 )",148135,"(+/- 3773 )",141491,"(+/- 4519 )",150769,"(+/- 3722 )",141516,"(+/- 4456 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1550,"(+/- 789 )",1385,"(+/- 862 )",2534,"(+/- 788 )",1610,"(+/- 546 )",1792,"(+/- 577 )",1099,"(+/- 585 )",1139,"(+/- 411 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",14202,"(+/- 1625 )",10720,"(+/- 1265 )",29355,"(+/- 2209 )",15169,"(+/- 1565 )",19641,"(+/- 2081 )",11812,"(+/- 1458 )",11456,"(+/- 1326 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",35090,"(+/- 2730 )",30992,"(+/- 2729 )",41352,"(+/- 2868 )",36046,"(+/- 2722 )",49620,"(+/- 3151 )",34319,"(+/- 2388 )",39401,"(+/- 3111 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",35934,"(+/- 2643 )",39741,"(+/- 2779 )",24719,"(+/- 2244 )",40068,"(+/- 2641 )",38075,"(+/- 2871 )",43677,"(+/- 2800 )",47696,"(+/- 2800 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",22005,"(+/- 1895 )",28218,"(+/- 2608 )",14860,"(+/- 1812 )",26473,"(+/- 2000 )",17736,"(+/- 1975 )",30142,"(+/- 2497 )",22274,"(+/- 2219 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",14449,"(+/- 2052 )",17179,"(+/- 1838 )",5978,"(+/- 1161 )",14378,"(+/- 1588 )",7726,"(+/- 1335 )",16050,"(+/- 1679 )",13033,"(+/- 1840 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",16138,"(+/- 1592 )",20421,"(+/- 2380 )",5676,"(+/- 1027 )",14391,"(+/- 1740 )",6901,"(+/- 1257 )",13670,"(+/- 1273 )",6517,"(+/- 1153 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1746,"(+/- 36 )",1878,"(+/- 36 )",1351,"(+/- 33 )",1757,"(+/- 32 )",1497,"(+/- 28 )",1821,"(+/- 27 )",1681,"(+/- 24 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",44151,"(+/- 2772 )",64891,"(+/- 3320 )",74799,"(+/- 3482 )",63101,"(+/- 3118 )",52414,"(+/- 3361 )",44954,"(+/- 2688 )",56105,"(+/- 2990 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",3823,"(+/- 977 )",3942,"(+/- 796 )",14825,"(+/- 1404 )",8481,"(+/- 1144 )",7361,"(+/- 1295 )",2481,"(+/- 648 )",4849,"(+/- 952 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",11140,"(+/- 1404 )",15951,"(+/- 1887 )",28006,"(+/- 2198 )",16624,"(+/- 1715 )",17890,"(+/- 2003 )",9108,"(+/- 1233 )",13686,"(+/- 1565 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",14885,"(+/- 1700 )",22792,"(+/- 2111 )",19640,"(+/- 1911 )",20942,"(+/- 1873 )",17247,"(+/- 1874 )",18001,"(+/- 1819 )",21565,"(+/- 2017 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",7211,"(+/- 1332 )",11197,"(+/- 1333 )",8830,"(+/- 1567 )",11211,"(+/- 1485 )",6584,"(+/- 1234 )",9537,"(+/- 1322 )",8363,"(+/- 1369 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",2776,"(+/- 751 )",6175,"(+/- 1047 )",1744,"(+/- 726 )",3445,"(+/- 645 )",2144,"(+/- 634 )",3195,"(+/- 785 )",5180,"(+/- 1302 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",4316,"(+/- 907 )",4834,"(+/- 1216 )",1754,"(+/- 732 )",2398,"(+/- 707 )",1188,"(+/- 447 )",2632,"(+/- 676 )",2462,"(+/- 835 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",480,"(+/- 16 )",505,"(+/- 17 )",372,"(+/- 9 )",451,"(+/- 11 )",409,"(+/- 15 )",519,"(+/- 15 )",478,"(+/- 14 )"
Housing,"Gross Rent","Occupied units paying rent",159229,"(+/- 5243 )",98560,"(+/- 4241 )",86336,"(+/- 4113 )",79138,"(+/- 4148 )",101386,"(+/- 3688 )",93852,"(+/- 3810 )",99488,"(+/- 4149 )"
Housing,"Gross Rent","Less than $500",11376,"(+/- 1594 )",4837,"(+/- 980 )",12109,"(+/- 1529 )",7772,"(+/- 1427 )",4874,"(+/- 1314 )",3181,"(+/- 958 )",2867,"(+/- 866 )"
Housing,"Gross Rent","$500 to $999",31753,"(+/- 3235 )",16974,"(+/- 2078 )",39334,"(+/- 3388 )",27244,"(+/- 2492 )",36513,"(+/- 2890 )",13832,"(+/- 1629 )",19888,"(+/- 2186 )"
Housing,"Gross Rent","$1,000 to $1,499",61126,"(+/- 3472 )",35044,"(+/- 2709 )",24559,"(+/- 2590 )",23868,"(+/- 2527 )",36635,"(+/- 2886 )",37812,"(+/- 2608 )",42519,"(+/- 3021 )"
Housing,"Gross Rent","$1,500 to $1,999",34285,"(+/- 2886 )",25036,"(+/- 2793 )",7154,"(+/- 1272 )",14197,"(+/- 2065 )",18829,"(+/- 2418 )",24523,"(+/- 2702 )",23691,"(+/- 2842 )"
Housing,"Gross Rent","$2,000 to $2,499",13612,"(+/- 1924 )",9338,"(+/- 1220 )",1701,"(+/- 734 )",3614,"(+/- 1072 )",2635,"(+/- 710 )",9708,"(+/- 1720 )",7925,"(+/- 1500 )"
Housing,"Gross Rent","$2,500 to $2,999",4791,"(+/- 1330 )",3394,"(+/- 1039 )",942,"(+/- 511 )",1430,"(+/- 572 )",1214,"(+/- 649 )",3321,"(+/- 1026 )",1265,"(+/- 582 )"
Housing,"Gross Rent","$3,000 or more",2286,"(+/- 878 )",3937,"(+/- 1009 )",537,"(+/- 348 )",1013,"(+/- 463 )",686,"(+/- 470 )",1475,"(+/- 573 )",1333,"(+/- 671 )"
Housing,"Gross Rent","Median (dollars)",1291,"(+/- 28 )",1398,"(+/- 30 )",890,"(+/- 32 )",1096,"(+/- 42 )",1120,"(+/- 34 )",1397,"(+/- 26 )",1343,"(+/- 23 )"
Housing,"Gross Rent","No rent paid",4296,"(+/- 1131 )",3725,"(+/- 1091 )",6882,"(+/- 1170 )",4894,"(+/- 1032 )",2307,"(+/- 730 )",2371,"(+/- 650 )",1919,"(+/- 631 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",347044,"(+/- 3699 )",315832,"(+/- 4108 )",292491,"(+/- 4636 )",295268,"(+/- 3568 )",297598,"(+/- 3089 )",291946,"(+/- 3734 )",299028,"(+/- 2982 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",21298,"(+/- 2504 )",15767,"(+/- 1979 )",19298,"(+/- 2030 )",15814,"(+/- 1713 )",14516,"(+/- 2020 )",10206,"(+/- 1728 )",13235,"(+/- 2020 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",10960,"(+/- 1661 )",9061,"(+/- 1364 )",15949,"(+/- 1646 )",8547,"(+/- 1300 )",12118,"(+/- 1536 )",6680,"(+/- 1074 )",8546,"(+/- 1509 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",23357,"(+/- 2449 )",22032,"(+/- 2467 )",29303,"(+/- 2598 )",18696,"(+/- 2069 )",21563,"(+/- 2474 )",13578,"(+/- 1767 )",20614,"(+/- 2521 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",25285,"(+/- 2492 )",22466,"(+/- 2481 )",29418,"(+/- 2195 )",22920,"(+/- 2335 )",25802,"(+/- 2612 )",17289,"(+/- 1929 )",23831,"(+/- 2231 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",45137,"(+/- 3539 )",32521,"(+/- 3031 )",43785,"(+/- 3449 )",33810,"(+/- 2629 )",39719,"(+/- 3163 )",35525,"(+/- 2808 )",37373,"(+/- 2987 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",61015,"(+/- 3925 )",47809,"(+/- 3085 )",58196,"(+/- 3861 )",50081,"(+/- 3210 )",57967,"(+/- 3921 )",52445,"(+/- 3074 )",55841,"(+/- 3658 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",45825,"(+/- 3623 )",40433,"(+/- 2778 )",34896,"(+/- 2588 )",42986,"(+/- 2860 )",40071,"(+/- 2765 )",41925,"(+/- 3118 )",44394,"(+/- 3375 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",53231,"(+/- 3062 )",60829,"(+/- 3282 )",35781,"(+/- 2446 )",54508,"(+/- 2659 )",50207,"(+/- 3715 )",58761,"(+/- 2975 )",54828,"(+/- 2572 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",28457,"(+/- 2756 )",29526,"(+/- 1984 )",14826,"(+/- 1850 )",22667,"(+/- 2124 )",19794,"(+/- 1885 )",25753,"(+/- 2371 )",22445,"(+/- 2055 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",32479,"(+/- 2333 )",35388,"(+/- 2633 )",11039,"(+/- 1469 )",25239,"(+/- 1949 )",15841,"(+/- 1668 )",29784,"(+/- 1879 )",17921,"(+/- 2072 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",67441,"(+/- 2433 )",80019,"(+/- 2390 )",52765,"(+/- 1319 )",73735,"(+/- 1923 )",64179,"(+/- 1624 )",80606,"(+/- 1535 )",70574,"(+/- 1762 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",97436,"(+/- 2743 )",106596,"(+/- 2922 )",71537,"(+/- 2317 )",95679,"(+/- 2287 )",81964,"(+/- 1722 )",105414,"(+/- 2752 )",86873,"(+/- 2345 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",820892,"(+/- 4672 )",794613,"(+/- 6924 )",740410,"(+/- 5150 )",805639,"(+/- 5933 )",753658,"(+/- 4241 )",806746,"(+/- 7428 )",792112,"(+/- 6028 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",747797,"(+/- 7422 )",748629,"(+/- 8223 )",669045,"(+/- 7102 )",753090,"(+/- 7635 )",699773,"(+/- 6806 )",750030,"(+/- 8491 )",731629,"(+/- 7258 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",550227,"(+/- 10779 )",622989,"(+/- 10580 )",435960,"(+/- 10437 )",577184,"(+/- 8885 )",523751,"(+/- 11050 )",597454,"(+/- 9962 )",554768,"(+/- 10774 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",265060,"(+/- 8739 )",212477,"(+/- 8496 )",325409,"(+/- 9283 )",260676,"(+/- 7923 )",278180,"(+/- 9518 )",229165,"(+/- 7833 )",261318,"(+/- 10722 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",73095,"(+/- 5773 )",45984,"(+/- 5508 )",71365,"(+/- 5005 )",52549,"(+/- 4401 )",53885,"(+/- 5601 )",56716,"(+/- 5199 )",60483,"(+/- 5394 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",174248,"(+/- 3051 )",163114,"(+/- 4299 )",175482,"(+/- 3274 )",219005,"(+/- 4465 )",197561,"(+/- 1907 )",213334,"(+/- 4684 )",191491,"(+/- 4407 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",8049,"(+/- 1973 )",8107,"(+/- 2345 )",9895,"(+/- 2037 )",8724,"(+/- 2000 )",7473,"(+/- 1682 )",7250,"(+/- 1633 )",7985,"(+/- 2043 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",7.9,"(+/- 1.0 )",4.3,"(+/- 0.8 )",9.8,"(+/- 1.1 )",5.9,"(+/- 0.8 )",8.1,"(+/- 1.1 )",5.0,"(+/- 0.7 )",6.4,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",12.6,"(+/- 1.9 )",6.7,"(+/- 1.5 )",16.3,"(+/- 2.2 )",8.4,"(+/- 1.5 )",11.5,"(+/- 1.8 )",6.6,"(+/- 1.3 )",10.2,"(+/- 1.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",13.4,"(+/- 5.0 )",6.7,"(+/- 4.1 )",18.0,"(+/- 5.7 )",9.2,"(+/- 3.8 )",9.5,"(+/- 3.7 )",4.2,"(+/- 2.2 )",11.4,"(+/- 4.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.1,"(+/- 0.8 )",2.2,"(+/- 0.5 )",5.6,"(+/- 1.0 )",3.4,"(+/- 0.8 )",4.1,"(+/- 0.9 )",2.7,"(+/- 0.6 )",3.5,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",5.9,"(+/- 1.7 )",2.9,"(+/- 1.0 )",8.3,"(+/- 2.1 )",4.5,"(+/- 1.4 )",5.1,"(+/- 1.6 )",3.2,"(+/- 0.8 )",5.1,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.5,"(+/- 3.2 )",2.9,"(+/- 2.6 )",8.5,"(+/- 5.1 )",4.8,"(+/- 2.8 )",3.7,"(+/- 2.7 )",2.5,"(+/- 1.9 )",4.4,"(+/- 3.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",24.9,"(+/- 4.5 )",16.2,"(+/- 4.4 )",30.6,"(+/- 4.7 )",22.6,"(+/- 3.7 )",25.7,"(+/- 4.8 )",14.9,"(+/- 3.2 )",17.2,"(+/- 3.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",35.6,"(+/- 6.3 )",23.5,"(+/- 6.7 )",40.4,"(+/- 6.0 )",27.2,"(+/- 5.1 )",30.8,"(+/- 6.3 )",19.6,"(+/- 4.9 )",24.2,"(+/- 5.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",65.4,"(+/- 16.8 )",21.4,"(+/- 18.6 )",52.6,"(+/- 16.6 )",39.3,"(+/- 16.8 )",40.0,"(+/- 21.3 )",14.1,"(+/- 12.1 )",34.1,"(+/- 16.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",11.3,"(+/- 0.9 )",10.7,"(+/- 0.8 )",13.7,"(+/- 1.1 )",8.8,"(+/- 0.9 )",10.8,"(+/- 1.0 )",7.5,"(+/- 0.9 )",9.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",15.9,"(+/- 2.6 )",8.6,"(+/- 1.9 )",16.5,"(+/- 2.2 )",9.7,"(+/- 1.9 )",14.2,"(+/- 2.2 )",8.2,"(+/- 1.7 )",12.0,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",15.5,"(+/- 2.6 )",8.3,"(+/- 1.9 )",16.1,"(+/- 2.2 )",9.3,"(+/- 1.9 )",14.0,"(+/- 2.2 )",8.0,"(+/- 1.7 )",11.8,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",16.0,"(+/- 4.1 )",9.4,"(+/- 3.7 )",20.8,"(+/- 3.8 )",10.6,"(+/- 2.7 )",13.1,"(+/- 3.5 )",9.8,"(+/- 3.2 )",13.7,"(+/- 4.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",15.2,"(+/- 3.0 )",7.9,"(+/- 1.9 )",14.6,"(+/- 2.3 )",8.9,"(+/- 2.1 )",14.4,"(+/- 2.6 )",7.5,"(+/- 1.5 )",11.1,"(+/- 2.3 )"
