Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.9,"(+/- 1.0 )",2.6,"(+/- 0.6 )",3.5,"(+/- 0.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",5.7,"(+/- 1.7 )",3.7,"(+/- 1.1 )",5.0,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",6.3,"(+/- 4.8 )",1.2,"(+/- 1.2 )",5.1,"(+/- 4.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",25.0,"(+/- 4.4 )",25.0,"(+/- 4.9 )",33.3,"(+/- 5.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",33.1,"(+/- 5.7 )",31.9,"(+/- 6.6 )",38.8,"(+/- 6.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",49.6,"(+/- 14.6 )",20.9,"(+/- 11.6 )",47.7,"(+/- 16.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.6,"(+/- 0.9 )",10.2,"(+/- 1.1 )",11.6,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.4,"(+/- 1.7 )",14.0,"(+/- 2.1 )",16.1,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",11.9,"(+/- 1.7 )",13.5,"(+/- 2.1 )",15.7,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",15.3,"(+/- 3.4 )",13.0,"(+/- 2.2 )",18.3,"(+/- 3.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",10.5,"(+/- 1.8 )",13.7,"(+/- 2.4 )",14.7,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.0,"(+/- 0.8 )",8.8,"(+/- 0.8 )",10.2,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.4,"(+/- 1.2 )",7.5,"(+/- 1.6 )",7.6,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",7.5,"(+/- 1.1 )",7.8,"(+/- 1.2 )",8.7,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",22.4,"(+/- 1.5 )",19.9,"(+/- 1.8 )",23.2,"(+/- 1.9 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",179078,"(+/- 3980 )",180521,"(+/- 3973 )",147689,"(+/- 3396 )"
Education,"School Enrollment","Nursery school, preschool",11970,"(+/- 1483 )",12130,"(+/- 1363 )",11989,"(+/- 1251 )"
Education,"School Enrollment",Kindergarten,8348,"(+/- 1332 )",9246,"(+/- 1252 )",8574,"(+/- 920 )"
Education,"School Enrollment","Elementary school (grades 1-8)",68006,"(+/- 1890 )",75422,"(+/- 2308 )",65671,"(+/- 2133 )"
Education,"School Enrollment","High school (grades 9-12)",34359,"(+/- 1795 )",36606,"(+/- 1914 )",30610,"(+/- 1602 )"
Education,"School Enrollment","College or graduate school",56395,"(+/- 3069 )",47117,"(+/- 3004 )",30845,"(+/- 2164 )"
Education,"Educational Attainment","Population 25 years and over",415093,"(+/- 3740 )",436178,"(+/- 1955 )",407983,"(+/- 2740 )"
Education,"Educational Attainment","Less than 9th grade",13826,"(+/- 1987 )",17231,"(+/- 2427 )",17698,"(+/- 1823 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",17259,"(+/- 2209 )",20805,"(+/- 2320 )",22604,"(+/- 2353 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",107833,"(+/- 4445 )",91003,"(+/- 3956 )",132245,"(+/- 4095 )"
Education,"Educational Attainment","Some college, no degree",94222,"(+/- 4001 )",98201,"(+/- 3891 )",99000,"(+/- 3599 )"
Education,"Educational Attainment","Associate's degree",49541,"(+/- 2666 )",34558,"(+/- 2620 )",44448,"(+/- 2395 )"
Education,"Educational Attainment","Bachelor's degree",87515,"(+/- 3949 )",112528,"(+/- 4412 )",63287,"(+/- 3000 )"
Education,"Educational Attainment","Graduate or professional degree",44897,"(+/- 2805 )",61852,"(+/- 3515 )",28701,"(+/- 2204 )"
Education,"Educational Attainment","Percent high school graduate or higher",92.5,"(+/- 0.7 )",91.3,"(+/- 0.7 )",90.1,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",31.9,"(+/- 1.1 )",40.0,"(+/- 1.1 )",22.5,"(+/- 0.8 )"

"Source: 2017 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",241684,G,347534,G,209352,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",141,H,42,H,1035,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",507,G,112,J,530,G
Business,"Paid employees for pay period including March 12",Utilities,170,H,263,J,504,J
Business,"Paid employees for pay period including March 12",Construction,14836,G,19654,G,11398,G
Business,"Paid employees for pay period including March 12",Manufacturing,33032,G,22140,G,36812,G
Business,"Paid employees for pay period including March 12","Wholesale trade",10024,G,17565,G,13562,G
Business,"Paid employees for pay period including March 12","Retail trade",34746,G,42947,G,35021,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",7712,G,12252,G,10539,G
Business,"Paid employees for pay period including March 12",Information,6022,G,9920,G,3085,H
Business,"Paid employees for pay period including March 12","Finance and insurance",13750,G,38752,H,9758,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",2985,G,6704,G,1550,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",13010,G,21717,G,5198,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",3207,H,15979,G,2527,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",11294,G,25105,G,6034,G
Business,"Paid employees for pay period including March 12","Educational services",6922,G,9403,H,2622,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",41621,G,51700,G,36292,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",4356,G,7059,G,2837,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",25310,G,31799,G,20275,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",12016,G,14393,G,9724,G
Business,"Paid employees for pay period including March 12","Industries not classified",23,J,28,J,49,J
Business,"Annual payroll ($1,000)","Total for all sectors",9547757,G,16978160,G,7355813,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",9026,H,1682,H,51405,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",32971,G,5984,H,27713,G
Business,"Annual payroll ($1,000)",Utilities,15529,G,43262,J,36576,H
Business,"Annual payroll ($1,000)",Construction,713837,G,1082873,G,491659,G
Business,"Annual payroll ($1,000)",Manufacturing,1708943,G,1088271,G,1614624,G
Business,"Annual payroll ($1,000)","Wholesale trade",528392,G,1203236,G,632947,G
Business,"Annual payroll ($1,000)","Retail trade",895964,G,1154714,G,850207,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",360725,G,556413,G,431069,G
Business,"Annual payroll ($1,000)",Information,326294,G,688841,G,111735,G
Business,"Annual payroll ($1,000)","Finance and insurance",921912,G,3134342,H,456841,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",106714,G,308143,G,48815,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",768118,G,1427802,G,209270,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",239963,H,1299816,G,178314,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",321000,G,853433,G,180085,G
Business,"Annual payroll ($1,000)","Educational services",161108,G,302087,H,53846,G
Business,"Annual payroll ($1,000)","Health care and social assistance",1694405,G,2739377,H,1435849,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",62997,G,130278,G,44069,G
Business,"Annual payroll ($1,000)","Accommodation and food services",349449,G,521948,G,273112,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",329928,G,435010,G,226746,G
Business,"Annual payroll ($1,000)","Industries not classified",482,G,648,G,931,G
Business,"Total Establishments","Total for all sectors",16883,X,18147,X,18881,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",44,X,12,X,139,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",24,X,9,X,85,X
Business,"Total Establishments",Utilities,17,X,14,X,89,X
Business,"Total Establishments",Construction,2156,X,2042,X,2155,X
Business,"Total Establishments",Manufacturing,579,X,453,X,740,X
Business,"Total Establishments","Wholesale trade",809,X,1040,X,1282,X
Business,"Total Establishments","Retail trade",2176,X,2056,X,3019,X
Business,"Total Establishments","Transportation and warehousing",727,X,524,X,1162,X
Business,"Total Establishments",Information,246,X,311,X,333,X
Business,"Total Establishments","Finance and insurance",1292,X,1473,X,1466,X
Business,"Total Establishments","Real estate and rental and leasing",716,X,984,X,544,X
Business,"Total Establishments","Professional, scientific, and technical services",1493,X,2037,X,1096,X
Business,"Total Establishments","Management of companies and enterprises",94,X,203,X,72,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",896,X,1127,X,629,X
Business,"Total Establishments","Educational services",195,X,228,X,131,X
Business,"Total Establishments","Health care and social assistance",1805,X,2097,X,1771,X
Business,"Total Establishments","Arts, entertainment, and recreation",280,X,306,X,321,X
Business,"Total Establishments","Accommodation and food services",1407,X,1519,X,1567,X
Business,"Total Establishments","Other services (except public administration)",1902,X,1687,X,2236,X
Business,"Total Establishments","Industries not classified",25,X,25,X,44,X

"Source: 2016 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
"a 0 to 19 employees"
"b 20 to 99 employees"
"c 100 to 249 employees"
"e 250 to 499 employees"
"f 500 to 999 employees"
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
