Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.4,"(+/- 0.5 )",1.6,"(+/- 0.5 )",2.1,"(+/- 0.7 )",1.7,"(+/- 0.6 )",1.5,"(+/- 0.5 )",1.3,"(+/- 0.7 )"
Housing,"Housing Occupancy","Rental vacancy rate",7.6,"(+/- 1.9 )",8.4,"(+/- 1.2 )",10.3,"(+/- 1.7 )",9.2,"(+/- 1.5 )",8.8,"(+/- 1.6 )",8.1,"(+/- 2.1 )"
Housing,"Housing Tenure","Occupied housing units",303983,"(+/- 5130 )",293971,"(+/- 5004 )",290886,"(+/- 4762 )",287975,"(+/- 4790 )",266365,"(+/- 5187 )",293943,"(+/- 5774 )"
Housing,"Housing Tenure",Owner-occupied,210005,"(+/- 5494 )",160851,"(+/- 4384 )",199136,"(+/- 5390 )",178687,"(+/- 4567 )",173555,"(+/- 5221 )",209995,"(+/- 6073 )"
Housing,"Housing Tenure",Renter-occupied,93978,"(+/- 5663 )",133120,"(+/- 4462 )",91750,"(+/- 4174 )",109288,"(+/- 4551 )",92810,"(+/- 3903 )",83948,"(+/- 5226 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.66,"(+/- 0.04 )",2.71,"(+/- 0.08 )",2.78,"(+/- 0.06 )",2.58,"(+/- 0.05 )",2.60,"(+/- 0.05 )",2.75,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.52,"(+/- 0.09 )",2.56,"(+/- 0.08 )",2.41,"(+/- 0.10 )",2.48,"(+/- 0.08 )",2.58,"(+/- 0.08 )",2.48,"(+/- 0.11 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",303983,"(+/- 5130 )",293971,"(+/- 5004 )",290886,"(+/- 4762 )",287975,"(+/- 4790 )",266365,"(+/- 5187 )",293943,"(+/- 5774 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",79847,"(+/- 5081 )",81589,"(+/- 4548 )",71973,"(+/- 4058 )",79351,"(+/- 4665 )",62748,"(+/- 3707 )",82156,"(+/- 5177 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",65619,"(+/- 4108 )",62904,"(+/- 3774 )",64500,"(+/- 3945 )",60764,"(+/- 3677 )",56701,"(+/- 3995 )",52900,"(+/- 4220 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",73501,"(+/- 4142 )",66919,"(+/- 3850 )",74237,"(+/- 4289 )",67140,"(+/- 4157 )",66424,"(+/- 4417 )",78989,"(+/- 4787 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",37340,"(+/- 2981 )",33438,"(+/- 2707 )",34321,"(+/- 2530 )",37857,"(+/- 2620 )",34972,"(+/- 2546 )",39540,"(+/- 3153 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",20996,"(+/- 2230 )",20069,"(+/- 2133 )",16197,"(+/- 1926 )",18398,"(+/- 2156 )",17802,"(+/- 1953 )",17984,"(+/- 2163 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",26680,"(+/- 2381 )",29052,"(+/- 2422 )",29658,"(+/- 2329 )",24465,"(+/- 1946 )",27718,"(+/- 2284 )",22374,"(+/- 2068 )"
Housing,Value,"Owner-occupied units",210005,"(+/- 5494 )",160851,"(+/- 4384 )",199136,"(+/- 5390 )",178687,"(+/- 4567 )",173555,"(+/- 5221 )",209995,"(+/- 6073 )"
Housing,Value,"Less than $50,000",12130,"(+/- 1814 )",11982,"(+/- 1631 )",26402,"(+/- 3106 )",28007,"(+/- 2416 )",33162,"(+/- 2542 )",19247,"(+/- 2524 )"
Housing,Value,"$50,000 to $99,999",18750,"(+/- 1929 )",28434,"(+/- 2406 )",31186,"(+/- 3216 )",40947,"(+/- 2695 )",42464,"(+/- 3265 )",22047,"(+/- 2751 )"
Housing,Value,"$100,000 to $149,999",32225,"(+/- 3043 )",33085,"(+/- 2492 )",34169,"(+/- 3014 )",31832,"(+/- 2590 )",29228,"(+/- 2614 )",28485,"(+/- 2897 )"
Housing,Value,"$150,000 to $199,999",40340,"(+/- 3016 )",34023,"(+/- 2517 )",40521,"(+/- 3380 )",30385,"(+/- 2416 )",24837,"(+/- 2591 )",43539,"(+/- 4166 )"
Housing,Value,"$200,000 to $299,999",55993,"(+/- 3561 )",27038,"(+/- 2227 )",39341,"(+/- 3065 )",28153,"(+/- 2292 )",25091,"(+/- 2047 )",58621,"(+/- 3665 )"
Housing,Value,"$300,000 to $499,999",33203,"(+/- 2226 )",17108,"(+/- 1836 )",20993,"(+/- 2706 )",13567,"(+/- 1799 )",14234,"(+/- 2020 )",27631,"(+/- 3004 )"
Housing,Value,"$500,000 to $999,999",14606,"(+/- 2001 )",7005,"(+/- 1149 )",5433,"(+/- 1296 )",3896,"(+/- 1039 )",3903,"(+/- 970 )",8579,"(+/- 1493 )"
Housing,Value,"$1,000,000 or more",2758,"(+/- 590 )",2176,"(+/- 546 )",1091,"(+/- 451 )",1900,"(+/- 655 )",636,"(+/- 416 )",1846,"(+/- 786 )"
Housing,Value,"Median (dollars)",202500,"(+/- 5189 )",158100,"(+/- 3039 )",158700,"(+/- 4101 )",130000,"(+/- 4990 )",115400,"(+/- 4529 )",189000,"(+/- 5506 )"
Housing,"Mortgage Status","Owner-occupied units",210005,"(+/- 5494 )",160851,"(+/- 4384 )",199136,"(+/- 5390 )",178687,"(+/- 4567 )",173555,"(+/- 5221 )",209995,"(+/- 6073 )"
Housing,"Mortgage Status","Housing units with a mortgage",118551,"(+/- 5243 )",86351,"(+/- 3686 )",104002,"(+/- 5389 )",86484,"(+/- 4238 )",75284,"(+/- 4132 )",125873,"(+/- 5327 )"
Housing,"Mortgage Status","Housing units without a mortgage",91454,"(+/- 4093 )",74500,"(+/- 3611 )",95134,"(+/- 4325 )",92203,"(+/- 3646 )",98271,"(+/- 3897 )",84122,"(+/- 4142 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",118551,"(+/- 5243 )",86351,"(+/- 3686 )",104002,"(+/- 5389 )",86484,"(+/- 4238 )",75284,"(+/- 4132 )",125873,"(+/- 5327 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",3004,"(+/- 1081 )",2212,"(+/- 713 )",2251,"(+/- 687 )",3553,"(+/- 890 )",2655,"(+/- 741 )",3242,"(+/- 1155 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",23854,"(+/- 2170 )",23462,"(+/- 2294 )",35981,"(+/- 3358 )",36025,"(+/- 3473 )",34897,"(+/- 3090 )",29800,"(+/- 3237 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",37321,"(+/- 3119 )",31881,"(+/- 2735 )",35716,"(+/- 3138 )",28964,"(+/- 2768 )",21574,"(+/- 2316 )",45082,"(+/- 3653 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",27099,"(+/- 2392 )",15511,"(+/- 1855 )",18693,"(+/- 2291 )",10443,"(+/- 1473 )",9581,"(+/- 1628 )",25939,"(+/- 3204 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",13469,"(+/- 2030 )",6568,"(+/- 1056 )",6827,"(+/- 1447 )",5060,"(+/- 1369 )",3583,"(+/- 1014 )",12841,"(+/- 2375 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",6145,"(+/- 1239 )",2948,"(+/- 824 )",2754,"(+/- 904 )",1567,"(+/- 613 )",1943,"(+/- 847 )",4807,"(+/- 1176 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",7659,"(+/- 1053 )",3769,"(+/- 785 )",1780,"(+/- 775 )",872,"(+/- 477 )",1051,"(+/- 448 )",4162,"(+/- 964 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1434,"(+/- 32 )",1243,"(+/- 31 )",1206,"(+/- 37 )",1057,"(+/- 40 )",1002,"(+/- 33 )",1338,"(+/- 36 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",91454,"(+/- 4093 )",74500,"(+/- 3611 )",95134,"(+/- 4325 )",92203,"(+/- 3646 )",98271,"(+/- 3897 )",84122,"(+/- 4142 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",23417,"(+/- 2619 )",19775,"(+/- 2161 )",30068,"(+/- 3006 )",33892,"(+/- 2484 )",39178,"(+/- 2888 )",25987,"(+/- 2681 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",22195,"(+/- 2160 )",23494,"(+/- 2332 )",35263,"(+/- 3128 )",35065,"(+/- 2671 )",35798,"(+/- 2520 )",27132,"(+/- 2739 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",22684,"(+/- 2024 )",18447,"(+/- 1941 )",20351,"(+/- 2204 )",14663,"(+/- 1632 )",16327,"(+/- 1775 )",21297,"(+/- 2324 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",12616,"(+/- 1918 )",6545,"(+/- 1196 )",6663,"(+/- 1280 )",5188,"(+/- 1285 )",4437,"(+/- 895 )",6839,"(+/- 1581 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5055,"(+/- 847 )",3159,"(+/- 824 )",1749,"(+/- 613 )",1557,"(+/- 587 )",1494,"(+/- 699 )",1646,"(+/- 526 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",5487,"(+/- 1041 )",3080,"(+/- 604 )",1040,"(+/- 484 )",1838,"(+/- 797 )",1037,"(+/- 518 )",1221,"(+/- 560 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",402,"(+/- 17 )",355,"(+/- 15 )",322,"(+/- 12 )",296,"(+/- 8 )",285,"(+/- 8 )",343,"(+/- 12 )"
Housing,"Gross Rent","Occupied units paying rent",86514,"(+/- 5737 )",126144,"(+/- 4209 )",77933,"(+/- 4065 )",95853,"(+/- 4395 )",77851,"(+/- 3500 )",74759,"(+/- 5497 )"
Housing,"Gross Rent","Less than $500",5663,"(+/- 1459 )",17554,"(+/- 1943 )",14968,"(+/- 2474 )",22097,"(+/- 2668 )",18111,"(+/- 2202 )",6322,"(+/- 1472 )"
Housing,"Gross Rent","$500 to $999",42555,"(+/- 3808 )",60716,"(+/- 4147 )",45868,"(+/- 3699 )",54429,"(+/- 3506 )",47744,"(+/- 3970 )",38783,"(+/- 3855 )"
Housing,"Gross Rent","$1,000 to $1,499",28900,"(+/- 3397 )",36682,"(+/- 2887 )",13402,"(+/- 2316 )",15751,"(+/- 2222 )",10395,"(+/- 1674 )",23067,"(+/- 3480 )"
Housing,"Gross Rent","$1,500 to $1,999",7097,"(+/- 1539 )",9377,"(+/- 1588 )",2333,"(+/- 949 )",2968,"(+/- 1126 )",957,"(+/- 495 )",4168,"(+/- 1192 )"
Housing,"Gross Rent","$2,000 to $2,499",1802,"(+/- 796 )",1157,"(+/- 364 )",1026,"(+/- 571 )",366,"(+/- 312 )",120,"(+/- 196 )",1286,"(+/- 693 )"
Housing,"Gross Rent","$2,500 to $2,999",401,"(+/- 270 )",463,"(+/- 230 )",284,"(+/- 453 )",242,"(+/- 243 )",474,"(+/- 298 )",154,"(+/- 238 )"
Housing,"Gross Rent","$3,000 or more",96,"(+/- 85 )",195,"(+/- 134 )",52,"(+/- 116 )",0,"(+/- 214 )",50,"(+/- 81 )",979,"(+/- 605 )"
Housing,"Gross Rent","Median (dollars)",958,"(+/- 22 )",904,"(+/- 21 )",761,"(+/- 27 )",738,"(+/- 20 )",691,"(+/- 22 )",920,"(+/- 27 )"
Housing,"Gross Rent","No rent paid",7464,"(+/- 1624 )",6976,"(+/- 1177 )",13817,"(+/- 1575 )",13435,"(+/- 1656 )",14959,"(+/- 1879 )",9189,"(+/- 1949 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",303983,"(+/- 5130 )",293971,"(+/- 5004 )",290886,"(+/- 4762 )",287975,"(+/- 4790 )",266365,"(+/- 5187 )",293943,"(+/- 5774 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",20950,"(+/- 2644 )",42270,"(+/- 3080 )",25704,"(+/- 2693 )",34897,"(+/- 2784 )",34917,"(+/- 3037 )",20508,"(+/- 2766 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",15680,"(+/- 2272 )",24566,"(+/- 2699 )",19302,"(+/- 2625 )",20534,"(+/- 2281 )",19766,"(+/- 2387 )",13442,"(+/- 2347 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",30609,"(+/- 3054 )",39594,"(+/- 2989 )",34041,"(+/- 3519 )",46061,"(+/- 3654 )",38008,"(+/- 2889 )",28833,"(+/- 3181 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",27131,"(+/- 2500 )",35135,"(+/- 2603 )",34094,"(+/- 3561 )",35404,"(+/- 2895 )",32512,"(+/- 2794 )",26003,"(+/- 3180 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",35847,"(+/- 2917 )",35948,"(+/- 2545 )",38018,"(+/- 3349 )",39701,"(+/- 3157 )",38200,"(+/- 3154 )",32858,"(+/- 3292 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",54239,"(+/- 3660 )",46499,"(+/- 3344 )",50626,"(+/- 3369 )",42984,"(+/- 3159 )",41535,"(+/- 2898 )",48820,"(+/- 3287 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",36323,"(+/- 2853 )",26927,"(+/- 2559 )",30246,"(+/- 2805 )",27359,"(+/- 2911 )",21873,"(+/- 2171 )",37955,"(+/- 3398 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",45625,"(+/- 2780 )",25330,"(+/- 2046 )",35194,"(+/- 3405 )",26343,"(+/- 2428 )",24826,"(+/- 2434 )",50092,"(+/- 3490 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",19092,"(+/- 2110 )",9702,"(+/- 1471 )",12177,"(+/- 1751 )",6443,"(+/- 1307 )",8022,"(+/- 1461 )",18696,"(+/- 2409 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",18487,"(+/- 1706 )",8000,"(+/- 1272 )",11484,"(+/- 1775 )",8249,"(+/- 1437 )",6706,"(+/- 1416 )",16736,"(+/- 2337 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",58199,"(+/- 2472 )",37340,"(+/- 1750 )",47741,"(+/- 1719 )",37102,"(+/- 1362 )",37415,"(+/- 1492 )",62374,"(+/- 1990 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",80274,"(+/- 2062 )",56160,"(+/- 1994 )",65680,"(+/- 2343 )",55563,"(+/- 1862 )",55686,"(+/- 2276 )",80437,"(+/- 2673 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",801992,"(+/- 11949 )",783134,"(+/- 13283 )",780149,"(+/- 2943 )",725609,"(+/- 5497 )",698972,"(+/- 8283 )",790402,"(+/- 12121 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",731012,"(+/- 12506 )",707703,"(+/- 13800 )",708808,"(+/- 7306 )",671010,"(+/- 6828 )",642201,"(+/- 9763 )",736875,"(+/- 11845 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",515962,"(+/- 11463 )",394570,"(+/- 11386 )",469192,"(+/- 12721 )",427764,"(+/- 9731 )",385961,"(+/- 13434 )",566633,"(+/- 13782 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",304786,"(+/- 10554 )",392153,"(+/- 14523 )",323980,"(+/- 10238 )",338955,"(+/- 8870 )",338808,"(+/- 11169 )",253680,"(+/- 11854 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",70980,"(+/- 4993 )",75431,"(+/- 5511 )",71341,"(+/- 6577 )",54599,"(+/- 3933 )",56771,"(+/- 4521 )",53527,"(+/- 5558 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",197375,"(+/- 6081 )",191904,"(+/- 7508 )",209915,"(+/- 2560 )",188886,"(+/- 2813 )",189421,"(+/- 3943 )",197699,"(+/- 5986 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6378,"(+/- 1689 )",7104,"(+/- 2137 )",8912,"(+/- 2972 )",3250,"(+/- 1268 )",4400,"(+/- 1235 )",6023,"(+/- 1821 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",10.7,"(+/- 1.3 )",20.8,"(+/- 1.6 )",13.5,"(+/- 1.3 )",17.5,"(+/- 1.7 )",19.2,"(+/- 1.8 )",8.4,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",16.5,"(+/- 2.5 )",33.4,"(+/- 2.8 )",20.9,"(+/- 2.2 )",28.7,"(+/- 2.8 )",30.0,"(+/- 2.9 )",13.8,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",18.8,"(+/- 5.2 )",33.6,"(+/- 7.0 )",16.7,"(+/- 5.1 )",27.4,"(+/- 6.5 )",30.2,"(+/- 7.9 )",12.9,"(+/- 4.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.4,"(+/- 1.0 )",9.2,"(+/- 1.5 )",6.2,"(+/- 1.1 )",6.9,"(+/- 1.3 )",8.3,"(+/- 1.4 )",2.7,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",6.4,"(+/- 2.1 )",13.3,"(+/- 3.3 )",8.5,"(+/- 2.2 )",9.4,"(+/- 2.3 )",11.6,"(+/- 2.8 )",4.1,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",6.8,"(+/- 3.8 )",14.3,"(+/- 8.8 )",5.0,"(+/- 3.5 )",12.8,"(+/- 5.4 )",10.0,"(+/- 5.3 )",3.9,"(+/- 3.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",30.7,"(+/- 4.9 )",36.2,"(+/- 3.2 )",35.6,"(+/- 4.3 )",42.8,"(+/- 3.9 )",45.2,"(+/- 4.0 )",26.3,"(+/- 4.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",38.3,"(+/- 6.4 )",48.4,"(+/- 4.1 )",44.9,"(+/- 5.2 )",56.4,"(+/- 5.3 )",54.6,"(+/- 5.1 )",36.9,"(+/- 6.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",60.0,"(+/- 15.9 )",47.3,"(+/- 11.2 )",44.3,"(+/- 14.5 )",57.9,"(+/- 17.8 )",61.3,"(+/- 14.1 )",36.2,"(+/- 15.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",14.2,"(+/- 1.3 )",27.1,"(+/- 1.5 )",17.7,"(+/- 1.3 )",23.2,"(+/- 1.6 )",25.1,"(+/- 1.7 )",12.3,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",18.5,"(+/- 2.7 )",42.0,"(+/- 3.3 )",24.6,"(+/- 3.0 )",33.9,"(+/- 3.4 )",35.5,"(+/- 3.1 )",14.8,"(+/- 3.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",18.5,"(+/- 2.7 )",41.9,"(+/- 3.3 )",24.4,"(+/- 3.0 )",33.4,"(+/- 3.4 )",35.2,"(+/- 3.1 )",14.6,"(+/- 3.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",22.8,"(+/- 4.5 )",48.8,"(+/- 5.6 )",25.4,"(+/- 4.8 )",37.9,"(+/- 4.8 )",46.1,"(+/- 5.5 )",14.0,"(+/- 3.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",16.8,"(+/- 3.0 )",39.1,"(+/- 3.4 )",24.0,"(+/- 3.2 )",31.6,"(+/- 3.8 )",31.4,"(+/- 3.1 )",14.8,"(+/- 3.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",12.8,"(+/- 1.1 )",22.6,"(+/- 1.3 )",15.4,"(+/- 1.1 )",19.8,"(+/- 1.3 )",21.6,"(+/- 1.5 )",11.5,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",8.8,"(+/- 1.3 )",18.3,"(+/- 1.9 )",11.6,"(+/- 1.9 )",11.5,"(+/- 1.6 )",14.7,"(+/- 1.7 )",7.0,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",11.6,"(+/- 1.5 )",25.0,"(+/- 1.7 )",15.1,"(+/- 1.5 )",20.0,"(+/- 1.8 )",22.4,"(+/- 1.9 )",8.8,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",25.8,"(+/- 2.1 )",34.3,"(+/- 2.1 )",28.5,"(+/- 2.5 )",36.7,"(+/- 2.3 )",37.3,"(+/- 2.5 )",28.3,"(+/- 2.3 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",202647,"(+/- 7090 )",200709,"(+/- 7659 )",198810,"(+/- 5111 )",180664,"(+/- 5531 )",183629,"(+/- 5215 )",209789,"(+/- 6987 )"
Education,"School Enrollment","Nursery school, preschool",17471,"(+/- 2235 )",15331,"(+/- 2253 )",13193,"(+/- 2055 )",11980,"(+/- 2161 )",9927,"(+/- 1697 )",12477,"(+/- 2340 )"
Education,"School Enrollment",Kindergarten,9673,"(+/- 1463 )",9392,"(+/- 1855 )",10634,"(+/- 2477 )",9602,"(+/- 1740 )",8750,"(+/- 1547 )",9309,"(+/- 2021 )"
Education,"School Enrollment","Elementary school (grades 1-8)",87084,"(+/- 4589 )",80386,"(+/- 4883 )",88258,"(+/- 3130 )",80696,"(+/- 2809 )",84298,"(+/- 3176 )",84847,"(+/- 4029 )"
Education,"School Enrollment","High school (grades 9-12)",40670,"(+/- 2669 )",41716,"(+/- 3227 )",46615,"(+/- 2975 )",41912,"(+/- 2587 )",41470,"(+/- 3283 )",42282,"(+/- 3475 )"
Education,"School Enrollment","College or graduate school",47749,"(+/- 3581 )",53884,"(+/- 4049 )",40110,"(+/- 3407 )",36474,"(+/- 3609 )",39184,"(+/- 3319 )",60874,"(+/- 4812 )"
Education,"Educational Attainment","Population 25 years and over",553695,"(+/- 6739 )",539227,"(+/- 7308 )",518705,"(+/- 2700 )",499234,"(+/- 3255 )",488373,"(+/- 5237 )",521043,"(+/- 7540 )"
Education,"Educational Attainment","Less than 9th grade",27175,"(+/- 3332 )",29250,"(+/- 2918 )",26578,"(+/- 2971 )",20491,"(+/- 2577 )",27266,"(+/- 2563 )",22011,"(+/- 3191 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",40941,"(+/- 3940 )",67303,"(+/- 5801 )",48473,"(+/- 4740 )",50884,"(+/- 4000 )",64217,"(+/- 4875 )",39230,"(+/- 4833 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",162196,"(+/- 6249 )",167820,"(+/- 6945 )",199412,"(+/- 7271 )",184088,"(+/- 6700 )",183540,"(+/- 6785 )",164470,"(+/- 7692 )"
Education,"Educational Attainment","Some college, no degree",118316,"(+/- 5762 )",125001,"(+/- 6411 )",97683,"(+/- 6869 )",111322,"(+/- 5054 )",98633,"(+/- 5386 )",116043,"(+/- 6008 )"
Education,"Educational Attainment","Associate's degree",32677,"(+/- 3217 )",29868,"(+/- 2647 )",32638,"(+/- 3106 )",35109,"(+/- 3725 )",25667,"(+/- 2781 )",29450,"(+/- 3374 )"
Education,"Educational Attainment","Bachelor's degree",108846,"(+/- 5587 )",74248,"(+/- 3393 )",78947,"(+/- 5749 )",61601,"(+/- 4815 )",60827,"(+/- 4146 )",97970,"(+/- 5620 )"
Education,"Educational Attainment","Graduate or professional degree",63544,"(+/- 3967 )",45737,"(+/- 2880 )",34974,"(+/- 3475 )",35739,"(+/- 3390 )",28223,"(+/- 2767 )",51869,"(+/- 5021 )"
Education,"Educational Attainment","Percent high school graduate or higher",87.7,"(+/- 0.8 )",82.1,"(+/- 1.2 )",85.5,"(+/- 1.1 )",85.7,"(+/- 1.0 )",81.3,"(+/- 1.2 )",88.2,"(+/- 0.9 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",31.1,"(+/- 1.2 )",22.3,"(+/- 0.8 )",22.0,"(+/- 1.3 )",19.5,"(+/- 1.1 )",18.2,"(+/- 1.0 )",28.8,"(+/- 1.2 )"

"Source: 2017 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",322609,G,296096,G,287295,G,216636,G,210895,G,329060,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",195,H,220,H,223,G,1761,G,1459,G,193,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",7354,G,1699,G,14566,G,4714,G,1331,G,1652,G
