Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Workers,Industry,"Transportation and warehousing, and utilities",17219,"(+/- 2972 )",18235,"(+/- 2321 )",14142,"(+/- 1848 )",17338,"(+/- 2339 )",19883,"(+/- 2410 )",15939,"(+/- 2115 )",13674,"(+/- 2003 )"
Workers,Industry,Information,6214,"(+/- 1632 )",6370,"(+/- 1514 )",3589,"(+/- 1083 )",8236,"(+/- 1463 )",6277,"(+/- 1441 )",4056,"(+/- 1011 )",3688,"(+/- 1140 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",21631,"(+/- 2532 )",23509,"(+/- 2917 )",8977,"(+/- 1296 )",19243,"(+/- 2157 )",18436,"(+/- 2164 )",15716,"(+/- 2331 )",17180,"(+/- 2355 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",56667,"(+/- 4045 )",35150,"(+/- 3337 )",27363,"(+/- 2589 )",38503,"(+/- 3239 )",28201,"(+/- 3215 )",26151,"(+/- 3172 )",25390,"(+/- 3139 )"
Workers,Industry,"Educational services, and health care and social assistance",80590,"(+/- 4757 )",75647,"(+/- 5253 )",65226,"(+/- 3796 )",75384,"(+/- 3832 )",63462,"(+/- 4290 )",66436,"(+/- 4750 )",66751,"(+/- 3763 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",46776,"(+/- 5074 )",27841,"(+/- 3256 )",26284,"(+/- 3172 )",32030,"(+/- 3355 )",26663,"(+/- 2455 )",33252,"(+/- 3139 )",42733,"(+/- 4625 )"
Workers,Industry,"Other services, except public administration",18750,"(+/- 2859 )",18291,"(+/- 2563 )",14565,"(+/- 2111 )",19836,"(+/- 2514 )",17266,"(+/- 2317 )",15197,"(+/- 2783 )",12950,"(+/- 2221 )"
Workers,Industry,"Public administration",18407,"(+/- 2857 )",20508,"(+/- 2562 )",9183,"(+/- 1688 )",9643,"(+/- 1551 )",11385,"(+/- 1959 )",17871,"(+/- 2630 )",10267,"(+/- 1972 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",378919,"(+/- 7690 )",331637,"(+/- 9047 )",298381,"(+/- 6991 )",354514,"(+/- 6663 )",318265,"(+/- 8225 )",290140,"(+/- 9134 )",300619,"(+/- 6948 )"
Workers,"Class of Worker","Private wage and salary workers",292655,"(+/- 8308 )",252703,"(+/- 7314 )",240953,"(+/- 7360 )",302527,"(+/- 6356 )",261876,"(+/- 7995 )",223238,"(+/- 8666 )",241581,"(+/- 6670 )"
Workers,"Class of Worker","Government workers",59536,"(+/- 5019 )",59340,"(+/- 4753 )",38881,"(+/- 3420 )",36208,"(+/- 3049 )",39748,"(+/- 3450 )",52582,"(+/- 4315 )",37731,"(+/- 3175 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",25957,"(+/- 3559 )",19254,"(+/- 2409 )",18174,"(+/- 2547 )",15559,"(+/- 2098 )",16073,"(+/- 2172 )",14070,"(+/- 2590 )",20717,"(+/- 2444 )"
Workers,"Class of Worker","Unpaid family workers",771,"(+/- 546 )",340,"(+/- 262 )",373,"(+/- 374 )",220,"(+/- 200 )",568,"(+/- 327 )",250,"(+/- 220 )",590,"(+/- 455 )"
Housing,"Housing Occupancy","Total housing units",357539,"(+/- 2428 )",305860,"(+/- 4169 )",310867,"(+/- 1998 )",307921,"(+/- 2335 )",309847,"(+/- 2384 )",305321,"(+/- 5583 )",387465,"(+/- 1905 )"
Housing,"Housing Occupancy","Occupied housing units",294731,"(+/- 4306 )",269788,"(+/- 4857 )",260543,"(+/- 3934 )",279956,"(+/- 3531 )",275713,"(+/- 3529 )",247452,"(+/- 5736 )",276917,"(+/- 4992 )"
Housing,"Housing Occupancy","Vacant housing units",62808,"(+/- 3830 )",36072,"(+/- 3594 )",50324,"(+/- 3839 )",27965,"(+/- 2834 )",34134,"(+/- 3263 )",57869,"(+/- 3676 )",110548,"(+/- 4810 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",3.3,"(+/- 1.0 )",1.6,"(+/- 0.6 )",1.8,"(+/- 0.7 )",0.6,"(+/- 0.3 )",1.1,"(+/- 0.4 )",1.7,"(+/- 0.5 )",2.3,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",7.8,"(+/- 1.8 )",6.6,"(+/- 2.2 )",7.7,"(+/- 1.8 )",6.0,"(+/- 1.5 )",5.9,"(+/- 2.0 )",6.7,"(+/- 1.4 )",20.2,"(+/- 2.6 )"
Housing,"Housing Tenure","Occupied housing units",294731,"(+/- 4306 )",269788,"(+/- 4857 )",260543,"(+/- 3934 )",279956,"(+/- 3531 )",275713,"(+/- 3529 )",247452,"(+/- 5736 )",276917,"(+/- 4992 )"
Housing,"Housing Tenure",Owner-occupied,204484,"(+/- 4832 )",197454,"(+/- 4498 )",185464,"(+/- 4587 )",187073,"(+/- 4295 )",201544,"(+/- 4302 )",142442,"(+/- 4896 )",191209,"(+/- 4909 )"
Housing,"Housing Tenure",Renter-occupied,90247,"(+/- 4480 )",72334,"(+/- 4025 )",75079,"(+/- 3665 )",92883,"(+/- 3761 )",74169,"(+/- 3616 )",105010,"(+/- 5569 )",85708,"(+/- 5073 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.71,"(+/- 0.05 )",2.58,"(+/- 0.05 )",2.61,"(+/- 0.05 )",2.62,"(+/- 0.04 )",2.57,"(+/- 0.05 )",2.53,"(+/- 0.07 )",2.53,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.43,"(+/- 0.10 )",2.54,"(+/- 0.11 )",2.44,"(+/- 0.11 )",2.42,"(+/- 0.07 )",2.55,"(+/- 0.10 )",2.55,"(+/- 0.08 )",2.60,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",294731,"(+/- 4306 )",269788,"(+/- 4857 )",260543,"(+/- 3934 )",279956,"(+/- 3531 )",275713,"(+/- 3529 )",247452,"(+/- 5736 )",276917,"(+/- 4992 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",100572,"(+/- 5246 )",75072,"(+/- 4682 )",66848,"(+/- 3436 )",82833,"(+/- 3536 )",67420,"(+/- 4113 )",71963,"(+/- 4654 )",73116,"(+/- 4457 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",68281,"(+/- 3908 )",54727,"(+/- 3636 )",49636,"(+/- 3424 )",60897,"(+/- 3298 )",59687,"(+/- 3230 )",50723,"(+/- 4395 )",64359,"(+/- 4441 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",72284,"(+/- 4315 )",69792,"(+/- 3418 )",64079,"(+/- 3448 )",68518,"(+/- 3254 )",66368,"(+/- 3835 )",53731,"(+/- 3310 )",67546,"(+/- 3759 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",29117,"(+/- 2862 )",34824,"(+/- 2575 )",34843,"(+/- 2693 )",32925,"(+/- 2420 )",39580,"(+/- 3026 )",30585,"(+/- 3275 )",36800,"(+/- 2899 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",13916,"(+/- 1674 )",17591,"(+/- 1815 )",17754,"(+/- 2051 )",15286,"(+/- 1779 )",18754,"(+/- 2124 )",16377,"(+/- 1791 )",16424,"(+/- 1980 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",10561,"(+/- 1723 )",17782,"(+/- 1539 )",27383,"(+/- 2318 )",19497,"(+/- 1714 )",23904,"(+/- 2082 )",24073,"(+/- 2139 )",18672,"(+/- 1872 )"
Housing,Value,"Owner-occupied units",204484,"(+/- 4832 )",197454,"(+/- 4498 )",185464,"(+/- 4587 )",187073,"(+/- 4295 )",201544,"(+/- 4302 )",142442,"(+/- 4896 )",191209,"(+/- 4909 )"
Housing,Value,"Less than $50,000",8285,"(+/- 1347 )",16561,"(+/- 1931 )",27784,"(+/- 2733 )",14343,"(+/- 2177 )",26546,"(+/- 2653 )",28891,"(+/- 2521 )",28452,"(+/- 2657 )"
Housing,Value,"$50,000 to $99,999",9263,"(+/- 1453 )",28651,"(+/- 2900 )",35763,"(+/- 2664 )",28538,"(+/- 2464 )",39840,"(+/- 2541 )",37684,"(+/- 3151 )",33088,"(+/- 2786 )"
Housing,Value,"$100,000 to $149,999",19701,"(+/- 2061 )",40862,"(+/- 2995 )",33195,"(+/- 3049 )",40259,"(+/- 2951 )",34749,"(+/- 3298 )",26866,"(+/- 2253 )",33733,"(+/- 2971 )"
Housing,Value,"$150,000 to $199,999",28431,"(+/- 2826 )",40321,"(+/- 3142 )",31475,"(+/- 2410 )",33364,"(+/- 2373 )",31151,"(+/- 2601 )",16968,"(+/- 2089 )",33420,"(+/- 2788 )"
Housing,Value,"$200,000 to $299,999",50163,"(+/- 3350 )",36478,"(+/- 2968 )",29778,"(+/- 2116 )",37391,"(+/- 2613 )",35492,"(+/- 2660 )",15558,"(+/- 1740 )",33854,"(+/- 2216 )"
Housing,Value,"$300,000 to $499,999",50160,"(+/- 3539 )",23109,"(+/- 2197 )",18959,"(+/- 2197 )",21261,"(+/- 1883 )",25178,"(+/- 2258 )",10506,"(+/- 1469 )",20799,"(+/- 2106 )"
Housing,Value,"$500,000 to $999,999",29072,"(+/- 2125 )",9319,"(+/- 1254 )",6639,"(+/- 1179 )",10088,"(+/- 1303 )",7353,"(+/- 1253 )",4552,"(+/- 1015 )",6153,"(+/- 1134 )"
Housing,Value,"$1,000,000 or more",9409,"(+/- 1261 )",2153,"(+/- 762 )",1871,"(+/- 676 )",1829,"(+/- 566 )",1235,"(+/- 428 )",1417,"(+/- 537 )",1710,"(+/- 677 )"
Housing,Value,"Median (dollars)",270900,"(+/- 6368 )",163300,"(+/- 2935 )",143000,"(+/- 4737 )",162700,"(+/- 3589 )",149500,"(+/- 4026 )",106600,"(+/- 3625 )",150400,"(+/- 4504 )"
Housing,"Mortgage Status","Owner-occupied units",204484,"(+/- 4832 )",197454,"(+/- 4498 )",185464,"(+/- 4587 )",187073,"(+/- 4295 )",201544,"(+/- 4302 )",142442,"(+/- 4896 )",191209,"(+/- 4909 )"
Housing,"Mortgage Status","Housing units with a mortgage",140100,"(+/- 5411 )",122818,"(+/- 4400 )",96250,"(+/- 3835 )",116168,"(+/- 4277 )",116477,"(+/- 4780 )",65851,"(+/- 3725 )",96869,"(+/- 4319 )"
Housing,"Mortgage Status","Housing units without a mortgage",64384,"(+/- 3448 )",74636,"(+/- 3342 )",89214,"(+/- 3787 )",70905,"(+/- 3474 )",85067,"(+/- 4224 )",76591,"(+/- 3899 )",94340,"(+/- 3678 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",140100,"(+/- 5411 )",122818,"(+/- 4400 )",96250,"(+/- 3835 )",116168,"(+/- 4277 )",116477,"(+/- 4780 )",65851,"(+/- 3725 )",96869,"(+/- 4319 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1328,"(+/- 569 )",2169,"(+/- 610 )",3251,"(+/- 831 )",2717,"(+/- 830 )",3240,"(+/- 898 )",1147,"(+/- 447 )",1798,"(+/- 640 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",19116,"(+/- 1937 )",36102,"(+/- 3351 )",40594,"(+/- 3358 )",38434,"(+/- 2967 )",44062,"(+/- 3254 )",27817,"(+/- 2796 )",37894,"(+/- 2899 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",46518,"(+/- 3256 )",46215,"(+/- 2904 )",29847,"(+/- 2100 )",42983,"(+/- 3135 )",36798,"(+/- 3063 )",22580,"(+/- 2405 )",33260,"(+/- 2531 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",33574,"(+/- 3185 )",19529,"(+/- 2161 )",13268,"(+/- 1980 )",17888,"(+/- 1970 )",17992,"(+/- 1961 )",8608,"(+/- 1319 )",14248,"(+/- 2008 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",18036,"(+/- 2299 )",10215,"(+/- 1511 )",4727,"(+/- 1184 )",6837,"(+/- 1185 )",8278,"(+/- 1464 )",2978,"(+/- 817 )",5569,"(+/- 1099 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",8434,"(+/- 1543 )",4308,"(+/- 861 )",2071,"(+/- 751 )",2891,"(+/- 706 )",4413,"(+/- 1314 )",1300,"(+/- 531 )",2234,"(+/- 786 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",13094,"(+/- 1948 )",4280,"(+/- 1082 )",2492,"(+/- 810 )",4418,"(+/- 958 )",1694,"(+/- 563 )",1421,"(+/- 642 )",1866,"(+/- 493 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1538,"(+/- 32 )",1206,"(+/- 25 )",1058,"(+/- 32 )",1163,"(+/- 19 )",1120,"(+/- 24 )",1067,"(+/- 33 )",1111,"(+/- 27 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",64384,"(+/- 3448 )",74636,"(+/- 3342 )",89214,"(+/- 3787 )",70905,"(+/- 3474 )",85067,"(+/- 4224 )",76591,"(+/- 3899 )",94340,"(+/- 3678 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",5419,"(+/- 1177 )",15153,"(+/- 1967 )",26325,"(+/- 2668 )",18164,"(+/- 2001 )",23662,"(+/- 2422 )",18680,"(+/- 2304 )",22677,"(+/- 1935 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",12977,"(+/- 1634 )",28390,"(+/- 2667 )",36921,"(+/- 3052 )",28602,"(+/- 2287 )",35379,"(+/- 2654 )",28540,"(+/- 2366 )",39113,"(+/- 2678 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",22681,"(+/- 2484 )",21170,"(+/- 2010 )",19632,"(+/- 1880 )",17275,"(+/- 1904 )",19445,"(+/- 2320 )",19440,"(+/- 1996 )",22167,"(+/- 2171 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",10435,"(+/- 1405 )",7071,"(+/- 1508 )",4084,"(+/- 902 )",3838,"(+/- 865 )",4610,"(+/- 855 )",6918,"(+/- 1004 )",6721,"(+/- 1224 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",6485,"(+/- 1248 )",1741,"(+/- 580 )",1464,"(+/- 551 )",1534,"(+/- 634 )",1288,"(+/- 599 )",1641,"(+/- 537 )",2801,"(+/- 841 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",6387,"(+/- 1216 )",1111,"(+/- 421 )",788,"(+/- 380 )",1492,"(+/- 533 )",683,"(+/- 355 )",1372,"(+/- 632 )",861,"(+/- 335 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",496,"(+/- 18 )",367,"(+/- 11 )",319,"(+/- 7 )",332,"(+/- 9 )",326,"(+/- 8 )",349,"(+/- 12 )",340,"(+/- 8 )"
Housing,"Gross Rent","Occupied units paying rent",86576,"(+/- 4300 )",66447,"(+/- 4108 )",66815,"(+/- 3470 )",87809,"(+/- 4004 )",68065,"(+/- 3597 )",95073,"(+/- 5345 )",75169,"(+/- 4688 )"
Housing,"Gross Rent","Less than $500",4729,"(+/- 1434 )",7319,"(+/- 1696 )",11568,"(+/- 1983 )",9980,"(+/- 1428 )",9432,"(+/- 1816 )",11480,"(+/- 1713 )",11753,"(+/- 1830 )"
Housing,"Gross Rent","$500 to $999",25758,"(+/- 3046 )",34917,"(+/- 2994 )",45509,"(+/- 3097 )",51732,"(+/- 3665 )",41350,"(+/- 3306 )",54878,"(+/- 3928 )",44703,"(+/- 3615 )"
Housing,"Gross Rent","$1,000 to $1,499",36702,"(+/- 3337 )",17202,"(+/- 2301 )",7695,"(+/- 1535 )",20582,"(+/- 2551 )",13307,"(+/- 1968 )",23257,"(+/- 2424 )",15645,"(+/- 2223 )"
Housing,"Gross Rent","$1,500 to $1,999",13929,"(+/- 1927 )",5262,"(+/- 1443 )",1038,"(+/- 501 )",3444,"(+/- 1001 )",2575,"(+/- 919 )",3996,"(+/- 866 )",1916,"(+/- 860 )"
Housing,"Gross Rent","$2,000 to $2,499",3138,"(+/- 1054 )",916,"(+/- 768 )",326,"(+/- 326 )",1086,"(+/- 451 )",963,"(+/- 563 )",985,"(+/- 455 )",706,"(+/- 485 )"
Housing,"Gross Rent","$2,500 to $2,999",1443,"(+/- 712 )",620,"(+/- 426 )",353,"(+/- 332 )",405,"(+/- 256 )",438,"(+/- 419 )",207,"(+/- 208 )",60,"(+/- 108 )"
Housing,"Gross Rent","$3,000 or more",877,"(+/- 561 )",211,"(+/- 214 )",326,"(+/- 381 )",580,"(+/- 335 )",0,"(+/- 211 )",270,"(+/- 195 )",386,"(+/- 387 )"
Housing,"Gross Rent","Median (dollars)",1160,"(+/- 31 )",886,"(+/- 28 )",721,"(+/- 19 )",836,"(+/- 18 )",788,"(+/- 24 )",817,"(+/- 24 )",792,"(+/- 28 )"
Housing,"Gross Rent","No rent paid",3671,"(+/- 953 )",5887,"(+/- 1330 )",8264,"(+/- 1544 )",5074,"(+/- 1388 )",6104,"(+/- 1206 )",9937,"(+/- 1879 )",10539,"(+/- 1663 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",294731,"(+/- 4306 )",269788,"(+/- 4857 )",260543,"(+/- 3934 )",279956,"(+/- 3531 )",275713,"(+/- 3529 )",247452,"(+/- 5736 )",276917,"(+/- 4992 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",14270,"(+/- 2037 )",18778,"(+/- 2859 )",20108,"(+/- 2072 )",20627,"(+/- 2270 )",22667,"(+/- 2326 )",32353,"(+/- 3728 )",25245,"(+/- 2111 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",8556,"(+/- 1619 )",11532,"(+/- 1722 )",17661,"(+/- 2535 )",11080,"(+/- 1622 )",15956,"(+/- 1989 )",17333,"(+/- 1935 )",17226,"(+/- 2468 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",22625,"(+/- 2819 )",22675,"(+/- 2591 )",31974,"(+/- 3022 )",29737,"(+/- 2620 )",30350,"(+/- 2859 )",37802,"(+/- 3097 )",37314,"(+/- 3181 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",26069,"(+/- 2715 )",25641,"(+/- 3047 )",29593,"(+/- 2744 )",30003,"(+/- 2793 )",29921,"(+/- 2678 )",33963,"(+/- 3197 )",36910,"(+/- 3079 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",36479,"(+/- 3177 )",34183,"(+/- 3149 )",39688,"(+/- 3329 )",38817,"(+/- 3387 )",35931,"(+/- 2782 )",35192,"(+/- 2941 )",42767,"(+/- 3479 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",55857,"(+/- 3822 )",56440,"(+/- 3820 )",45322,"(+/- 2890 )",52664,"(+/- 3339 )",49954,"(+/- 3319 )",39770,"(+/- 3402 )",50936,"(+/- 3824 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",42982,"(+/- 3247 )",34363,"(+/- 2396 )",29631,"(+/- 2895 )",34706,"(+/- 2894 )",34618,"(+/- 3279 )",21867,"(+/- 2092 )",25449,"(+/- 2607 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",44546,"(+/- 3571 )",38614,"(+/- 3232 )",29273,"(+/- 2537 )",36263,"(+/- 3114 )",33443,"(+/- 2905 )",19350,"(+/- 1990 )",25786,"(+/- 2579 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",19077,"(+/- 2155 )",14505,"(+/- 1901 )",10525,"(+/- 1641 )",13118,"(+/- 1475 )",11444,"(+/- 1843 )",4494,"(+/- 1177 )",8806,"(+/- 1608 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",24270,"(+/- 2477 )",13057,"(+/- 1629 )",6768,"(+/- 1209 )",12941,"(+/- 1631 )",11429,"(+/- 1735 )",5328,"(+/- 1078 )",6478,"(+/- 1182 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",66337,"(+/- 2405 )",58665,"(+/- 2681 )",47004,"(+/- 1512 )",53006,"(+/- 1768 )",51131,"(+/- 1315 )",35615,"(+/- 1211 )",42159,"(+/- 1061 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",91354,"(+/- 2861 )",77422,"(+/- 2482 )",64766,"(+/- 2558 )",74921,"(+/- 2348 )",68272,"(+/- 2143 )",52714,"(+/- 2216 )",58629,"(+/- 1856 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",770260,"(+/- 7581 )",693813,"(+/- 11484 )",677317,"(+/- 5715 )",724260,"(+/- 6711 )",706352,"(+/- 5614 )",644745,"(+/- 14153 )",711513,"(+/- 3516 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",694100,"(+/- 8511 )",624321,"(+/- 11429 )",603761,"(+/- 7310 )",647465,"(+/- 7817 )",638484,"(+/- 7825 )",556321,"(+/- 13018 )",622275,"(+/- 7102 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",566720,"(+/- 11504 )",493206,"(+/- 12517 )",428710,"(+/- 8394 )",489528,"(+/- 10199 )",471646,"(+/- 9783 )",362175,"(+/- 13049 )",412652,"(+/- 11080 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",237681,"(+/- 8301 )",228450,"(+/- 8907 )",271381,"(+/- 8132 )",243996,"(+/- 8326 )",265025,"(+/- 7144 )",266317,"(+/- 9676 )",320420,"(+/- 9234 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",76160,"(+/- 8208 )",69492,"(+/- 6845 )",73556,"(+/- 5449 )",76795,"(+/- 5142 )",67868,"(+/- 6005 )",88424,"(+/- 6782 )",89238,"(+/- 6166 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",178731,"(+/- 4483 )",171134,"(+/- 5329 )",157191,"(+/- 3479 )",176677,"(+/- 3361 )",175402,"(+/- 3187 )",150424,"(+/- 7110 )",159804,"(+/- 2224 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",11078,"(+/- 3456 )",6944,"(+/- 2000 )",8826,"(+/- 2411 )",9354,"(+/- 2257 )",4720,"(+/- 1532 )",11387,"(+/- 2732 )",7890,"(+/- 1861 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",5.1,"(+/- 0.9 )",10.0,"(+/- 1.3 )",13.3,"(+/- 1.2 )",9.1,"(+/- 1.0 )",10.9,"(+/- 1.3 )",17.0,"(+/- 1.7 )",15.1,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",8.8,"(+/- 1.8 )",16.1,"(+/- 2.5 )",22.4,"(+/- 2.3 )",14.9,"(+/- 2.1 )",17.4,"(+/- 2.1 )",29.1,"(+/- 3.1 )",27.9,"(+/- 2.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",5.1,"(+/- 2.8 )",11.0,"(+/- 4.9 )",28.9,"(+/- 6.5 )",10.6,"(+/- 4.3 )",18.4,"(+/- 6.1 )",28.3,"(+/- 7.7 )",29.9,"(+/- 8.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.7,"(+/- 0.7 )",4.6,"(+/- 1.0 )",6.1,"(+/- 1.0 )",3.8,"(+/- 0.7 )",4.7,"(+/- 1.0 )",7.2,"(+/- 1.2 )",6.3,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",2.7,"(+/- 1.2 )",6.3,"(+/- 1.9 )",9.2,"(+/- 2.4 )",4.9,"(+/- 1.5 )",6.2,"(+/- 1.8 )",11.9,"(+/- 3.1 )",11.1,"(+/- 2.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.0,"(+/- 2.1 )",3.2,"(+/- 3.0 )",3.1,"(+/- 2.7 )",2.3,"(+/- 1.7 )",8.8,"(+/- 5.5 )",10.8,"(+/- 6.5 )",7.4,"(+/- 6.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",17.5,"(+/- 3.6 )",27.9,"(+/- 4.6 )",35.4,"(+/- 4.6 )",28.6,"(+/- 4.2 )",28.7,"(+/- 4.2 )",34.0,"(+/- 3.9 )",38.2,"(+/- 4.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",25.7,"(+/- 5.6 )",36.3,"(+/- 6.3 )",45.7,"(+/- 6.0 )",39.8,"(+/- 6.2 )",37.7,"(+/- 6.1 )",44.5,"(+/- 5.0 )",51.2,"(+/- 6.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",20.8,"(+/- 13.3 )",42.0,"(+/- 17.9 )",64.7,"(+/- 12.3 )",39.6,"(+/- 16.1 )",37.7,"(+/- 15.5 )",50.9,"(+/- 12.4 )",57.9,"(+/- 13.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",8.8,"(+/- 1.1 )",13.0,"(+/- 1.4 )",16.7,"(+/- 1.0 )",12.9,"(+/- 1.1 )",14.9,"(+/- 1.2 )",23.8,"(+/- 1.5 )",19.2,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",12.0,"(+/- 2.9 )",18.8,"(+/- 2.6 )",23.4,"(+/- 2.4 )",18.9,"(+/- 2.8 )",21.1,"(+/- 2.6 )",35.1,"(+/- 3.8 )",32.3,"(+/- 3.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",11.7,"(+/- 2.9 )",18.7,"(+/- 2.6 )",23.0,"(+/- 2.4 )",18.6,"(+/- 2.8 )",20.7,"(+/- 2.6 )",34.9,"(+/- 3.8 )",32.3,"(+/- 3.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",12.2,"(+/- 3.7 )",18.1,"(+/- 4.1 )",29.4,"(+/- 4.9 )",17.6,"(+/- 3.9 )",24.7,"(+/- 4.5 )",36.5,"(+/- 5.0 )",36.5,"(+/- 5.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",11.5,"(+/- 3.1 )",18.8,"(+/- 2.6 )",20.8,"(+/- 2.6 )",19.0,"(+/- 3.3 )",19.3,"(+/- 2.8 )",34.2,"(+/- 4.2 )",30.8,"(+/- 3.5 )"
