Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
Workers,"Employment Status","Not in labor force",234552,"(+/- 5544 )",226592,"(+/- 6073 )",196465,"(+/- 6979 )",186380,"(+/- 6539 )",194533,"(+/- 6348 )",211520,"(+/- 6070 )",209166,"(+/- 7560 )",187800,"(+/- 6724 )",237392,"(+/- 6656 )"
Workers,"Employment Status","Civilian labor force",369718,"(+/- 6103 )",391548,"(+/- 7979 )",421432,"(+/- 8319 )",421748,"(+/- 6926 )",431966,"(+/- 8459 )",424814,"(+/- 6259 )",478920,"(+/- 8809 )",444343,"(+/- 9106 )",387136,"(+/- 7183 )"
Workers,"Employment Status","Unemployment Rate",5.6,"(+/- 0.6 )",4.4,"(+/- 0.5 )",4.6,"(+/- 0.6 )",4.0,"(+/- 0.5 )",3.8,"(+/- 0.5 )",3.5,"(+/- 0.4 )",6.4,"(+/- 0.6 )",4.8,"(+/- 0.6 )",3.8,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",342702,"(+/- 5685 )",365160,"(+/- 8054 )",393006,"(+/- 8398 )",396619,"(+/- 7309 )",409041,"(+/- 7982 )",401975,"(+/- 6674 )",436942,"(+/- 9526 )",413792,"(+/- 8867 )",366930,"(+/- 7511 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",281507,"(+/- 5653 )",284932,"(+/- 7930 )",307885,"(+/- 7390 )",291384,"(+/- 6198 )",258774,"(+/- 8759 )",313363,"(+/- 7345 )",174811,"(+/- 7181 )",266598,"(+/- 8494 )",290430,"(+/- 7877 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",23129,"(+/- 2740 )",25966,"(+/- 2975 )",38012,"(+/- 4518 )",23828,"(+/- 2903 )",31707,"(+/- 3731 )",23434,"(+/- 2627 )",30555,"(+/- 3528 )",25243,"(+/- 3008 )",33225,"(+/- 3503 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",4924,"(+/- 1146 )",9543,"(+/- 1787 )",10935,"(+/- 2078 )",30630,"(+/- 2434 )",64251,"(+/- 4138 )",26174,"(+/- 3031 )",139793,"(+/- 7158 )",71218,"(+/- 4655 )",9525,"(+/- 1890 )"
Workers,"Commuting to Work",Walked,13012,"(+/- 1678 )",14389,"(+/- 1768 )",10499,"(+/- 1940 )",16959,"(+/- 2060 )",18311,"(+/- 2440 )",10762,"(+/- 1873 )",54052,"(+/- 4162 )",23509,"(+/- 2193 )",8069,"(+/- 1546 )"
Workers,"Commuting to Work","Other means",4199,"(+/- 1213 )",7583,"(+/- 1790 )",6978,"(+/- 1811 )",6311,"(+/- 1593 )",10533,"(+/- 1574 )",5935,"(+/- 1305 )",22309,"(+/- 2497 )",8982,"(+/- 1778 )",5655,"(+/- 1679 )"
Workers,"Commuting to Work","Worked at home",15931,"(+/- 2329 )",22747,"(+/- 2729 )",18697,"(+/- 2482 )",27507,"(+/- 2354 )",25465,"(+/- 2546 )",22307,"(+/- 2677 )",15422,"(+/- 2124 )",18242,"(+/- 2769 )",20026,"(+/- 2637 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.3,"(+/- 0.5 )",27.0,"(+/- 0.7 )",29.4,"(+/- 0.7 )",30.9,"(+/- 0.6 )",31.3,"(+/- 0.6 )",31.8,"(+/- 0.6 )",31.9,"(+/- 0.6 )",32.8,"(+/- 0.7 )",28.7,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",349113,"(+/- 5711 )",374239,"(+/- 7951 )",401998,"(+/- 8297 )",404860,"(+/- 7354 )",415563,"(+/- 8114 )",410029,"(+/- 6491 )",448318,"(+/- 9307 )",422874,"(+/- 8656 )",372540,"(+/- 7548 )"
Workers,Occupation,"Management, business, science, and arts occupations",127584,"(+/- 5513 )",159900,"(+/- 6419 )",165901,"(+/- 5941 )",217847,"(+/- 6689 )",235405,"(+/- 7856 )",189848,"(+/- 5798 )",214217,"(+/- 6450 )",204971,"(+/- 6502 )",142451,"(+/- 5871 )"
Workers,Occupation,"Service occupations",74470,"(+/- 4074 )",70080,"(+/- 4370 )",70096,"(+/- 4426 )",53358,"(+/- 3376 )",59703,"(+/- 3994 )",68126,"(+/- 4675 )",98685,"(+/- 5348 )",71748,"(+/- 4578 )",70363,"(+/- 4482 )"
Workers,Occupation,"Sales and office occupations",77122,"(+/- 4044 )",79034,"(+/- 4477 )",84152,"(+/- 4935 )",82177,"(+/- 4817 )",77932,"(+/- 4179 )",90008,"(+/- 4577 )",82658,"(+/- 5059 )",91860,"(+/- 4640 )",80297,"(+/- 4931 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",28634,"(+/- 2896 )",25351,"(+/- 2725 )",29499,"(+/- 3091 )",27570,"(+/- 2960 )",20248,"(+/- 2605 )",28446,"(+/- 3001 )",20075,"(+/- 3016 )",26065,"(+/- 2978 )",41871,"(+/- 4094 )"
Workers,Occupation,"Production, transportation, and material moving occupations",41303,"(+/- 3491 )",39874,"(+/- 3708 )",52350,"(+/- 4719 )",23908,"(+/- 2878 )",22275,"(+/- 2925 )",33601,"(+/- 3220 )",32683,"(+/- 3734 )",28230,"(+/- 2926 )",37558,"(+/- 3373 )"
Workers,Industry,"Civilian employed population 16 years and over",349113,"(+/- 5711 )",374239,"(+/- 7951 )",401998,"(+/- 8297 )",404860,"(+/- 7354 )",415563,"(+/- 8114 )",410029,"(+/- 6491 )",448318,"(+/- 9307 )",422874,"(+/- 8656 )",372540,"(+/- 7548 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",2456,"(+/- 844 )",2738,"(+/- 958 )",2164,"(+/- 889 )",815,"(+/- 388 )",593,"(+/- 315 )",398,"(+/- 245 )",655,"(+/- 391 )",948,"(+/- 631 )",3939,"(+/- 1238 )"
Workers,Industry,Construction,20683,"(+/- 3037 )",21906,"(+/- 2246 )",25703,"(+/- 3556 )",22645,"(+/- 2634 )",17406,"(+/- 2580 )",25672,"(+/- 2982 )",17246,"(+/- 2814 )",25156,"(+/- 3029 )",37547,"(+/- 4245 )"
Workers,Industry,Manufacturing,36894,"(+/- 2943 )",41478,"(+/- 3747 )",58901,"(+/- 4339 )",35062,"(+/- 3292 )",31636,"(+/- 2981 )",38724,"(+/- 3200 )",24698,"(+/- 2631 )",23947,"(+/- 2604 )",27576,"(+/- 3064 )"
Workers,Industry,"Wholesale trade",7451,"(+/- 1606 )",8707,"(+/- 2299 )",9375,"(+/- 1690 )",12261,"(+/- 1693 )",6324,"(+/- 1379 )",9757,"(+/- 1562 )",5687,"(+/- 1420 )",8322,"(+/- 1546 )",9003,"(+/- 1748 )"
Workers,Industry,"Retail trade",38362,"(+/- 3400 )",39503,"(+/- 3963 )",45052,"(+/- 3637 )",41814,"(+/- 3866 )",37760,"(+/- 3051 )",41698,"(+/- 3779 )",37946,"(+/- 2880 )",41228,"(+/- 3332 )",43290,"(+/- 3725 )"
Workers,Industry,"Transportation and warehousing, and utilities",17376,"(+/- 2592 )",15581,"(+/- 2602 )",15698,"(+/- 2316 )",13652,"(+/- 1887 )",11341,"(+/- 1737 )",15969,"(+/- 2205 )",19160,"(+/- 2942 )",16657,"(+/- 2440 )",13622,"(+/- 2034 )"
Workers,Industry,Information,5661,"(+/- 1108 )",6878,"(+/- 1410 )",7307,"(+/- 1171 )",10252,"(+/- 1536 )",11271,"(+/- 1545 )",11245,"(+/- 1770 )",11687,"(+/- 1667 )",10024,"(+/- 1578 )",6787,"(+/- 1388 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",24386,"(+/- 2859 )",22500,"(+/- 2380 )",22063,"(+/- 2589 )",35427,"(+/- 3010 )",33242,"(+/- 2524 )",29233,"(+/- 3137 )",31245,"(+/- 3205 )",44617,"(+/- 3914 )",24218,"(+/- 2766 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",26735,"(+/- 2787 )",39019,"(+/- 3423 )",53382,"(+/- 4110 )",58251,"(+/- 3930 )",79192,"(+/- 4351 )",62106,"(+/- 3503 )",77174,"(+/- 4065 )",62659,"(+/- 3539 )",39445,"(+/- 3576 )"
Workers,Industry,"Educational services, and health care and social assistance",102753,"(+/- 4808 )",115747,"(+/- 4806 )",100005,"(+/- 4821 )",115702,"(+/- 4833 )",121378,"(+/- 6393 )",105776,"(+/- 5332 )",138678,"(+/- 5874 )",116600,"(+/- 5589 )",96949,"(+/- 5042 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",36146,"(+/- 3332 )",29814,"(+/- 3162 )",30522,"(+/- 3148 )",27866,"(+/- 3180 )",31648,"(+/- 3018 )",33132,"(+/- 3278 )",50247,"(+/- 5222 )",37189,"(+/- 4207 )",37851,"(+/- 3666 )"
Workers,Industry,"Other services, except public administration",14471,"(+/- 2072 )",15824,"(+/- 2165 )",17888,"(+/- 2628 )",16786,"(+/- 2462 )",17403,"(+/- 2332 )",18452,"(+/- 2503 )",18767,"(+/- 2482 )",18168,"(+/- 2578 )",16151,"(+/- 2613 )"
Workers,Industry,"Public administration",15739,"(+/- 2104 )",14544,"(+/- 1550 )",13938,"(+/- 2084 )",14327,"(+/- 2255 )",16369,"(+/- 2269 )",17867,"(+/- 2412 )",15128,"(+/- 1806 )",17359,"(+/- 2387 )",16162,"(+/- 2278 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",349113,"(+/- 5711 )",374239,"(+/- 7951 )",401998,"(+/- 8297 )",404860,"(+/- 7354 )",415563,"(+/- 8114 )",410029,"(+/- 6491 )",448318,"(+/- 9307 )",422874,"(+/- 8656 )",372540,"(+/- 7548 )"
Workers,"Class of Worker","Private wage and salary workers",279140,"(+/- 6706 )",293903,"(+/- 8261 )",336476,"(+/- 7503 )",335260,"(+/- 7387 )",345546,"(+/- 6919 )",333930,"(+/- 6549 )",391574,"(+/- 9488 )",352945,"(+/- 7937 )",298428,"(+/- 8037 )"
Workers,"Class of Worker","Government workers",49855,"(+/- 3721 )",58473,"(+/- 3825 )",44921,"(+/- 3445 )",44566,"(+/- 3020 )",45038,"(+/- 4103 )",49664,"(+/- 3882 )",40155,"(+/- 3131 )",49820,"(+/- 3880 )",45703,"(+/- 3267 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",19532,"(+/- 2541 )",20977,"(+/- 2221 )",20262,"(+/- 2439 )",24593,"(+/- 2605 )",24809,"(+/- 2545 )",26037,"(+/- 3283 )",16193,"(+/- 2696 )",19822,"(+/- 2299 )",27990,"(+/- 2830 )"
Workers,"Class of Worker","Unpaid family workers",586,"(+/- 364 )",886,"(+/- 556 )",339,"(+/- 266 )",441,"(+/- 292 )",170,"(+/- 171 )",398,"(+/- 388 )",396,"(+/- 255 )",287,"(+/- 194 )",419,"(+/- 312 )"
Housing,"Housing Occupancy","Total housing units",322646,"(+/- 2431 )",303616,"(+/- 3651 )",294473,"(+/- 5027 )",294111,"(+/- 3570 )",305997,"(+/- 4506 )",311296,"(+/- 4484 )",326446,"(+/- 4756 )",323528,"(+/- 5337 )",412477,"(+/- 3724 )"
Housing,"Housing Occupancy","Occupied housing units",288980,"(+/- 3054 )",278430,"(+/- 3912 )",274965,"(+/- 4418 )",279277,"(+/- 3914 )",289174,"(+/- 4600 )",294151,"(+/- 4266 )",303513,"(+/- 5099 )",298060,"(+/- 5209 )",298404,"(+/- 5471 )"
Housing,"Housing Occupancy","Vacant housing units",33666,"(+/- 2692 )",25186,"(+/- 3086 )",19508,"(+/- 2889 )",14834,"(+/- 1953 )",16823,"(+/- 2508 )",17145,"(+/- 2671 )",22933,"(+/- 2858 )",25468,"(+/- 3189 )",114073,"(+/- 4622 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.1,"(+/- 0.5 )",1.5,"(+/- 0.6 )",1.4,"(+/- 0.7 )",0.5,"(+/- 0.3 )",0.5,"(+/- 0.3 )",0.9,"(+/- 0.6 )",1.0,"(+/- 0.6 )",1.5,"(+/- 0.6 )",1.3,"(+/- 0.5 )"
Housing,"Housing Occupancy","Rental vacancy rate",4.7,"(+/- 1.2 )",3.4,"(+/- 1.3 )",5.2,"(+/- 1.4 )",5.2,"(+/- 1.6 )",4.7,"(+/- 1.2 )",1.2,"(+/- 0.8 )",2.7,"(+/- 0.7 )",3.7,"(+/- 1.2 )",4.9,"(+/- 1.6 )"
Housing,"Housing Tenure","Occupied housing units",288980,"(+/- 3054 )",278430,"(+/- 3912 )",274965,"(+/- 4418 )",279277,"(+/- 3914 )",289174,"(+/- 4600 )",294151,"(+/- 4266 )",303513,"(+/- 5099 )",298060,"(+/- 5209 )",298404,"(+/- 5471 )"
Housing,"Housing Tenure",Owner-occupied,181459,"(+/- 4629 )",174652,"(+/- 4618 )",175512,"(+/- 4494 )",205692,"(+/- 4564 )",173539,"(+/- 4634 )",209067,"(+/- 4625 )",101670,"(+/- 3950 )",188390,"(+/- 5395 )",213534,"(+/- 5478 )"
Housing,"Housing Tenure",Renter-occupied,107521,"(+/- 3639 )",103778,"(+/- 4303 )",99453,"(+/- 4000 )",73585,"(+/- 4087 )",115635,"(+/- 4198 )",85084,"(+/- 4376 )",201843,"(+/- 5427 )",109670,"(+/- 5220 )",84870,"(+/- 4105 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.59,"(+/- 0.05 )",2.73,"(+/- 0.05 )",2.84,"(+/- 0.05 )",2.75,"(+/- 0.04 )",2.72,"(+/- 0.05 )",2.72,"(+/- 0.05 )",2.63,"(+/- 0.08 )",2.71,"(+/- 0.05 )",2.56,"(+/- 0.05 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.23,"(+/- 0.06 )",2.15,"(+/- 0.06 )",2.54,"(+/- 0.09 )",2.15,"(+/- 0.08 )",2.30,"(+/- 0.07 )",2.19,"(+/- 0.08 )",2.40,"(+/- 0.04 )",2.14,"(+/- 0.07 )",2.19,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",288980,"(+/- 3054 )",278430,"(+/- 3912 )",274965,"(+/- 4418 )",279277,"(+/- 3914 )",289174,"(+/- 4600 )",294151,"(+/- 4266 )",303513,"(+/- 5099 )",298060,"(+/- 5209 )",298404,"(+/- 5471 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",68340,"(+/- 4184 )",68243,"(+/- 3516 )",66665,"(+/- 3500 )",59993,"(+/- 3810 )",80945,"(+/- 4412 )",64650,"(+/- 4529 )",109100,"(+/- 4969 )",78760,"(+/- 3884 )",63408,"(+/- 3820 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",59266,"(+/- 3391 )",62142,"(+/- 3236 )",64899,"(+/- 4156 )",57080,"(+/- 3752 )",66586,"(+/- 3931 )",59429,"(+/- 3052 )",78581,"(+/- 4568 )",71128,"(+/- 3985 )",61662,"(+/- 3950 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",65369,"(+/- 3715 )",64363,"(+/- 3274 )",65057,"(+/- 3828 )",68570,"(+/- 3437 )",62750,"(+/- 3721 )",70796,"(+/- 3976 )",61507,"(+/- 3765 )",65699,"(+/- 3917 )",72561,"(+/- 4205 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",40657,"(+/- 2706 )",38248,"(+/- 2755 )",38094,"(+/- 2662 )",43901,"(+/- 2993 )",33429,"(+/- 2394 )",45502,"(+/- 3101 )",25715,"(+/- 2317 )",36623,"(+/- 3087 )",50086,"(+/- 3162 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",24253,"(+/- 1926 )",20036,"(+/- 2124 )",18874,"(+/- 2162 )",22423,"(+/- 2218 )",18302,"(+/- 2248 )",23159,"(+/- 2601 )",11891,"(+/- 1506 )",17545,"(+/- 2043 )",22989,"(+/- 2360 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",31095,"(+/- 2087 )",25398,"(+/- 1912 )",21376,"(+/- 2129 )",27310,"(+/- 2310 )",27162,"(+/- 2312 )",30615,"(+/- 2328 )",16719,"(+/- 1981 )",28305,"(+/- 2326 )",27698,"(+/- 2564 )"
Housing,Value,"Owner-occupied units",181459,"(+/- 4629 )",174652,"(+/- 4618 )",175512,"(+/- 4494 )",205692,"(+/- 4564 )",173539,"(+/- 4634 )",209067,"(+/- 4625 )",101670,"(+/- 3950 )",188390,"(+/- 5395 )",213534,"(+/- 5478 )"
Housing,Value,"Less than $50,000",3979,"(+/- 779 )",2447,"(+/- 692 )",2310,"(+/- 717 )",2313,"(+/- 725 )",1971,"(+/- 616 )",2270,"(+/- 639 )",1230,"(+/- 428 )",2629,"(+/- 828 )",2311,"(+/- 674 )"
Housing,Value,"$50,000 to $99,999",6349,"(+/- 1111 )",3608,"(+/- 952 )",2211,"(+/- 826 )",2581,"(+/- 1133 )",564,"(+/- 382 )",1435,"(+/- 731 )",654,"(+/- 336 )",946,"(+/- 464 )",2790,"(+/- 752 )"
Housing,Value,"$100,000 to $149,999",25676,"(+/- 2271 )",9069,"(+/- 1541 )",7580,"(+/- 1583 )",3721,"(+/- 968 )",681,"(+/- 431 )",2628,"(+/- 863 )",369,"(+/- 258 )",1717,"(+/- 664 )",4656,"(+/- 1066 )"
Housing,Value,"$150,000 to $199,999",42286,"(+/- 2816 )",22566,"(+/- 2007 )",13985,"(+/- 1988 )",8582,"(+/- 1703 )",2039,"(+/- 710 )",4855,"(+/- 1111 )",2236,"(+/- 672 )",5963,"(+/- 1237 )",9995,"(+/- 1533 )"
Housing,Value,"$200,000 to $299,999",56663,"(+/- 3289 )",60579,"(+/- 3090 )",42096,"(+/- 3192 )",37117,"(+/- 2222 )",10597,"(+/- 1572 )",21219,"(+/- 2161 )",10485,"(+/- 1885 )",27523,"(+/- 2300 )",48492,"(+/- 3111 )"
Housing,Value,"$300,000 to $499,999",36555,"(+/- 2613 )",54832,"(+/- 2642 )",66325,"(+/- 3324 )",67593,"(+/- 3329 )",56496,"(+/- 3123 )",96737,"(+/- 3627 )",36574,"(+/- 2517 )",77920,"(+/- 3997 )",90661,"(+/- 4413 )"
Housing,Value,"$500,000 to $999,999",7861,"(+/- 1193 )",19221,"(+/- 1831 )",36107,"(+/- 2378 )",55998,"(+/- 3369 )",79906,"(+/- 3660 )",71034,"(+/- 3373 )",38109,"(+/- 3012 )",60161,"(+/- 3532 )",45593,"(+/- 2905 )"
Housing,Value,"$1,000,000 or more",2090,"(+/- 711 )",2330,"(+/- 605 )",4898,"(+/- 1048 )",27787,"(+/- 1965 )",21285,"(+/- 1771 )",8889,"(+/- 1512 )",12013,"(+/- 1271 )",11531,"(+/- 1631 )",9036,"(+/- 1339 )"
Housing,Value,"Median (dollars)",221000,"(+/- 4765 )",280500,"(+/- 4201 )",348600,"(+/- 6874 )",431500,"(+/- 10466 )",564400,"(+/- 11581 )",446700,"(+/- 6319 )",496300,"(+/- 14102 )",437400,"(+/- 8054 )",369200,"(+/- 5419 )"
Housing,"Mortgage Status","Owner-occupied units",181459,"(+/- 4629 )",174652,"(+/- 4618 )",175512,"(+/- 4494 )",205692,"(+/- 4564 )",173539,"(+/- 4634 )",209067,"(+/- 4625 )",101670,"(+/- 3950 )",188390,"(+/- 5395 )",213534,"(+/- 5478 )"
Housing,"Mortgage Status","Housing units with a mortgage",119417,"(+/- 3797 )",123712,"(+/- 4427 )",127739,"(+/- 4228 )",145842,"(+/- 4172 )",117716,"(+/- 4460 )",148079,"(+/- 4637 )",73628,"(+/- 3634 )",134807,"(+/- 5187 )",144617,"(+/- 4907 )"
Housing,"Mortgage Status","Housing units without a mortgage",62042,"(+/- 3059 )",50940,"(+/- 2515 )",47773,"(+/- 3489 )",59850,"(+/- 3442 )",55823,"(+/- 3025 )",60988,"(+/- 3181 )",28042,"(+/- 2235 )",53583,"(+/- 2971 )",68917,"(+/- 3563 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",119417,"(+/- 3797 )",123712,"(+/- 4427 )",127739,"(+/- 4228 )",145842,"(+/- 4172 )",117716,"(+/- 4460 )",148079,"(+/- 4637 )",73628,"(+/- 3634 )",134807,"(+/- 5187 )",144617,"(+/- 4907 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",858,"(+/- 400 )",220,"(+/- 179 )",463,"(+/- 274 )",264,"(+/- 221 )",26,"(+/- 42 )",0,"(+/- 210 )",184,"(+/- 170 )",242,"(+/- 205 )",753,"(+/- 391 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",16638,"(+/- 1651 )",10511,"(+/- 1477 )",6474,"(+/- 1171 )",5607,"(+/- 1152 )",2193,"(+/- 560 )",5025,"(+/- 1199 )",2125,"(+/- 591 )",3899,"(+/- 943 )",9367,"(+/- 1407 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",41483,"(+/- 2996 )",28893,"(+/- 2097 )",22855,"(+/- 2436 )",17992,"(+/- 2384 )",10221,"(+/- 1631 )",16563,"(+/- 2154 )",9309,"(+/- 1555 )",15425,"(+/- 1977 )",23748,"(+/- 2187 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",33844,"(+/- 2588 )",35095,"(+/- 2485 )",31780,"(+/- 2719 )",29922,"(+/- 2533 )",16888,"(+/- 1793 )",31133,"(+/- 2937 )",16219,"(+/- 2130 )",30167,"(+/- 2240 )",41348,"(+/- 3188 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",15566,"(+/- 2043 )",23926,"(+/- 2367 )",26141,"(+/- 1985 )",27073,"(+/- 2533 )",26102,"(+/- 2199 )",35724,"(+/- 2998 )",16200,"(+/- 2152 )",32818,"(+/- 3036 )",28974,"(+/- 2441 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4972,"(+/- 1022 )",11726,"(+/- 1598 )",17986,"(+/- 1732 )",21444,"(+/- 2072 )",21552,"(+/- 2063 )",21042,"(+/- 2627 )",10184,"(+/- 1510 )",23718,"(+/- 2424 )",19870,"(+/- 2069 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",6056,"(+/- 1046 )",13341,"(+/- 1719 )",22040,"(+/- 1846 )",43540,"(+/- 2930 )",40734,"(+/- 2523 )",38592,"(+/- 2642 )",19407,"(+/- 2380 )",28538,"(+/- 2646 )",20557,"(+/- 2080 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1510,"(+/- 27 )",1802,"(+/- 39 )",2044,"(+/- 50 )",2353,"(+/- 45 )",2580,"(+/- 53 )",2298,"(+/- 41 )",2277,"(+/- 64 )",2269,"(+/- 37 )",1963,"(+/- 36 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",62042,"(+/- 3059 )",50940,"(+/- 2515 )",47773,"(+/- 3489 )",59850,"(+/- 3442 )",55823,"(+/- 3025 )",60988,"(+/- 3181 )",28042,"(+/- 2235 )",53583,"(+/- 2971 )",68917,"(+/- 3563 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",1826,"(+/- 573 )",1055,"(+/- 453 )",375,"(+/- 265 )",581,"(+/- 342 )",1513,"(+/- 603 )",721,"(+/- 372 )",590,"(+/- 283 )",686,"(+/- 345 )",1155,"(+/- 527 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",7212,"(+/- 1136 )",2205,"(+/- 606 )",2151,"(+/- 1018 )",1936,"(+/- 640 )",1179,"(+/- 526 )",1747,"(+/- 617 )",2145,"(+/- 768 )",1995,"(+/- 606 )",5104,"(+/- 1085 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",22394,"(+/- 1984 )",13193,"(+/- 1564 )",7789,"(+/- 1274 )",10591,"(+/- 1458 )",5189,"(+/- 1098 )",8283,"(+/- 1346 )",6237,"(+/- 1191 )",7321,"(+/- 1115 )",16182,"(+/- 1911 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",17284,"(+/- 1706 )",16518,"(+/- 1559 )",14384,"(+/- 2067 )",12715,"(+/- 1630 )",10753,"(+/- 1656 )",18592,"(+/- 2002 )",5949,"(+/- 1092 )",15806,"(+/- 1712 )",20386,"(+/- 2099 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",7304,"(+/- 1020 )",10494,"(+/- 1454 )",9087,"(+/- 1300 )",10743,"(+/- 1941 )",13411,"(+/- 1503 )",14379,"(+/- 1696 )",5106,"(+/- 1027 )",10798,"(+/- 1444 )",11359,"(+/- 1503 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",6022,"(+/- 1056 )",7475,"(+/- 1205 )",13987,"(+/- 1686 )",23284,"(+/- 2311 )",23778,"(+/- 2181 )",17266,"(+/- 1896 )",8015,"(+/- 1437 )",16977,"(+/- 2062 )",14731,"(+/- 1844 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",597,"(+/- 15 )",700,"(+/- 22 )",788,"(+/- 24 )",880,"(+/- 31 )",935,"(+/- 26 )",813,"(+/- 20 )",775,"(+/- 39 )",818,"(+/- 32 )",715,"(+/- 21 )"
Housing,"Gross Rent","Occupied units paying rent",103466,"(+/- 3773 )",99694,"(+/- 4181 )",97243,"(+/- 3980 )",70949,"(+/- 3909 )",112844,"(+/- 4144 )",82198,"(+/- 4234 )",197880,"(+/- 5478 )",106540,"(+/- 5231 )",80874,"(+/- 3954 )"
Housing,"Gross Rent","Less than $500",20081,"(+/- 2124 )",13653,"(+/- 1957 )",13973,"(+/- 1742 )",7534,"(+/- 1314 )",9526,"(+/- 1827 )",11880,"(+/- 1966 )",34239,"(+/- 2886 )",13518,"(+/- 2293 )",11475,"(+/- 1552 )"
Housing,"Gross Rent","$500 to $999",47503,"(+/- 3409 )",33472,"(+/- 3145 )",21707,"(+/- 2119 )",18907,"(+/- 2373 )",12073,"(+/- 1929 )",16077,"(+/- 2080 )",23727,"(+/- 2393 )",12379,"(+/- 2342 )",32816,"(+/- 2643 )"
Housing,"Gross Rent","$1,000 to $1,499",29265,"(+/- 2194 )",39564,"(+/- 3430 )",40592,"(+/- 3385 )",19040,"(+/- 2155 )",26648,"(+/- 2376 )",26861,"(+/- 2677 )",39794,"(+/- 3706 )",29160,"(+/- 2669 )",23351,"(+/- 2472 )"
Housing,"Gross Rent","$1,500 to $1,999",4767,"(+/- 1276 )",9097,"(+/- 1418 )",14198,"(+/- 2237 )",12171,"(+/- 1732 )",32937,"(+/- 2957 )",15759,"(+/- 1915 )",46807,"(+/- 3442 )",26352,"(+/- 2568 )",10587,"(+/- 1786 )"
Housing,"Gross Rent","$2,000 to $2,499",1573,"(+/- 642 )",2601,"(+/- 868 )",4505,"(+/- 1146 )",6989,"(+/- 1250 )",18331,"(+/- 2288 )",8199,"(+/- 1561 )",27751,"(+/- 3174 )",12749,"(+/- 2065 )",1640,"(+/- 616 )"
Housing,"Gross Rent","$2,500 to $2,999",102,"(+/- 120 )",1033,"(+/- 557 )",1048,"(+/- 577 )",2710,"(+/- 730 )",7945,"(+/- 1460 )",1694,"(+/- 707 )",12565,"(+/- 1516 )",5977,"(+/- 1261 )",811,"(+/- 566 )"
Housing,"Gross Rent","$3,000 or more",175,"(+/- 140 )",274,"(+/- 204 )",1220,"(+/- 546 )",3598,"(+/- 920 )",5384,"(+/- 1107 )",1728,"(+/- 607 )",12997,"(+/- 1571 )",6405,"(+/- 1098 )",194,"(+/- 189 )"
