Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,Ancestry,"Subsaharan African",7145,"(+/- 2131 )",5147,"(+/- 1482 )",11788,"(+/- 5098 )",39262,"(+/- 9350 )",19593,"(+/- 3719 )",16485,"(+/- 4685 )",17366,"(+/- 5106 )",5172,"(+/- 2256 )",4633,"(+/- 1828 )",10318,"(+/- 3619 )",17611,"(+/- 4720 )",5248,"(+/- 1933 )",27467,"(+/- 6468 )",5390,"(+/- 2009 )"
People,Ancestry,Swedish,2658,"(+/- 818 )",541,"(+/- 372 )",2877,"(+/- 961 )",1393,"(+/- 559 )",3270,"(+/- 1001 )",6693,"(+/- 1828 )",3740,"(+/- 1226 )",2237,"(+/- 1094 )",5516,"(+/- 1691 )",2965,"(+/- 1321 )",3060,"(+/- 1066 )",1273,"(+/- 546 )",1204,"(+/- 764 )",2411,"(+/- 899 )"
People,Ancestry,Swiss,548,"(+/- 323 )",203,"(+/- 206 )",438,"(+/- 416 )",397,"(+/- 292 )",885,"(+/- 443 )",2635,"(+/- 875 )",473,"(+/- 391 )",277,"(+/- 225 )",1439,"(+/- 958 )",585,"(+/- 514 )",1744,"(+/- 961 )",511,"(+/- 324 )",342,"(+/- 291 )",746,"(+/- 569 )"
People,Ancestry,Ukrainian,592,"(+/- 421 )",210,"(+/- 158 )",508,"(+/- 369 )",303,"(+/- 296 )",831,"(+/- 579 )",4139,"(+/- 2619 )",2502,"(+/- 995 )",79,"(+/- 129 )",1129,"(+/- 649 )",505,"(+/- 402 )",2389,"(+/- 2135 )",348,"(+/- 257 )",125,"(+/- 151 )",153,"(+/- 164 )"
People,Ancestry,Welsh,2984,"(+/- 1110 )",1523,"(+/- 946 )",4214,"(+/- 1497 )",1467,"(+/- 732 )",2398,"(+/- 768 )",5137,"(+/- 1619 )",3648,"(+/- 2025 )",2121,"(+/- 829 )",4148,"(+/- 1337 )",2247,"(+/- 922 )",5744,"(+/- 1703 )",3035,"(+/- 1429 )",1216,"(+/- 743 )",2377,"(+/- 1205 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",3897,"(+/- 1425 )",2930,"(+/- 1324 )",5381,"(+/- 2283 )",31232,"(+/- 5170 )",9662,"(+/- 2219 )",9749,"(+/- 3414 )",10110,"(+/- 3904 )",3576,"(+/- 1644 )",1295,"(+/- 695 )",5247,"(+/- 2575 )",14063,"(+/- 5016 )",2455,"(+/- 944 )",19726,"(+/- 5171 )",2001,"(+/- 1247 )"
People,"Veteran Status","Civilian population 18 years and over",555192,"(+/- 4063 )",499912,"(+/- 5074 )",561067,"(+/- 6684 )",570269,"(+/- 12319 )",619538,"(+/- 10895 )",574499,"(+/- 8903 )",588861,"(+/- 10812 )",530078,"(+/- 4537 )",584181,"(+/- 4423 )",561130,"(+/- 8688 )",589196,"(+/- 9226 )",541691,"(+/- 4344 )",551486,"(+/- 13460 )",539910,"(+/- 2454 )"
People,"Veteran Status","Civilian veterans",68214,"(+/- 4725 )",41198,"(+/- 3074 )",52775,"(+/- 3391 )",39591,"(+/- 3464 )",33101,"(+/- 2560 )",29798,"(+/- 2830 )",33285,"(+/- 2897 )",53078,"(+/- 3500 )",49339,"(+/- 3937 )",40543,"(+/- 2930 )",39061,"(+/- 4029 )",57891,"(+/- 4459 )",44726,"(+/- 4353 )",40190,"(+/- 2996 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",719235,"(+/- 5663 )",641700,"(+/- 6999 )",729299,"(+/- 9651 )",760698,"(+/- 17246 )",773923,"(+/- 14388 )",754296,"(+/- 12677 )",802029,"(+/- 15474 )",679671,"(+/- 6003 )",749008,"(+/- 6262 )",721618,"(+/- 12986 )",762634,"(+/- 11953 )",692712,"(+/- 5461 )",746515,"(+/- 18203 )",708256,"(+/- 3683 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",108658,"(+/- 5268 )",103687,"(+/- 5290 )",97624,"(+/- 5664 )",78341,"(+/- 5543 )",96104,"(+/- 5486 )",53482,"(+/- 3936 )",57279,"(+/- 4777 )",92537,"(+/- 5293 )",113580,"(+/- 6475 )",95744,"(+/- 5452 )",75497,"(+/- 4352 )",106966,"(+/- 6751 )",76199,"(+/- 6630 )",95261,"(+/- 5793 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",176754,"(+/- 2264 )",162805,"(+/- 4029 )",175041,"(+/- 4760 )",194973,"(+/- 7463 )",164137,"(+/- 7379 )",181532,"(+/- 7417 )",217988,"(+/- 6568 )",167712,"(+/- 3341 )",170570,"(+/- 3593 )",174812,"(+/- 6439 )",178483,"(+/- 5288 )",170823,"(+/- 2815 )",200070,"(+/- 7895 )",176344,"(+/- 2062 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9858,"(+/- 1883 )",8892,"(+/- 1703 )",8285,"(+/- 1946 )",6282,"(+/- 1850 )",6205,"(+/- 1755 )",4258,"(+/- 1066 )",4665,"(+/- 1405 )",6220,"(+/- 1425 )",7881,"(+/- 1794 )",7484,"(+/- 1769 )",8174,"(+/- 2006 )",7547,"(+/- 1826 )",5637,"(+/- 1772 )",6923,"(+/- 1902 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",439429,"(+/- 4903 )",381633,"(+/- 5791 )",448036,"(+/- 7124 )",479158,"(+/- 12387 )",524889,"(+/- 11433 )",479957,"(+/- 8376 )",502690,"(+/- 10533 )",407965,"(+/- 5136 )",442675,"(+/- 4561 )",441756,"(+/- 8883 )",493459,"(+/- 8878 )",422957,"(+/- 4334 )",462415,"(+/- 13133 )",430395,"(+/- 3167 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",59894,"(+/- 4360 )",55464,"(+/- 3972 )",48909,"(+/- 4458 )",41921,"(+/- 4075 )",55186,"(+/- 3983 )",23693,"(+/- 2740 )",31276,"(+/- 3729 )",49091,"(+/- 3870 )",56089,"(+/- 4848 )",51256,"(+/- 3654 )",37706,"(+/- 3496 )",59806,"(+/- 5082 )",41126,"(+/- 5053 )",50081,"(+/- 4111 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",103052,"(+/- 1878 )",97262,"(+/- 2674 )",106222,"(+/- 2632 )",86567,"(+/- 3395 )",84897,"(+/- 4563 )",92807,"(+/- 4072 )",81351,"(+/- 2355 )",103994,"(+/- 2638 )",135763,"(+/- 2201 )",105050,"(+/- 3273 )",90692,"(+/- 3237 )",98932,"(+/- 1946 )",84030,"(+/- 4489 )",101517,"(+/- 1559 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",38906,"(+/- 2670 )",39331,"(+/- 2704 )",40430,"(+/- 2593 )",30138,"(+/- 2647 )",34713,"(+/- 2807 )",25531,"(+/- 2531 )",21338,"(+/- 1989 )",37226,"(+/- 2786 )",49610,"(+/- 3206 )",37004,"(+/- 3211 )",29617,"(+/- 2242 )",39613,"(+/- 2890 )",29436,"(+/- 2908 )",38257,"(+/- 2641 )"
People,"Residence 1 Year Ago","Population 1 year and over",735510,"(+/- 4966 )",665269,"(+/- 6224 )",730974,"(+/- 9528 )",756520,"(+/- 16916 )",772296,"(+/- 14182 )",746404,"(+/- 12430 )",798063,"(+/- 15212 )",693705,"(+/- 5434 )",746598,"(+/- 6199 )",728826,"(+/- 12968 )",760191,"(+/- 12128 )",714243,"(+/- 5135 )",742521,"(+/- 17560 )",708377,"(+/- 3185 )"
People,"Residence 1 Year Ago","Same house",589200,"(+/- 11715 )",540993,"(+/- 10267 )",626957,"(+/- 12318 )",662856,"(+/- 17461 )",607238,"(+/- 15706 )",643063,"(+/- 13680 )",702674,"(+/- 16079 )",601774,"(+/- 10431 )",648950,"(+/- 10499 )",619447,"(+/- 14229 )",641856,"(+/- 14703 )",603525,"(+/- 9109 )",638539,"(+/- 18653 )",633690,"(+/- 7886 )"
People,"Residence 1 Year Ago","Different house in the U.S.",140576,"(+/- 9902 )",121160,"(+/- 8253 )",100646,"(+/- 9226 )",88689,"(+/- 8375 )",157741,"(+/- 11081 )",94715,"(+/- 8516 )",88970,"(+/- 8923 )",89002,"(+/- 8153 )",95915,"(+/- 8483 )",107702,"(+/- 8540 )",113771,"(+/- 9996 )",107538,"(+/- 8054 )",101735,"(+/- 10444 )",73316,"(+/- 7224 )"
People,"Residence 1 Year Ago","Same county",67739,"(+/- 7549 )",64923,"(+/- 5952 )",46966,"(+/- 6747 )",46704,"(+/- 6655 )",77283,"(+/- 7487 )",42063,"(+/- 5911 )",42228,"(+/- 5891 )",45685,"(+/- 6451 )",43517,"(+/- 5638 )",47456,"(+/- 5338 )",61124,"(+/- 8484 )",56876,"(+/- 6582 )",42631,"(+/- 7362 )",37816,"(+/- 5863 )"
People,"Residence 1 Year Ago","Different county",72837,"(+/- 6356 )",56237,"(+/- 5359 )",53680,"(+/- 6460 )",41985,"(+/- 5905 )",80458,"(+/- 7688 )",52652,"(+/- 6541 )",46742,"(+/- 6576 )",43317,"(+/- 5315 )",52398,"(+/- 6715 )",60246,"(+/- 6843 )",52647,"(+/- 4933 )",50662,"(+/- 5408 )",59104,"(+/- 8184 )",35500,"(+/- 4104 )"
People,"Residence 1 Year Ago","Same state",33558,"(+/- 5196 )",33682,"(+/- 4706 )",36730,"(+/- 5630 )",27429,"(+/- 4630 )",53403,"(+/- 6557 )",30201,"(+/- 4350 )",26078,"(+/- 4240 )",25643,"(+/- 4207 )",34435,"(+/- 4654 )",45967,"(+/- 5534 )",38312,"(+/- 4287 )",31180,"(+/- 4460 )",40154,"(+/- 6163 )",22804,"(+/- 3241 )"
People,"Residence 1 Year Ago","Different state",39279,"(+/- 5940 )",22555,"(+/- 3607 )",16950,"(+/- 3141 )",14556,"(+/- 4202 )",27055,"(+/- 3554 )",22451,"(+/- 4827 )",20664,"(+/- 5462 )",17674,"(+/- 3719 )",17963,"(+/- 5061 )",14279,"(+/- 3597 )",14335,"(+/- 2663 )",19482,"(+/- 4023 )",18950,"(+/- 3935 )",12696,"(+/- 2802 )"
People,"Residence 1 Year Ago",Abroad,5734,"(+/- 1531 )",3116,"(+/- 1041 )",3371,"(+/- 1538 )",4975,"(+/- 2767 )",7317,"(+/- 1867 )",8626,"(+/- 2447 )",6419,"(+/- 2317 )",2929,"(+/- 1604 )",1733,"(+/- 1085 )",1677,"(+/- 832 )",4564,"(+/- 1608 )",3180,"(+/- 1314 )",2247,"(+/- 1318 )",1371,"(+/- 1041 )"
Workers,"Employment Status","Population 16 years and over",587682,"(+/- 3649 )",529330,"(+/- 5387 )",584116,"(+/- 6916 )",594332,"(+/- 13157 )",635387,"(+/- 11428 )",594885,"(+/- 9184 )",613427,"(+/- 12030 )",552284,"(+/- 4570 )",605826,"(+/- 4816 )",581979,"(+/- 9297 )",612677,"(+/- 9756 )",569890,"(+/- 4513 )",572907,"(+/- 14008 )",562005,"(+/- 2897 )"
Workers,"Employment Status","In labor force",360275,"(+/- 7694 )",293933,"(+/- 7661 )",364757,"(+/- 8812 )",401588,"(+/- 12046 )",427451,"(+/- 11236 )",421448,"(+/- 9283 )",421293,"(+/- 11807 )",318695,"(+/- 6640 )",355565,"(+/- 6696 )",339615,"(+/- 9607 )",421924,"(+/- 9427 )",327818,"(+/- 6627 )",387448,"(+/- 11316 )",343679,"(+/- 6580 )"
Workers,"Employment Status","Civilian labor force",345083,"(+/- 8034 )",282961,"(+/- 7555 )",362943,"(+/- 8869 )",401185,"(+/- 12132 )",427018,"(+/- 11226 )",421090,"(+/- 9256 )",420713,"(+/- 11654 )",314621,"(+/- 6684 )",355186,"(+/- 6717 )",338863,"(+/- 9612 )",420864,"(+/- 9401 )",317592,"(+/- 6399 )",386589,"(+/- 11329 )",343177,"(+/- 6614 )"
Workers,"Employment Status",Employed,321461,"(+/- 8411 )",255106,"(+/- 7311 )",341395,"(+/- 8513 )",376167,"(+/- 11491 )",397637,"(+/- 10737 )",404915,"(+/- 8864 )",402384,"(+/- 10927 )",294198,"(+/- 6639 )",341254,"(+/- 6969 )",323152,"(+/- 9517 )",404063,"(+/- 9333 )",294950,"(+/- 6850 )",359908,"(+/- 11177 )",325255,"(+/- 6934 )"
Workers,"Employment Status",Unemployed,23622,"(+/- 3226 )",27855,"(+/- 3119 )",21548,"(+/- 3049 )",25018,"(+/- 3553 )",29381,"(+/- 3104 )",16175,"(+/- 2383 )",18329,"(+/- 3113 )",20423,"(+/- 3408 )",13932,"(+/- 2413 )",15711,"(+/- 2651 )",16801,"(+/- 3118 )",22642,"(+/- 3166 )",26681,"(+/- 4488 )",17922,"(+/- 2614 )"
Workers,"Employment Status","Armed Forces",15192,"(+/- 1967 )",10972,"(+/- 1377 )",1814,"(+/- 827 )",403,"(+/- 327 )",433,"(+/- 308 )",358,"(+/- 286 )",580,"(+/- 511 )",4074,"(+/- 1056 )",379,"(+/- 270 )",752,"(+/- 392 )",1060,"(+/- 622 )",10226,"(+/- 1653 )",859,"(+/- 525 )",502,"(+/- 354 )"
Workers,"Employment Status","Not in labor force",227407,"(+/- 6914 )",235397,"(+/- 6644 )",219359,"(+/- 7294 )",192744,"(+/- 7732 )",207936,"(+/- 6842 )",173437,"(+/- 6354 )",192134,"(+/- 7841 )",233589,"(+/- 6377 )",250261,"(+/- 6373 )",242364,"(+/- 7229 )",190753,"(+/- 7384 )",242072,"(+/- 6919 )",185459,"(+/- 9177 )",218326,"(+/- 6059 )"
Workers,"Employment Status","Civilian labor force",345083,"(+/- 8034 )",282961,"(+/- 7555 )",362943,"(+/- 8869 )",401185,"(+/- 12132 )",427018,"(+/- 11226 )",421090,"(+/- 9256 )",420713,"(+/- 11654 )",314621,"(+/- 6684 )",355186,"(+/- 6717 )",338863,"(+/- 9612 )",420864,"(+/- 9401 )",317592,"(+/- 6399 )",386589,"(+/- 11329 )",343177,"(+/- 6614 )"
Workers,"Employment Status","Unemployment Rate",6.8,"(+/- 0.9 )",9.8,"(+/- 1.1 )",5.9,"(+/- 0.8 )",6.2,"(+/- 0.8 )",6.9,"(+/- 0.7 )",3.8,"(+/- 0.5 )",4.4,"(+/- 0.7 )",6.5,"(+/- 1.1 )",3.9,"(+/- 0.7 )",4.6,"(+/- 0.8 )",4.0,"(+/- 0.7 )",7.1,"(+/- 1.0 )",6.9,"(+/- 1.1 )",5.2,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",330857,"(+/- 8331 )",260359,"(+/- 7445 )",336818,"(+/- 8480 )",362379,"(+/- 11192 )",389221,"(+/- 10640 )",396394,"(+/- 8894 )",393186,"(+/- 11003 )",292908,"(+/- 6598 )",336392,"(+/- 7010 )",316301,"(+/- 9186 )",396953,"(+/- 8844 )",298359,"(+/- 7004 )",352017,"(+/- 10973 )",320437,"(+/- 6678 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",268807,"(+/- 6628 )",209399,"(+/- 7480 )",276783,"(+/- 8898 )",271745,"(+/- 9607 )",260795,"(+/- 10082 )",295733,"(+/- 8276 )",303666,"(+/- 9221 )",249543,"(+/- 7045 )",270899,"(+/- 7012 )",255923,"(+/- 8512 )",311284,"(+/- 9754 )",245370,"(+/- 7321 )",282052,"(+/- 10034 )",263495,"(+/- 8704 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",28873,"(+/- 3858 )",29494,"(+/- 3135 )",33174,"(+/- 3825 )",41106,"(+/- 5159 )",32311,"(+/- 3308 )",33312,"(+/- 2844 )",48335,"(+/- 4585 )",28723,"(+/- 3158 )",36558,"(+/- 3651 )",30399,"(+/- 3619 )",36303,"(+/- 4720 )",27847,"(+/- 2947 )",32527,"(+/- 4391 )",33780,"(+/- 3951 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",3700,"(+/- 1212 )",2676,"(+/- 763 )",1564,"(+/- 798 )",14125,"(+/- 2721 )",41584,"(+/- 4777 )",14467,"(+/- 2329 )",5116,"(+/- 1685 )",810,"(+/- 588 )",854,"(+/- 540 )",2983,"(+/- 1052 )",3736,"(+/- 1217 )",2186,"(+/- 943 )",7732,"(+/- 2219 )",762,"(+/- 429 )"
Workers,"Commuting to Work",Walked,9465,"(+/- 1902 )",3875,"(+/- 1092 )",3837,"(+/- 1691 )",3493,"(+/- 1494 )",16171,"(+/- 2358 )",3954,"(+/- 1189 )",3957,"(+/- 1975 )",2950,"(+/- 1002 )",4281,"(+/- 1844 )",4711,"(+/- 1126 )",4817,"(+/- 1613 )",5370,"(+/- 1242 )",1895,"(+/- 777 )",6110,"(+/- 1700 )"
Workers,"Commuting to Work","Other means",8460,"(+/- 2249 )",3029,"(+/- 1186 )",6139,"(+/- 1594 )",6924,"(+/- 1831 )",13537,"(+/- 2143 )",6947,"(+/- 1921 )",3916,"(+/- 1169 )",3748,"(+/- 1243 )",5928,"(+/- 1964 )",4421,"(+/- 1210 )",6822,"(+/- 1805 )",8727,"(+/- 2063 )",7581,"(+/- 2153 )",4523,"(+/- 1434 )"
Workers,"Commuting to Work","Worked at home",11552,"(+/- 2177 )",11886,"(+/- 2362 )",15321,"(+/- 2664 )",24986,"(+/- 3103 )",24823,"(+/- 3218 )",41981,"(+/- 3829 )",28196,"(+/- 2247 )",7134,"(+/- 1564 )",17872,"(+/- 2081 )",17864,"(+/- 2592 )",33991,"(+/- 3689 )",8859,"(+/- 1808 )",20230,"(+/- 2959 )",11767,"(+/- 2243 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.1,"(+/- 0.9 )",22.8,"(+/- 0.7 )",28.6,"(+/- 0.8 )",34.6,"(+/- 0.7 )",29.2,"(+/- 0.7 )",29.9,"(+/- 0.7 )",34.2,"(+/- 0.8 )",22.0,"(+/- 0.7 )",27.4,"(+/- 1.0 )",30.3,"(+/- 0.9 )",32.7,"(+/- 0.8 )",23.2,"(+/- 0.7 )",32.1,"(+/- 0.9 )",27.4,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",321461,"(+/- 8411 )",255106,"(+/- 7311 )",341395,"(+/- 8513 )",376167,"(+/- 11491 )",397637,"(+/- 10737 )",404915,"(+/- 8864 )",402384,"(+/- 10927 )",294198,"(+/- 6639 )",341254,"(+/- 6969 )",323152,"(+/- 9517 )",404063,"(+/- 9333 )",294950,"(+/- 6850 )",359908,"(+/- 11177 )",325255,"(+/- 6934 )"
Workers,Occupation,"Management, business, science, and arts occupations",108269,"(+/- 5140 )",69025,"(+/- 4233 )",115086,"(+/- 5898 )",132067,"(+/- 6879 )",181829,"(+/- 6341 )",225921,"(+/- 8431 )",170546,"(+/- 6395 )",97697,"(+/- 6067 )",104622,"(+/- 5659 )",112722,"(+/- 5506 )",178394,"(+/- 7403 )",94768,"(+/- 5737 )",120970,"(+/- 7547 )",91628,"(+/- 5252 )"
Workers,Occupation,"Service occupations",67843,"(+/- 5019 )",54990,"(+/- 3811 )",54763,"(+/- 4285 )",61060,"(+/- 6108 )",66042,"(+/- 4876 )",47980,"(+/- 4322 )",61391,"(+/- 6491 )",50840,"(+/- 3966 )",58364,"(+/- 4150 )",53338,"(+/- 4414 )",60513,"(+/- 4833 )",59952,"(+/- 5342 )",59172,"(+/- 5619 )",48641,"(+/- 4384 )"
Workers,Occupation,"Sales and office occupations",68791,"(+/- 4457 )",62879,"(+/- 4893 )",79534,"(+/- 5299 )",96579,"(+/- 6596 )",87695,"(+/- 6025 )",93067,"(+/- 5548 )",100134,"(+/- 6788 )",73033,"(+/- 4344 )",77499,"(+/- 4903 )",73465,"(+/- 5111 )",97184,"(+/- 7153 )",62314,"(+/- 4390 )",91159,"(+/- 5104 )",75908,"(+/- 4795 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30503,"(+/- 3419 )",26864,"(+/- 2517 )",33397,"(+/- 3501 )",28270,"(+/- 3261 )",18507,"(+/- 2804 )",20701,"(+/- 3083 )",32997,"(+/- 3040 )",32857,"(+/- 2974 )",38776,"(+/- 3578 )",30818,"(+/- 3201 )",33701,"(+/- 3816 )",33569,"(+/- 3856 )",30286,"(+/- 3710 )",36875,"(+/- 3723 )"
Workers,Occupation,"Production, transportation, and material moving occupations",46055,"(+/- 4019 )",41348,"(+/- 3302 )",58615,"(+/- 4787 )",58191,"(+/- 5752 )",43564,"(+/- 4197 )",17246,"(+/- 2563 )",37316,"(+/- 4528 )",39771,"(+/- 3423 )",61993,"(+/- 5090 )",52809,"(+/- 4370 )",34271,"(+/- 3576 )",44347,"(+/- 3391 )",58321,"(+/- 5733 )",72203,"(+/- 4933 )"
Workers,Industry,"Civilian employed population 16 years and over",321461,"(+/- 8411 )",255106,"(+/- 7311 )",341395,"(+/- 8513 )",376167,"(+/- 11491 )",397637,"(+/- 10737 )",404915,"(+/- 8864 )",402384,"(+/- 10927 )",294198,"(+/- 6639 )",341254,"(+/- 6969 )",323152,"(+/- 9517 )",404063,"(+/- 9333 )",294950,"(+/- 6850 )",359908,"(+/- 11177 )",325255,"(+/- 6934 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",3525,"(+/- 1407 )",8593,"(+/- 1415 )",1476,"(+/- 540 )",945,"(+/- 689 )",764,"(+/- 420 )",639,"(+/- 394 )",523,"(+/- 354 )",8791,"(+/- 1528 )",5541,"(+/- 1560 )",4724,"(+/- 1014 )",1366,"(+/- 655 )",6461,"(+/- 1488 )",174,"(+/- 178 )",4320,"(+/- 1262 )"
Workers,Industry,Construction,20750,"(+/- 2732 )",16046,"(+/- 2199 )",21428,"(+/- 2760 )",21750,"(+/- 3298 )",15609,"(+/- 2270 )",21336,"(+/- 3083 )",33435,"(+/- 3346 )",16731,"(+/- 2643 )",29135,"(+/- 2934 )",22159,"(+/- 3356 )",35005,"(+/- 3712 )",23487,"(+/- 2866 )",23540,"(+/- 3089 )",26089,"(+/- 3118 )"
Workers,Industry,Manufacturing,33349,"(+/- 3205 )",29253,"(+/- 2894 )",50299,"(+/- 4563 )",33012,"(+/- 3764 )",21592,"(+/- 3042 )",25768,"(+/- 2672 )",34407,"(+/- 4244 )",29613,"(+/- 2991 )",53208,"(+/- 4135 )",36883,"(+/- 3262 )",32785,"(+/- 3116 )",30510,"(+/- 3194 )",28286,"(+/- 3043 )",70387,"(+/- 4309 )"
Workers,Industry,"Wholesale trade",6652,"(+/- 1610 )",3418,"(+/- 924 )",9250,"(+/- 1808 )",9043,"(+/- 1979 )",8199,"(+/- 1743 )",15305,"(+/- 2381 )",17211,"(+/- 3005 )",7806,"(+/- 1807 )",10658,"(+/- 1639 )",9730,"(+/- 1695 )",15134,"(+/- 2285 )",6064,"(+/- 1397 )",10114,"(+/- 2488 )",7124,"(+/- 1483 )"
Workers,Industry,"Retail trade",35533,"(+/- 3407 )",33507,"(+/- 3596 )",36051,"(+/- 3680 )",50648,"(+/- 4940 )",38313,"(+/- 3631 )",42455,"(+/- 4212 )",49126,"(+/- 5170 )",38359,"(+/- 3259 )",42646,"(+/- 3756 )",41629,"(+/- 3644 )",51180,"(+/- 4826 )",32736,"(+/- 3491 )",38293,"(+/- 3970 )",37318,"(+/- 3798 )"
Workers,Industry,"Transportation and warehousing, and utilities",23853,"(+/- 3461 )",12531,"(+/- 1844 )",31869,"(+/- 3621 )",27940,"(+/- 3442 )",32786,"(+/- 3693 )",13986,"(+/- 2377 )",20626,"(+/- 3515 )",15286,"(+/- 2409 )",17330,"(+/- 2644 )",20442,"(+/- 2662 )",18920,"(+/- 2578 )",17799,"(+/- 2102 )",43630,"(+/- 4783 )",19358,"(+/- 2622 )"
Workers,Industry,Information,5437,"(+/- 1447 )",3092,"(+/- 977 )",6470,"(+/- 1985 )",8988,"(+/- 1684 )",15071,"(+/- 2282 )",15351,"(+/- 2752 )",13401,"(+/- 2225 )",4466,"(+/- 1272 )",5933,"(+/- 1537 )",4123,"(+/- 878 )",11981,"(+/- 1902 )",4010,"(+/- 883 )",10237,"(+/- 2023 )",5998,"(+/- 1771 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",15259,"(+/- 2208 )",15220,"(+/- 2021 )",16460,"(+/- 2215 )",23392,"(+/- 3076 )",26595,"(+/- 2837 )",44833,"(+/- 3671 )",31034,"(+/- 3421 )",13879,"(+/- 1994 )",14010,"(+/- 2023 )",16846,"(+/- 2732 )",33604,"(+/- 3647 )",13614,"(+/- 2244 )",22905,"(+/- 3343 )",14136,"(+/- 2628 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",30225,"(+/- 3386 )",17741,"(+/- 2305 )",34292,"(+/- 4598 )",43274,"(+/- 4280 )",68248,"(+/- 4471 )",95190,"(+/- 5484 )",65710,"(+/- 4864 )",22307,"(+/- 2669 )",30026,"(+/- 2881 )",26950,"(+/- 2475 )",63906,"(+/- 4684 )",25829,"(+/- 3189 )",39725,"(+/- 4055 )",23476,"(+/- 2788 )"
Workers,Industry,"Educational services, and health care and social assistance",70123,"(+/- 5002 )",60103,"(+/- 3853 )",70931,"(+/- 4794 )",87579,"(+/- 6129 )",83921,"(+/- 4751 )",61978,"(+/- 4326 )",69459,"(+/- 5337 )",67343,"(+/- 4424 )",71712,"(+/- 4629 )",75069,"(+/- 5359 )",73848,"(+/- 5127 )",72860,"(+/- 4825 )",76356,"(+/- 6563 )",66296,"(+/- 4614 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",38241,"(+/- 4000 )",23631,"(+/- 3086 )",27916,"(+/- 3524 )",33627,"(+/- 3915 )",47790,"(+/- 4208 )",36448,"(+/- 3483 )",36483,"(+/- 4519 )",30955,"(+/- 4022 )",30224,"(+/- 3650 )",28899,"(+/- 3376 )",37600,"(+/- 4020 )",29649,"(+/- 3698 )",30986,"(+/- 4098 )",24560,"(+/- 2726 )"
Workers,Industry,"Other services, except public administration",14062,"(+/- 2172 )",10890,"(+/- 1712 )",17412,"(+/- 2704 )",18550,"(+/- 2745 )",21102,"(+/- 2496 )",21753,"(+/- 3007 )",18494,"(+/- 3197 )",13278,"(+/- 2121 )",16944,"(+/- 2196 )",15854,"(+/- 2165 )",18122,"(+/- 2334 )",15270,"(+/- 2493 )",18418,"(+/- 2845 )",16032,"(+/- 2384 )"
Workers,Industry,"Public administration",24452,"(+/- 3563 )",21081,"(+/- 2826 )",17541,"(+/- 2525 )",17419,"(+/- 2535 )",17647,"(+/- 2104 )",9873,"(+/- 2105 )",12475,"(+/- 2772 )",25384,"(+/- 3349 )",13887,"(+/- 1973 )",19844,"(+/- 3111 )",10612,"(+/- 1853 )",16661,"(+/- 2179 )",17244,"(+/- 2477 )",10161,"(+/- 1968 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",321461,"(+/- 8411 )",255106,"(+/- 7311 )",341395,"(+/- 8513 )",376167,"(+/- 11491 )",397637,"(+/- 10737 )",404915,"(+/- 8864 )",402384,"(+/- 10927 )",294198,"(+/- 6639 )",341254,"(+/- 6969 )",323152,"(+/- 9517 )",404063,"(+/- 9333 )",294950,"(+/- 6850 )",359908,"(+/- 11177 )",325255,"(+/- 6934 )"
