Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,Ancestry,"French (except Basque)",7465,"(+/- 2103 )",10974,"(+/- 1901 )",9343,"(+/- 1705 )",4816,"(+/- 883 )",12983,"(+/- 1885 )",15462,"(+/- 2151 )",6012,"(+/- 1284 )",9054,"(+/- 1526 )",9633,"(+/- 1788 )",10837,"(+/- 2161 )",10283,"(+/- 2227 )",18765,"(+/- 2430 )",16420,"(+/- 2375 )",19119,"(+/- 3472 )",17175,"(+/- 3198 )",17949,"(+/- 2304 )",13024,"(+/- 2137 )",16004,"(+/- 2728 )"
People,Ancestry,"French Canadian",1957,"(+/- 887 )",2378,"(+/- 800 )",1249,"(+/- 558 )",1480,"(+/- 773 )",1608,"(+/- 543 )",1963,"(+/- 663 )",2681,"(+/- 1498 )",1620,"(+/- 692 )",2063,"(+/- 854 )",2005,"(+/- 897 )",2457,"(+/- 898 )",1752,"(+/- 778 )",1176,"(+/- 553 )",3510,"(+/- 1222 )",1583,"(+/- 629 )",2787,"(+/- 836 )",1466,"(+/- 480 )",1761,"(+/- 830 )"
People,Ancestry,German,64818,"(+/- 7630 )",52562,"(+/- 4763 )",92770,"(+/- 7226 )",34706,"(+/- 3705 )",108276,"(+/- 5691 )",164291,"(+/- 8329 )",53760,"(+/- 5168 )",97980,"(+/- 8005 )",103430,"(+/- 6022 )",93292,"(+/- 6245 )",114182,"(+/- 6224 )",153017,"(+/- 6095 )",161021,"(+/- 6268 )",204723,"(+/- 9712 )",188305,"(+/- 7559 )",188469,"(+/- 7684 )",160199,"(+/- 6678 )",208197,"(+/- 8707 )"
People,Ancestry,Greek,3082,"(+/- 1215 )",1344,"(+/- 600 )",7691,"(+/- 2073 )",1819,"(+/- 619 )",8812,"(+/- 2322 )",11782,"(+/- 2830 )",3772,"(+/- 1151 )",7597,"(+/- 2031 )",13306,"(+/- 2515 )",7953,"(+/- 2275 )",8759,"(+/- 3057 )",2410,"(+/- 1210 )",2030,"(+/- 703 )",8686,"(+/- 2696 )",903,"(+/- 487 )",3128,"(+/- 1456 )",1869,"(+/- 796 )",1983,"(+/- 774 )"
People,Ancestry,Hungarian,2185,"(+/- 930 )",1349,"(+/- 480 )",1522,"(+/- 485 )",1946,"(+/- 809 )",4132,"(+/- 1030 )",4073,"(+/- 1076 )",1782,"(+/- 835 )",3640,"(+/- 1000 )",4705,"(+/- 1161 )",4152,"(+/- 1416 )",3397,"(+/- 1375 )",3224,"(+/- 1421 )",2789,"(+/- 970 )",4878,"(+/- 1417 )",1274,"(+/- 455 )",1918,"(+/- 954 )",889,"(+/- 440 )",2756,"(+/- 1142 )"
People,Ancestry,Irish,70232,"(+/- 6046 )",37402,"(+/- 4843 )",102107,"(+/- 8121 )",32305,"(+/- 4020 )",102971,"(+/- 6877 )",110289,"(+/- 7197 )",47195,"(+/- 4942 )",63881,"(+/- 6248 )",85219,"(+/- 5031 )",62521,"(+/- 5647 )",86618,"(+/- 6169 )",75482,"(+/- 5806 )",81293,"(+/- 6049 )",115771,"(+/- 7338 )",82440,"(+/- 5717 )",106629,"(+/- 6281 )",86664,"(+/- 5652 )",88143,"(+/- 5589 )"
People,Ancestry,Italian,37096,"(+/- 5320 )",17229,"(+/- 2146 )",52644,"(+/- 5431 )",22787,"(+/- 3072 )",67188,"(+/- 5256 )",76148,"(+/- 6213 )",27557,"(+/- 2686 )",58979,"(+/- 4548 )",44026,"(+/- 4694 )",42251,"(+/- 5022 )",50149,"(+/- 5430 )",24552,"(+/- 3194 )",23445,"(+/- 2662 )",74703,"(+/- 6471 )",14831,"(+/- 2391 )",51530,"(+/- 5326 )",20752,"(+/- 2999 )",26708,"(+/- 3574 )"
People,Ancestry,Lithuanian,5512,"(+/- 1379 )",2867,"(+/- 754 )",14387,"(+/- 3128 )",2119,"(+/- 697 )",3876,"(+/- 929 )",8014,"(+/- 3411 )",3391,"(+/- 1211 )",3043,"(+/- 1013 )",4663,"(+/- 1210 )",4911,"(+/- 1156 )",8737,"(+/- 2818 )",1305,"(+/- 695 )",2140,"(+/- 717 )",5222,"(+/- 1679 )",1100,"(+/- 593 )",3685,"(+/- 1189 )",1744,"(+/- 624 )",2140,"(+/- 790 )"
People,Ancestry,Norwegian,2583,"(+/- 1005 )",1493,"(+/- 764 )",3234,"(+/- 913 )",2457,"(+/- 713 )",12019,"(+/- 1965 )",15176,"(+/- 2274 )",3494,"(+/- 881 )",7728,"(+/- 1410 )",9351,"(+/- 1455 )",8516,"(+/- 1869 )",7041,"(+/- 2142 )",3729,"(+/- 1131 )",4939,"(+/- 1138 )",23878,"(+/- 3879 )",3440,"(+/- 1153 )",26107,"(+/- 2794 )",10910,"(+/- 2003 )",7646,"(+/- 1533 )"
People,Ancestry,Polish,45735,"(+/- 5485 )",21499,"(+/- 2460 )",104754,"(+/- 7244 )",31364,"(+/- 3631 )",96968,"(+/- 6596 )",81036,"(+/- 6124 )",23669,"(+/- 3477 )",74852,"(+/- 6612 )",73840,"(+/- 5202 )",56723,"(+/- 5269 )",55092,"(+/- 5740 )",17494,"(+/- 2971 )",17304,"(+/- 3032 )",73643,"(+/- 5546 )",14125,"(+/- 2317 )",39535,"(+/- 3904 )",15044,"(+/- 2676 )",12331,"(+/- 1946 )"
People,Ancestry,Portuguese,29,"(+/- 49 )",31,"(+/- 47 )",59,"(+/- 88 )",125,"(+/- 119 )",688,"(+/- 390 )",508,"(+/- 326 )",415,"(+/- 276 )",315,"(+/- 328 )",836,"(+/- 565 )",1074,"(+/- 491 )",164,"(+/- 179 )",364,"(+/- 322 )",233,"(+/- 170 )",743,"(+/- 546 )",525,"(+/- 347 )",227,"(+/- 184 )",820,"(+/- 615 )",955,"(+/- 487 )"
People,Ancestry,Russian,2752,"(+/- 1048 )",1442,"(+/- 650 )",4190,"(+/- 1714 )",3224,"(+/- 1204 )",12165,"(+/- 2270 )",9474,"(+/- 1688 )",6716,"(+/- 1668 )",7573,"(+/- 1996 )",18161,"(+/- 2819 )",22443,"(+/- 3439 )",4726,"(+/- 1732 )",1319,"(+/- 477 )",2606,"(+/- 830 )",5322,"(+/- 1268 )",497,"(+/- 359 )",3974,"(+/- 1368 )",921,"(+/- 377 )",1988,"(+/- 950 )"
People,Ancestry,Scotch-Irish,2395,"(+/- 1063 )",1097,"(+/- 401 )",1621,"(+/- 550 )",1207,"(+/- 475 )",3273,"(+/- 893 )",5036,"(+/- 1182 )",2734,"(+/- 1071 )",2597,"(+/- 850 )",2836,"(+/- 645 )",3047,"(+/- 946 )",2508,"(+/- 744 )",5573,"(+/- 1269 )",8011,"(+/- 1618 )",5419,"(+/- 2011 )",5535,"(+/- 1274 )",5424,"(+/- 1216 )",5823,"(+/- 1329 )",7665,"(+/- 1503 )"
People,Ancestry,Scottish,3581,"(+/- 1035 )",2836,"(+/- 882 )",5368,"(+/- 1570 )",2353,"(+/- 500 )",8127,"(+/- 1302 )",9354,"(+/- 1558 )",5676,"(+/- 1408 )",5077,"(+/- 1244 )",7758,"(+/- 1578 )",6212,"(+/- 1563 )",6063,"(+/- 1458 )",11845,"(+/- 2150 )",12082,"(+/- 1864 )",10969,"(+/- 2642 )",10188,"(+/- 2086 )",10459,"(+/- 1720 )",8562,"(+/- 1227 )",15632,"(+/- 2352 )"
People,Ancestry,Slovak,2524,"(+/- 1453 )",1028,"(+/- 491 )",2063,"(+/- 836 )",1117,"(+/- 500 )",2612,"(+/- 878 )",3786,"(+/- 1113 )",950,"(+/- 536 )",1770,"(+/- 644 )",1776,"(+/- 694 )",1325,"(+/- 519 )",4583,"(+/- 1182 )",647,"(+/- 392 )",1510,"(+/- 581 )",2170,"(+/- 830 )",745,"(+/- 589 )",3204,"(+/- 806 )",361,"(+/- 215 )",2096,"(+/- 798 )"
People,Ancestry,"Subsaharan African",9477,"(+/- 2452 )",19323,"(+/- 3231 )",3072,"(+/- 1584 )",3604,"(+/- 1511 )",3717,"(+/- 1687 )",3785,"(+/- 1835 )",6169,"(+/- 1497 )",4285,"(+/- 2426 )",17854,"(+/- 5590 )",3486,"(+/- 1181 )",8487,"(+/- 2951 )",2869,"(+/- 1182 )",7753,"(+/- 2929 )",3539,"(+/- 2674 )",1036,"(+/- 434 )",2543,"(+/- 1014 )",8167,"(+/- 2219 )",2729,"(+/- 1362 )"
People,Ancestry,Swedish,8705,"(+/- 1891 )",4326,"(+/- 1101 )",11277,"(+/- 2413 )",4349,"(+/- 1203 )",16842,"(+/- 2375 )",22573,"(+/- 2752 )",4881,"(+/- 1219 )",12734,"(+/- 3569 )",14516,"(+/- 1801 )",13585,"(+/- 2491 )",12390,"(+/- 2173 )",4026,"(+/- 990 )",7545,"(+/- 1472 )",23555,"(+/- 2674 )",6791,"(+/- 1810 )",34364,"(+/- 3672 )",31657,"(+/- 3032 )",11363,"(+/- 1706 )"
People,Ancestry,Swiss,727,"(+/- 545 )",944,"(+/- 621 )",721,"(+/- 382 )",571,"(+/- 326 )",1956,"(+/- 689 )",2154,"(+/- 872 )",1206,"(+/- 658 )",1054,"(+/- 613 )",1753,"(+/- 753 )",1458,"(+/- 681 )",1555,"(+/- 733 )",1446,"(+/- 596 )",1604,"(+/- 748 )",2121,"(+/- 796 )",2881,"(+/- 1143 )",3064,"(+/- 998 )",2701,"(+/- 793 )",4861,"(+/- 1125 )"
People,Ancestry,Ukrainian,770,"(+/- 521 )",505,"(+/- 356 )",3030,"(+/- 1351 )",3706,"(+/- 1534 )",6027,"(+/- 1780 )",4157,"(+/- 1455 )",5155,"(+/- 1512 )",5597,"(+/- 1718 )",7290,"(+/- 1782 )",7065,"(+/- 1732 )",2469,"(+/- 1250 )",539,"(+/- 394 )",542,"(+/- 326 )",3877,"(+/- 1897 )",214,"(+/- 226 )",1114,"(+/- 556 )",478,"(+/- 233 )",914,"(+/- 429 )"
People,Ancestry,Welsh,1100,"(+/- 587 )",1104,"(+/- 731 )",1724,"(+/- 1032 )",1062,"(+/- 469 )",2617,"(+/- 744 )",3735,"(+/- 1061 )",1489,"(+/- 625 )",1309,"(+/- 513 )",3058,"(+/- 807 )",3424,"(+/- 1656 )",1511,"(+/- 472 )",4955,"(+/- 1369 )",5652,"(+/- 1837 )",3277,"(+/- 1019 )",4784,"(+/- 1253 )",2428,"(+/- 814 )",3410,"(+/- 886 )",4491,"(+/- 1157 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",3019,"(+/- 1194 )",4178,"(+/- 1455 )",875,"(+/- 1010 )",1268,"(+/- 636 )",846,"(+/- 407 )",689,"(+/- 371 )",6021,"(+/- 2558 )",1469,"(+/- 1087 )",7736,"(+/- 2885 )",5062,"(+/- 2046 )",1859,"(+/- 1061 )",923,"(+/- 489 )",603,"(+/- 330 )",1349,"(+/- 754 )",287,"(+/- 363 )",799,"(+/- 853 )",648,"(+/- 484 )",424,"(+/- 383 )"
People,"Veteran Status","Civilian population 18 years and over",557027,"(+/- 12445 )",531875,"(+/- 11568 )",544846,"(+/- 12889 )",529694,"(+/- 14096 )",598821,"(+/- 12216 )",549433,"(+/- 9970 )",559414,"(+/- 12797 )",548369,"(+/- 9652 )",581688,"(+/- 12071 )",532177,"(+/- 5514 )",538126,"(+/- 7854 )",539624,"(+/- 3340 )",558112,"(+/- 6203 )",559365,"(+/- 7875 )",542860,"(+/- 4501 )",539274,"(+/- 5255 )",534016,"(+/- 5524 )",544393,"(+/- 5418 )"
People,"Veteran Status","Civilian veterans",31105,"(+/- 2810 )",31240,"(+/- 2223 )",26953,"(+/- 2411 )",13143,"(+/- 1792 )",20407,"(+/- 2059 )",27751,"(+/- 2404 )",19815,"(+/- 2219 )",20960,"(+/- 1896 )",17785,"(+/- 1891 )",26298,"(+/- 2125 )",26015,"(+/- 2722 )",54697,"(+/- 3114 )",40846,"(+/- 2316 )",35965,"(+/- 3651 )",48639,"(+/- 2567 )",45373,"(+/- 2212 )",44088,"(+/- 2481 )",45134,"(+/- 3024 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",716728,"(+/- 16685 )",696551,"(+/- 15025 )",717799,"(+/- 18596 )",698205,"(+/- 20279 )",724574,"(+/- 16310 )",715895,"(+/- 12861 )",683635,"(+/- 17807 )",709155,"(+/- 11271 )",723016,"(+/- 14724 )",696958,"(+/- 6867 )",717120,"(+/- 10605 )",676094,"(+/- 4098 )",683117,"(+/- 8770 )",743235,"(+/- 9334 )",679498,"(+/- 7214 )",677313,"(+/- 7127 )",674547,"(+/- 8427 )",686686,"(+/- 7156 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",94171,"(+/- 6288 )",83228,"(+/- 5493 )",67198,"(+/- 5004 )",56387,"(+/- 3985 )",54907,"(+/- 4054 )",56616,"(+/- 4492 )",80994,"(+/- 4777 )",61852,"(+/- 5111 )",73568,"(+/- 4019 )",63358,"(+/- 4135 )",66729,"(+/- 4944 )",112086,"(+/- 5716 )",83996,"(+/- 4307 )",63637,"(+/- 4463 )",107421,"(+/- 4890 )",88855,"(+/- 4107 )",98621,"(+/- 3941 )",90391,"(+/- 4773 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",163702,"(+/- 9773 )",170079,"(+/- 8631 )",180411,"(+/- 9325 )",170456,"(+/- 9352 )",130023,"(+/- 7315 )",170790,"(+/- 6735 )",137161,"(+/- 8694 )",164238,"(+/- 6727 )",150524,"(+/- 7847 )",173170,"(+/- 4157 )",182974,"(+/- 6101 )",152038,"(+/- 2477 )",139080,"(+/- 4107 )",186847,"(+/- 6754 )",157959,"(+/- 4030 )",150486,"(+/- 3559 )",155301,"(+/- 4092 )",156017,"(+/- 4132 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4777,"(+/- 1232 )",4355,"(+/- 1138 )",5153,"(+/- 1368 )",3592,"(+/- 1008 )",2695,"(+/- 938 )",4833,"(+/- 1049 )",5249,"(+/- 1235 )",4218,"(+/- 1027 )",2836,"(+/- 790 )",4956,"(+/- 1145 )",5294,"(+/- 1315 )",7399,"(+/- 1342 )",4743,"(+/- 1059 )",3695,"(+/- 1025 )",7421,"(+/- 1125 )",6466,"(+/- 1570 )",7692,"(+/- 1376 )",7386,"(+/- 1226 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",443044,"(+/- 12240 )",424894,"(+/- 10192 )",435842,"(+/- 12253 )",463661,"(+/- 13377 )",500153,"(+/- 12450 )",440638,"(+/- 9512 )",454634,"(+/- 12899 )",446772,"(+/- 8724 )",452303,"(+/- 11127 )",421659,"(+/- 5977 )",445981,"(+/- 8233 )",411929,"(+/- 4170 )",434781,"(+/- 7031 )",456767,"(+/- 7548 )",398279,"(+/- 4923 )",410920,"(+/- 4776 )",397456,"(+/- 5598 )",407683,"(+/- 5373 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",50235,"(+/- 4382 )",45167,"(+/- 4139 )",31265,"(+/- 3339 )",31567,"(+/- 2784 )",22761,"(+/- 2574 )",24147,"(+/- 2947 )",43657,"(+/- 4006 )",27453,"(+/- 2847 )",31652,"(+/- 2944 )",29324,"(+/- 2977 )",31560,"(+/- 2947 )",63442,"(+/- 4374 )",41591,"(+/- 3317 )",32173,"(+/- 3030 )",51379,"(+/- 3523 )",43124,"(+/- 2881 )",49996,"(+/- 3104 )",40960,"(+/- 3350 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",109982,"(+/- 4827 )",101578,"(+/- 4652 )",101546,"(+/- 5167 )",64088,"(+/- 3899 )",94398,"(+/- 4791 )",104467,"(+/- 5304 )",91840,"(+/- 4170 )",98145,"(+/- 4709 )",120189,"(+/- 5274 )",102129,"(+/- 3572 )",88165,"(+/- 5010 )",112127,"(+/- 2548 )",109256,"(+/- 3432 )",99621,"(+/- 4513 )",123260,"(+/- 2230 )",115907,"(+/- 2349 )",121790,"(+/- 2670 )",122986,"(+/- 2590 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39159,"(+/- 3284 )",33706,"(+/- 2395 )",30780,"(+/- 2636 )",21228,"(+/- 2102 )",29451,"(+/- 3019 )",27636,"(+/- 2820 )",32088,"(+/- 2329 )",30181,"(+/- 2897 )",39080,"(+/- 2858 )",29078,"(+/- 2396 )",29875,"(+/- 3267 )",41245,"(+/- 2929 )",37662,"(+/- 2394 )",27769,"(+/- 2741 )",48621,"(+/- 2543 )",39265,"(+/- 2192 )",40933,"(+/- 2334 )",42045,"(+/- 2737 )"
People,"Residence 1 Year Ago","Population 1 year and over",712563,"(+/- 16256 )",694833,"(+/- 14279 )",714860,"(+/- 18232 )",693171,"(+/- 20093 )",721543,"(+/- 15941 )",712992,"(+/- 12811 )",689038,"(+/- 17027 )",703894,"(+/- 11740 )",725242,"(+/- 14475 )",705835,"(+/- 6929 )",713555,"(+/- 10382 )",686305,"(+/- 3737 )",692124,"(+/- 7399 )",739823,"(+/- 9382 )",694080,"(+/- 6431 )",683179,"(+/- 6781 )",681808,"(+/- 8011 )",694483,"(+/- 6829 )"
People,"Residence 1 Year Ago","Same house",629072,"(+/- 15789 )",621802,"(+/- 14950 )",648359,"(+/- 18695 )",615414,"(+/- 19508 )",618038,"(+/- 16358 )",632244,"(+/- 12173 )",575926,"(+/- 15923 )",607877,"(+/- 14175 )",623795,"(+/- 14416 )",615130,"(+/- 10550 )",624468,"(+/- 13155 )",589870,"(+/- 7325 )",572440,"(+/- 10068 )",653818,"(+/- 11845 )",607698,"(+/- 8420 )",596148,"(+/- 9687 )",587572,"(+/- 9532 )",607224,"(+/- 8528 )"
People,"Residence 1 Year Ago","Different house in the U.S.",80380,"(+/- 8283 )",71742,"(+/- 8250 )",63649,"(+/- 7263 )",73207,"(+/- 6389 )",98133,"(+/- 6520 )",77131,"(+/- 6664 )",106876,"(+/- 8950 )",88929,"(+/- 9013 )",89412,"(+/- 7312 )",85666,"(+/- 7627 )",85449,"(+/- 9655 )",94080,"(+/- 6575 )",115527,"(+/- 7149 )",82958,"(+/- 9039 )",85184,"(+/- 5311 )",85917,"(+/- 7442 )",91034,"(+/- 6111 )",85740,"(+/- 7450 )"
People,"Residence 1 Year Ago","Same county",65456,"(+/- 7656 )",58335,"(+/- 7460 )",49556,"(+/- 7186 )",64198,"(+/- 6532 )",71865,"(+/- 5729 )",44403,"(+/- 5753 )",82468,"(+/- 8078 )",55935,"(+/- 8427 )",69453,"(+/- 6974 )",51815,"(+/- 6618 )",40830,"(+/- 7068 )",54821,"(+/- 6288 )",66046,"(+/- 5867 )",44927,"(+/- 6506 )",47352,"(+/- 4068 )",49381,"(+/- 6026 )",61064,"(+/- 5440 )",53615,"(+/- 6660 )"
People,"Residence 1 Year Ago","Different county",14924,"(+/- 3023 )",13407,"(+/- 2659 )",14093,"(+/- 2800 )",9009,"(+/- 2360 )",26268,"(+/- 3213 )",32728,"(+/- 4363 )",24408,"(+/- 3267 )",32994,"(+/- 5370 )",19959,"(+/- 3252 )",33851,"(+/- 4616 )",44619,"(+/- 6287 )",39259,"(+/- 4743 )",49481,"(+/- 4830 )",38031,"(+/- 5785 )",37832,"(+/- 4247 )",36536,"(+/- 4686 )",29970,"(+/- 3540 )",32125,"(+/- 3330 )"
People,"Residence 1 Year Ago","Same state",5708,"(+/- 1627 )",7521,"(+/- 1893 )",9180,"(+/- 2048 )",2521,"(+/- 1083 )",10712,"(+/- 2292 )",22275,"(+/- 3175 )",7583,"(+/- 2235 )",23368,"(+/- 4593 )",5781,"(+/- 2213 )",15777,"(+/- 2876 )",36640,"(+/- 5870 )",24269,"(+/- 3400 )",35953,"(+/- 3835 )",29703,"(+/- 5664 )",26119,"(+/- 3310 )",28792,"(+/- 4585 )",18170,"(+/- 2963 )",24330,"(+/- 3171 )"
People,"Residence 1 Year Ago","Different state",9216,"(+/- 2212 )",5886,"(+/- 1792 )",4913,"(+/- 1698 )",6488,"(+/- 2022 )",15556,"(+/- 2085 )",10453,"(+/- 3079 )",16825,"(+/- 2341 )",9626,"(+/- 2415 )",14178,"(+/- 2410 )",18074,"(+/- 3494 )",7979,"(+/- 2545 )",14990,"(+/- 3599 )",13528,"(+/- 2634 )",8328,"(+/- 2338 )",11713,"(+/- 2789 )",7744,"(+/- 1691 )",11800,"(+/- 2511 )",7795,"(+/- 1663 )"
People,"Residence 1 Year Ago",Abroad,3111,"(+/- 1052 )",1289,"(+/- 702 )",2852,"(+/- 1172 )",4550,"(+/- 1696 )",5372,"(+/- 1750 )",3617,"(+/- 1386 )",6236,"(+/- 1878 )",7088,"(+/- 2588 )",12035,"(+/- 3564 )",5039,"(+/- 1502 )",3638,"(+/- 1757 )",2355,"(+/- 1003 )",4157,"(+/- 1366 )",3047,"(+/- 2132 )",1198,"(+/- 561 )",1114,"(+/- 561 )",3202,"(+/- 1952 )",1519,"(+/- 689 )"
Workers,"Employment Status","Population 16 years and over",577017,"(+/- 12881 )",553714,"(+/- 12109 )",565851,"(+/- 13530 )",549061,"(+/- 14920 )",612899,"(+/- 12796 )",570787,"(+/- 10221 )",575505,"(+/- 13289 )",567526,"(+/- 9653 )",598776,"(+/- 12663 )",563808,"(+/- 6108 )",560885,"(+/- 7865 )",558668,"(+/- 3445 )",575149,"(+/- 6341 )",584451,"(+/- 7918 )",561159,"(+/- 4873 )",558208,"(+/- 5823 )",553769,"(+/- 6030 )",562288,"(+/- 5744 )"
Workers,"Employment Status","In labor force",358144,"(+/- 11667 )",341823,"(+/- 9756 )",365713,"(+/- 11375 )",376344,"(+/- 11084 )",440661,"(+/- 11185 )",392353,"(+/- 8935 )",376011,"(+/- 11610 )",400946,"(+/- 9136 )",378591,"(+/- 9481 )",382263,"(+/- 6406 )",391640,"(+/- 8236 )",331926,"(+/- 6140 )",346846,"(+/- 7369 )",403718,"(+/- 8711 )",335908,"(+/- 5695 )",354469,"(+/- 6157 )",332762,"(+/- 6016 )",350522,"(+/- 6650 )"
Workers,"Employment Status","Civilian labor force",358033,"(+/- 11672 )",341297,"(+/- 9743 )",365642,"(+/- 11355 )",376011,"(+/- 11054 )",440301,"(+/- 11170 )",392066,"(+/- 8928 )",375785,"(+/- 11589 )",400618,"(+/- 9101 )",378395,"(+/- 9453 )",372978,"(+/- 6403 )",391198,"(+/- 8242 )",328624,"(+/- 6126 )",346160,"(+/- 7455 )",403397,"(+/- 8740 )",335663,"(+/- 5701 )",354069,"(+/- 6160 )",332438,"(+/- 6053 )",350146,"(+/- 6629 )"
Workers,"Employment Status",Employed,311632,"(+/- 10533 )",296196,"(+/- 9280 )",345363,"(+/- 10528 )",355895,"(+/- 11043 )",424263,"(+/- 10818 )",376682,"(+/- 8929 )",341092,"(+/- 10907 )",382369,"(+/- 8761 )",366497,"(+/- 9104 )",354974,"(+/- 6960 )",370632,"(+/- 7929 )",308688,"(+/- 6107 )",324408,"(+/- 7543 )",386323,"(+/- 8527 )",317566,"(+/- 5376 )",331348,"(+/- 6167 )",306326,"(+/- 6142 )",334600,"(+/- 7129 )"
Workers,"Employment Status",Unemployed,46401,"(+/- 4741 )",45101,"(+/- 4375 )",20279,"(+/- 2380 )",20116,"(+/- 2335 )",16038,"(+/- 2133 )",15384,"(+/- 1873 )",34693,"(+/- 3278 )",18249,"(+/- 2267 )",11898,"(+/- 1764 )",18004,"(+/- 2484 )",20566,"(+/- 2557 )",19936,"(+/- 2626 )",21752,"(+/- 2248 )",17074,"(+/- 2949 )",18097,"(+/- 2664 )",22721,"(+/- 3060 )",26112,"(+/- 2959 )",15546,"(+/- 1910 )"
Workers,"Employment Status","Armed Forces",111,"(+/- 179 )",526,"(+/- 510 )",71,"(+/- 119 )",333,"(+/- 395 )",360,"(+/- 345 )",287,"(+/- 218 )",226,"(+/- 224 )",328,"(+/- 376 )",196,"(+/- 321 )",9285,"(+/- 1239 )",442,"(+/- 464 )",3302,"(+/- 1182 )",686,"(+/- 450 )",321,"(+/- 352 )",245,"(+/- 225 )",400,"(+/- 270 )",324,"(+/- 251 )",376,"(+/- 193 )"
Workers,"Employment Status","Not in labor force",218873,"(+/- 8000 )",211891,"(+/- 7821 )",200138,"(+/- 8645 )",172717,"(+/- 8033 )",172238,"(+/- 6975 )",178434,"(+/- 7158 )",199494,"(+/- 6684 )",166580,"(+/- 7078 )",220185,"(+/- 7718 )",181545,"(+/- 5925 )",169245,"(+/- 6206 )",226742,"(+/- 6029 )",228303,"(+/- 6970 )",180733,"(+/- 7142 )",225251,"(+/- 5151 )",203739,"(+/- 5284 )",221007,"(+/- 5755 )",211766,"(+/- 6152 )"
Workers,"Employment Status","Civilian labor force",358033,"(+/- 11672 )",341297,"(+/- 9743 )",365642,"(+/- 11355 )",376011,"(+/- 11054 )",440301,"(+/- 11170 )",392066,"(+/- 8928 )",375785,"(+/- 11589 )",400618,"(+/- 9101 )",378395,"(+/- 9453 )",372978,"(+/- 6403 )",391198,"(+/- 8242 )",328624,"(+/- 6126 )",346160,"(+/- 7455 )",403397,"(+/- 8740 )",335663,"(+/- 5701 )",354069,"(+/- 6160 )",332438,"(+/- 6053 )",350146,"(+/- 6629 )"
Workers,"Employment Status","Unemployment Rate",13.0,"(+/- 1.2 )",13.2,"(+/- 1.2 )",5.5,"(+/- 0.6 )",5.3,"(+/- 0.6 )",3.6,"(+/- 0.5 )",3.9,"(+/- 0.5 )",9.2,"(+/- 0.8 )",4.6,"(+/- 0.5 )",3.1,"(+/- 0.4 )",4.8,"(+/- 0.7 )",5.3,"(+/- 0.6 )",6.1,"(+/- 0.8 )",6.3,"(+/- 0.6 )",4.2,"(+/- 0.7 )",5.4,"(+/- 0.8 )",6.4,"(+/- 0.8 )",7.9,"(+/- 0.9 )",4.4,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",304717,"(+/- 10041 )",289731,"(+/- 9212 )",337036,"(+/- 10465 )",349657,"(+/- 11139 )",418721,"(+/- 10742 )",370694,"(+/- 9032 )",335127,"(+/- 10953 )",374832,"(+/- 8708 )",360604,"(+/- 8948 )",357409,"(+/- 6904 )",362909,"(+/- 8378 )",305114,"(+/- 6170 )",318754,"(+/- 7466 )",376479,"(+/- 8525 )",312345,"(+/- 5662 )",325002,"(+/- 6306 )",300729,"(+/- 5917 )",329186,"(+/- 7227 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",205883,"(+/- 7757 )",213404,"(+/- 7677 )",248864,"(+/- 8702 )",196425,"(+/- 8439 )",214818,"(+/- 7380 )",288357,"(+/- 8482 )",155655,"(+/- 8340 )",301165,"(+/- 9439 )",212534,"(+/- 6723 )",265835,"(+/- 7223 )",294200,"(+/- 8074 )",255713,"(+/- 5610 )",256246,"(+/- 7355 )",310703,"(+/- 8131 )",261301,"(+/- 5188 )",272345,"(+/- 6444 )",246504,"(+/- 5209 )",276788,"(+/- 6954 )"
